"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Kildrum",198,110,1,0,0,271,253,18,2,0,31,90,16,2,0,52,135,85,8,0,37,106,83,14,3,8,26,33,25,5,74,71,15,3,0,46,51,19,1,0,4,12,6,7,0,23,23,12,0,0,743,868,292,61,9,
"Abronhill South",176,96,5,1,0,216,199,12,0,0,26,99,16,0,0,30,122,87,6,0,17,95,121,21,9,9,51,45,27,9,52,72,16,4,0,24,49,19,7,0,2,10,7,1,0,7,15,9,1,4,559,805,336,68,20,
"Abronhill North",139,77,4,0,1,160,226,9,0,0,36,103,27,2,0,17,138,126,11,1,13,115,127,27,0,6,35,56,40,15,41,69,21,0,0,41,41,30,7,0,4,15,8,5,0,9,17,8,3,1,466,838,413,95,21,
"Village and Castlecary",175,90,2,0,0,194,210,21,1,5,22,96,23,0,0,23,115,105,17,1,12,71,100,14,6,5,29,36,15,10,60,88,16,2,0,29,39,20,4,0,3,9,7,0,0,7,9,11,3,2,525,753,344,57,23,
"Carrickstone",33,80,5,0,0,26,123,13,1,0,7,96,49,1,2,4,104,207,29,5,3,88,298,69,21,3,23,75,108,32,10,38,21,0,0,6,20,32,8,3,3,6,20,8,3,2,9,16,14,4,98,587,733,235,70,
"Balloch West",86,102,4,0,0,26,120,9,1,0,10,128,39,1,0,5,97,169,9,4,3,55,174,37,18,3,19,47,57,27,4,29,9,2,0,4,15,17,3,3,0,2,7,7,0,3,7,10,4,4,144,573,486,124,53,
"Balloch East",115,89,1,2,0,42,110,10,2,0,21,105,30,1,0,12,87,98,6,2,5,47,82,13,1,2,36,49,28,5,16,48,6,0,0,22,25,20,5,0,0,4,3,3,3,2,4,7,7,3,237,560,302,63,17,
"Klisyth East",217,130,1,0,0,162,266,28,5,2,26,86,41,4,0,9,122,163,20,4,12,77,205,24,9,3,26,49,32,13,29,55,13,4,0,24,24,26,8,1,4,4,7,0,8,5,15,12,1,2,494,802,548,99,36,
"Croy, Dullatar and Banton",62,51,2,1,1,80,136,13,2,2,18,48,38,5,0,19,98,180,23,6,13,117,326,51,12,2,12,31,45,30,17,51,14,2,0,16,20,17,6,1,4,11,15,8,16,5,9,14,2,2,235,548,653,142,69,
"Kilsyth Bogside",119,98,1,0,0,170,204,20,2,1,18,84,29,3,0,24,101,109,8,1,11,63,95,17,9,2,21,44,39,13,38,62,9,5,2,13,31,16,3,1,1,9,7,3,2,9,15,4,0,1,411,690,332,80,30,
"Balmalloch",129,90,4,0,0,120,182,17,0,1,23,101,32,4,0,12,99,111,14,5,13,90,140,22,13,9,29,55,34,10,41,85,16,0,0,23,51,35,6,0,0,8,8,2,0,8,19,9,2,3,380,750,423,82,33,
"Stromness, Sandwick and Stenness",85,153,16,2,0,119,214,28,3,2,11,88,54,6,1,16,110,135,22,6,7,56,99,24,12,4,8,28,28,15,23,35,5,0,2,6,12,6,5,0,0,3,4,4,3,2,9,7,4,0,276,690,391,98,38,
"West Mainland",82,218,12,2,2,47,202,40,4,6,11,98,102,11,1,7,100,267,48,16,5,49,190,64,22,3,9,49,34,33,7,34,16,4,0,3,29,23,5,2,0,3,4,8,7,2,7,13,15,16,171,748,705,195,98,
"East Mainland",43,158,14,0,4,67,210,30,1,5,6,99,92,7,0,15,91,229,39,15,2,81,264,46,19,0,7,22,54,37,14,41,14,5,4,7,13,17,4,4,3,5,9,6,4,3,12,15,7,4,164,720,706,173,89,
"West Kirkwall",179,170,6,1,0,289,327,19,3,3,17,101,37,3,1,32,157,122,16,7,11,93,104,15,3,3,25,29,26,7,29,54,9,2,0,18,43,11,2,1,0,5,4,2,2,8,11,15,3,1,586,984,348,73,23,
"East Kirkwall",105,86,6,0,1,128,176,15,0,4,10,83,27,2,0,27,105,71,11,3,5,81,90,15,3,2,17,23,14,4,31,48,6,0,1,11,19,8,0,1,2,1,1,0,0,3,6,9,1,0,327,623,256,47,14,
"Isles",137,251,33,3,2,82,248,54,10,2,11,133,95,18,4,14,169,217,49,14,7,66,147,33,12,0,17,25,32,16,7,37,15,2,2,3,17,18,5,2,1,4,7,5,4,4,6,21,7,9,267,948,631,163,71,
"Powmill, Cleish and Scotlandwell",35,134,17,1,1,26,122,21,9,2,5,101,109,32,9,6,74,258,78,31,3,60,264,77,34,1,10,24,50,36,5,32,7,2,3,2,11,14,7,2,3,6,7,7,6,0,11,15,10,4,88,562,741,274,127,
"Kinross",194,257,8,2,1,99,210,21,3,1,21,193,92,9,2,12,148,219,33,12,7,78,263,46,5,3,16,45,42,16,18,69,13,5,1,13,40,27,5,2,0,9,9,5,4,3,7,12,4,0,373,1027,709,154,42,
"Milnathort and Crook of Devon",61,156,15,2,5,50,149,28,9,5,9,95,112,17,6,6,100,217,46,19,4,45,227,67,30,2,14,30,39,32,10,40,8,1,0,9,21,15,4,2,2,2,6,9,5,0,8,11,8,8,156,628,671,202,107,
"Muthill, Greenloaning and Gleneagles",58,108,15,0,0,32,160,30,5,3,9,91,84,11,7,6,75,197,46,19,4,62,184,44,23,3,14,47,40,22,10,45,11,3,0,8,18,20,13,2,0,0,9,5,4,3,6,13,5,0,133,586,611,171,77,
"Auchterarder",154,224,11,0,0,114,300,34,2,1,24,211,108,11,2,18,165,277,36,9,19,114,286,43,23,4,26,52,62,13,21,63,20,3,3,16,27,22,7,0,0,6,11,5,1,8,19,12,9,3,372,1161,838,175,54,
"Comrie, Gilmerton and St Fillans",131,213,19,2,2,37,137,28,5,1,10,133,112,18,3,4,88,200,57,16,4,49,133,37,9,2,23,35,38,17,6,31,11,1,0,4,18,15,4,1,1,1,3,7,0,0,9,8,4,7,203,705,563,171,56,
"Crieff North",86,167,10,1,4,42,129,14,1,1,10,149,91,7,3,6,86,144,31,5,6,51,135,22,5,1,13,16,27,13,4,43,4,0,0,6,23,10,1,0,0,4,5,4,4,3,7,7,6,4,162,670,437,95,38,
"Crieff South",172,183,9,1,1,200,267,29,2,2,12,121,30,4,2,28,142,141,21,7,16,123,154,25,6,2,17,31,30,17,26,81,13,2,1,11,31,19,1,0,3,9,19,3,0,7,12,6,6,3,473,987,451,95,38,
"Almondbank and Pitcairngreen",72,148,16,0,1,36,176,22,5,3,7,116,102,25,7,10,104,248,73,14,3,47,183,56,25,2,18,47,51,27,4,39,15,4,0,6,19,23,12,0,2,4,7,6,4,0,7,12,3,7,139,681,670,233,87,
"Glenfarg, Dunning and Rhynd",51,140,17,3,0,37,138,26,8,4,14,95,89,17,2,3,75,246,66,22,3,48,195,55,30,1,10,34,43,24,8,42,9,4,1,4,11,10,4,2,0,2,11,8,2,0,11,6,5,9,122,569,649,209,94,
"Bridge of Earn and Abernethy",133,196,13,1,1,56,236,36,7,2,18,159,120,6,5,13,113,251,48,11,4,91,311,56,20,4,23,45,54,23,15,58,8,2,2,8,31,38,6,3,1,2,10,7,3,2,16,11,7,6,256,927,840,196,75,
"Upper Craigie and Friarton",174,120,5,0,1,163,173,22,4,1,26,80,21,2,0,20,138,99,10,0,19,98,116,24,4,2,29,40,25,7,32,71,7,4,1,22,40,20,5,2,1,8,13,5,1,4,13,12,3,3,460,767,355,81,19,
"Viewlands and Craigie",180,222,4,1,1,237,401,22,2,1,29,195,63,6,2,45,271,219,22,2,21,180,215,38,12,5,41,63,40,15,33,52,13,1,0,8,38,22,0,1,2,3,13,1,4,15,18,9,5,1,574,1425,643,120,34,
"Burghmuir, Oakbank and Cherrybank",138,230,6,2,0,57,178,21,1,0,25,219,92,4,4,13,185,225,18,4,9,128,268,43,10,2,25,52,36,16,10,76,7,1,0,7,25,21,4,0,0,4,9,2,4,3,7,9,2,4,264,1081,715,114,39,
"Western Edge",148,165,1,1,4,163,296,25,2,1,21,160,55,3,0,32,245,204,34,5,20,156,240,31,13,6,34,68,36,14,39,75,10,0,0,28,41,31,3,0,4,7,11,4,2,7,13,13,11,0,469,1188,663,127,36,
"Letham",187,88,4,0,1,248,235,17,0,3,28,92,10,3,0,48,150,102,9,4,47,186,135,12,5,22,51,58,24,5,64,108,12,3,0,54,58,22,3,0,6,11,15,1,0,20,26,13,6,4,715,1005,389,61,20,
"Tulloch and Inveralmond",179,77,3,0,1,305,259,29,2,0,19,77,11,1,0,48,165,115,11,2,49,196,134,30,6,16,51,43,23,6,80,99,9,0,1,50,59,22,7,2,13,14,7,3,2,16,18,9,2,0,776,1017,378,79,22,
"North Muirton",186,95,0,0,0,162,136,18,0,0,18,101,10,0,0,33,107,68,9,3,22,127,64,4,4,8,26,35,12,3,33,55,8,2,0,35,28,20,1,1,2,14,9,4,1,9,17,10,2,2,505,705,247,34,13,
"Muirton",58,42,3,1,0,161,180,19,2,0,12,49,9,4,0,26,121,67,13,1,28,103,70,10,1,6,21,20,10,2,59,57,6,1,0,22,20,19,0,1,7,15,5,6,0,11,20,14,0,0,385,628,235,46,8,
"North Inch",190,72,7,0,0,409,269,12,4,0,16,47,10,0,0,59,143,48,7,1,28,52,39,11,3,6,10,12,6,4,20,21,3,0,0,15,18,10,2,2,5,7,8,0,0,24,22,10,1,1,765,664,155,33,10,
"Central and South Inch",377,121,4,0,0,1011,464,24,5,0,23,46,8,0,0,156,161,81,5,0,58,91,34,7,3,5,19,8,4,0,55,25,1,1,0,46,25,14,0,0,3,5,1,2,0,57,36,17,2,0,1795,993,187,25,4,
"Gannochy and Walnut Grove",195,181,10,0,0,105,113,12,1,0,25,153,97,13,3,21,122,123,24,5,10,49,134,32,12,4,17,24,34,11,17,40,4,2,0,8,22,10,5,0,1,6,10,3,0,2,3,12,2,4,391,707,442,112,34,
"Scone",229,273,11,3,1,119,224,17,2,0,40,271,111,7,3,24,161,213,33,5,5,117,235,41,8,2,26,55,52,17,38,62,13,3,0,15,37,18,5,0,2,5,18,3,3,4,11,8,4,3,481,1190,695,157,41,
"Guildtown, Balbeggie and St Madoes",68,126,9,2,1,36,170,23,3,2,11,98,87,9,4,5,120,247,33,15,3,52,199,56,15,0,12,35,41,20,4,36,8,1,3,0,14,11,8,0,0,2,5,3,4,1,9,6,11,4,131,636,632,163,69,
"Errol and Inchture",63,153,15,1,0,55,173,25,5,4,7,111,70,11,0,3,111,214,40,8,3,91,337,59,11,0,6,29,31,7,8,54,15,0,2,4,18,19,1,0,1,4,6,8,0,2,6,8,4,4,142,727,738,163,38,
"Invergowrie, Longforgan and Abernyte",134,150,7,0,0,36,176,15,1,5,17,121,84,11,2,10,105,184,28,7,4,62,153,48,20,4,20,32,42,14,6,38,11,3,0,8,13,33,1,1,0,8,6,10,2,1,9,13,1,2,221,699,540,146,51,
"Coupar Angus and Meigle",119,219,19,0,2,118,237,44,2,0,24,142,117,11,5,17,158,272,49,21,15,79,197,54,17,6,21,42,47,20,25,63,10,3,1,14,39,35,8,0,4,3,11,7,5,6,11,20,6,4,349,973,768,187,76,
"Alyth",109,141,8,0,1,71,166,16,0,4,20,116,65,2,3,6,126,148,36,3,10,55,98,19,11,3,17,35,23,4,16,50,6,0,1,9,24,12,3,1,1,5,8,4,0,2,7,9,4,1,247,712,397,91,34,
"Blair Atholl, Strathardle and Glenshee",55,196,27,4,0,23,217,37,6,4,12,129,113,17,6,4,113,240,48,28,4,54,143,23,17,2,9,33,29,20,2,21,5,1,0,1,16,21,5,3,1,0,12,7,4,1,9,12,11,7,105,766,643,149,88,
"Blairgowrie South (Ardblair and Rosemout)",65,117,11,1,1,13,70,9,5,0,11,127,102,7,2,4,64,110,18,8,3,55,128,23,11,0,10,26,26,11,8,32,5,0,0,5,12,21,4,1,0,6,9,3,0,3,11,10,5,4,112,505,424,91,37,
"Rattray",105,101,10,0,1,121,174,14,1,0,28,86,38,1,1,18,98,96,20,0,16,91,115,15,7,10,20,32,19,3,39,47,8,1,2,10,36,16,4,0,4,1,7,2,2,4,10,9,3,2,354,671,346,65,18,
"Blairgowrie Central",175,215,10,0,2,102,225,19,1,2,17,141,63,6,0,17,114,150,16,7,10,55,113,19,9,1,15,32,32,17,13,46,4,1,0,16,37,19,2,2,2,5,7,2,1,3,13,9,7,0,361,871,426,88,41,
"Bankfoot, Stanley and Murthly",108,188,18,1,2,52,233,31,11,0,21,134,102,10,5,6,130,247,54,15,5,96,222,43,17,3,12,58,54,19,11,58,9,1,0,4,37,21,6,2,1,5,13,5,3,1,15,19,7,6,213,908,739,198,73,
"Luncarty and Bertha Park",54,74,2,0,0,30,115,14,0,1,8,77,41,5,0,6,74,134,19,3,7,52,116,26,6,1,7,31,33,15,12,51,1,0,0,6,12,11,0,0,1,3,2,0,0,2,4,9,2,3,130,468,358,81,28,
"Amulree and Dunkeld",102,153,7,1,0,51,159,28,6,1,6,112,88,4,8,12,94,186,43,13,3,76,136,47,13,7,17,29,26,12,7,52,11,3,0,6,24,16,5,3,1,3,8,3,4,4,10,12,6,1,200,703,518,149,57,
"Pitlochry",147,194,8,0,0,87,173,20,6,1,17,145,95,12,3,18,155,162,27,13,11,75,101,23,7,1,13,30,16,9,16,28,6,1,0,11,23,13,5,3,1,9,8,3,5,9,13,15,4,6,316,819,461,98,46,
"Rannoch and Aberfeldy",118,245,15,2,2,93,211,32,11,2,17,145,110,19,5,10,169,204,58,20,6,74,147,39,26,2,12,36,35,17,21,53,10,0,0,8,20,12,3,5,0,7,7,2,7,3,16,14,8,5,276,952,591,178,92,
"Lochwinnoch",94,141,1,0,0,81,163,16,3,0,14,87,43,3,0,18,99,110,16,4,9,53,127,29,6,2,16,29,23,11,18,46,6,3,1,6,27,9,4,0,0,1,5,2,0,5,2,3,3,0,246,635,348,82,23,
"Renfrewshire Rural South and Howwood",45,114,8,2,0,23,124,8,5,1,3,69,48,7,1,6,97,209,32,8,3,73,301,48,21,1,13,51,70,21,3,35,9,2,0,6,13,18,10,0,0,6,8,9,9,3,8,14,5,2,93,552,671,187,64,
"Dargavel",12,33,0,0,0,16,146,19,0,0,1,39,18,4,0,9,172,318,9,0,4,169,549,50,9,1,12,28,21,15,4,52,8,3,0,3,13,14,1,0,0,7,12,4,4,1,5,7,4,1,52,642,977,94,29,
"Renfrewshire Rural North and Langbank",38,134,9,0,1,42,197,24,3,3,3,105,91,9,0,7,126,294,49,14,4,107,311,61,11,2,18,64,56,36,17,59,17,0,0,9,27,19,7,1,0,1,17,9,7,0,12,11,7,10,121,781,852,197,84,
"Kilbarchan",125,163,6,0,0,98,201,6,0,1,16,103,66,5,0,18,88,153,24,8,8,45,129,17,7,6,22,38,32,14,14,57,3,1,1,15,38,21,4,2,2,4,4,3,0,3,6,5,2,3,305,727,430,84,36,
"Johnstone South West",212,115,5,0,0,199,238,8,1,0,36,100,14,0,0,27,162,140,7,1,31,171,230,31,8,16,62,71,56,15,86,110,23,4,0,70,74,36,1,1,10,23,19,4,0,9,16,19,5,2,698,1064,564,112,32,
"Johnstone North West",235,89,6,0,0,364,229,21,0,1,26,55,10,0,0,40,104,81,6,0,29,98,69,12,5,10,30,21,18,6,65,67,6,1,0,46,54,19,1,1,4,6,2,3,2,12,15,9,4,0,828,751,239,50,15,
"Johnstone North East",266,101,3,0,0,297,266,26,2,1,21,81,14,2,0,47,126,97,7,3,14,89,95,11,0,4,28,44,29,6,33,37,6,1,0,35,30,14,8,2,3,8,8,1,0,10,13,6,2,0,729,779,316,62,11,
"Johnstone South East",224,109,2,0,0,254,232,14,2,1,27,75,17,0,0,39,137,119,8,4,19,106,120,17,3,17,35,40,18,6,47,91,9,3,0,31,35,21,3,0,6,9,6,2,0,5,18,16,3,0,673,847,363,56,16,
"Elderslie and Phoenix",226,153,11,0,0,142,258,25,0,0,36,136,77,4,0,22,161,278,24,11,7,112,255,44,9,8,27,76,60,16,16,66,10,3,0,22,44,26,7,4,3,8,15,4,2,7,24,21,4,1,493,979,795,150,41,
"Paisley Ferguslie",135,52,2,0,0,315,190,20,0,4,16,26,2,0,0,38,101,60,6,0,34,121,99,18,7,12,51,41,24,1,136,96,19,0,1,75,53,25,6,1,15,17,9,5,4,16,15,16,0,4,796,718,292,63,24,
"Paisley North West",268,75,1,0,0,619,310,19,0,0,19,29,3,1,0,72,106,90,7,1,45,84,82,19,8,9,21,26,17,6,64,62,6,2,1,53,31,19,4,0,13,16,5,0,3,37,26,14,3,2,1196,763,261,48,22,
"Paisley West",184,107,4,0,2,308,423,25,4,0,39,81,17,1,1,35,177,177,17,3,32,110,180,36,7,16,43,61,48,14,72,104,17,1,1,33,49,32,5,1,10,12,6,8,2,12,12,15,6,2,746,1122,538,126,31,
"Paisley Foxbar",244,110,4,0,2,361,298,22,2,1,33,81,12,0,0,44,160,147,12,1,33,118,143,40,5,18,28,57,38,10,79,110,13,3,2,51,58,42,7,0,5,15,9,1,2,9,16,13,5,1,875,991,466,106,24,
"Paisley South West",117,199,8,3,0,89,230,11,2,0,23,150,101,4,0,13,140,193,23,3,5,67,209,33,15,1,34,55,78,29,10,30,9,0,0,10,22,34,10,4,0,2,10,11,0,1,6,11,7,1,269,883,641,171,52,
"Paisley Glenburn West",161,72,2,0,0,108,167,14,0,3,35,70,12,0,0,30,114,100,12,1,17,77,150,21,6,16,46,52,40,10,56,78,10,0,0,47,54,27,6,0,3,8,15,6,1,16,19,3,7,4,491,703,395,93,28,
"Paisley Glenburn East",137,101,4,0,1,156,189,11,4,1,21,79,24,4,0,16,114,86,16,4,17,91,132,18,6,7,24,51,36,15,34,68,10,0,0,17,46,41,4,0,4,11,5,3,0,7,19,11,0,1,417,740,372,82,30,
"Paisley South",100,137,7,1,0,116,232,11,2,1,20,103,45,7,0,9,142,173,15,1,12,64,161,33,23,2,21,57,54,18,6,34,6,1,0,12,17,18,3,1,1,6,3,3,2,5,6,13,2,0,283,759,499,123,46,
"Paisley South East",537,193,0,0,0,633,497,23,0,0,57,122,51,6,0,83,213,128,11,0,36,96,118,19,5,13,27,42,26,12,80,107,16,3,0,41,57,29,4,1,7,10,10,6,3,23,26,12,7,2,1504,1346,427,80,24,
"Paisley Dykebar",94,107,4,0,0,55,179,8,1,2,23,94,26,1,1,10,127,164,14,0,4,91,258,41,11,4,30,54,53,15,16,50,11,3,0,6,29,31,6,0,0,9,7,4,2,3,11,8,3,1,215,725,576,124,32,
"Paisley East",228,118,0,0,0,309,282,12,6,0,26,61,9,0,1,42,155,121,8,1,29,126,170,27,7,14,38,53,20,9,63,74,8,2,0,47,58,31,3,1,2,11,11,4,4,12,25,11,7,2,772,952,428,79,25,
"Paisley Central East",103,61,2,0,0,350,272,11,4,0,7,32,5,0,0,62,115,65,1,4,27,57,48,5,1,5,10,4,4,3,24,42,6,0,0,9,21,4,0,0,4,2,1,0,1,45,31,15,1,0,634,639,167,16,8,
"Paisley Central West",274,118,1,0,0,666,469,28,1,2,28,30,9,0,0,97,176,79,8,0,46,81,58,14,4,6,16,14,10,1,67,37,4,0,1,49,31,15,3,0,6,13,5,1,0,67,32,20,0,0,1305,1003,235,34,11,
"Paisley North East",382,206,3,3,0,713,529,26,1,2,43,124,29,1,1,100,220,172,14,4,44,144,157,10,6,8,34,39,19,5,76,55,10,0,1,62,38,27,1,0,7,8,7,3,2,29,25,12,3,3,1467,1383,483,60,24,
"Paisley Ralston",159,178,8,1,2,40,127,7,2,1,22,200,86,5,2,14,151,217,17,4,4,105,245,36,9,1,37,76,63,29,11,34,7,1,0,6,28,20,6,1,1,9,10,5,1,0,9,5,4,3,257,875,674,139,52,
"Paisley Gallowhill and Hillington",272,103,4,0,0,457,339,19,1,0,49,63,9,0,0,60,127,93,3,0,53,137,98,20,5,12,35,54,24,8,134,110,14,2,0,61,74,33,2,0,17,18,11,3,1,19,29,15,2,1,1134,1035,349,51,17,
"Paisley North",218,88,4,0,0,673,498,33,4,6,22,47,17,0,0,76,212,124,10,3,44,171,178,23,6,7,31,21,19,1,107,148,16,0,1,49,63,14,4,0,7,14,9,3,1,29,37,16,1,3,1232,1308,432,64,23,
"Renfrew West",142,70,2,0,0,260,278,15,0,2,21,57,10,1,0,37,125,135,6,5,21,109,153,27,6,6,19,47,34,11,54,79,10,1,0,23,43,19,2,0,5,12,9,2,1,11,12,13,0,0,581,805,413,74,27,
"Renfrew South West",80,77,4,0,0,89,150,9,0,1,16,66,24,0,0,11,83,84,7,2,15,53,109,15,2,3,20,34,22,2,48,44,7,4,0,25,27,9,3,0,3,6,8,2,0,5,12,5,0,0,294,529,293,53,11,
"Renfrew South East",291,173,12,0,0,195,269,29,2,0,67,148,38,0,2,35,157,125,6,4,29,123,145,27,6,10,40,52,39,8,47,69,10,0,0,44,57,36,4,2,5,9,9,1,0,10,7,5,5,3,732,1054,457,85,26,
"Renfrew East",232,194,9,0,0,148,256,26,0,0,34,201,64,8,0,13,180,179,12,3,10,117,203,43,18,11,39,83,52,26,14,62,10,0,0,22,40,33,14,0,2,7,17,8,3,8,7,23,2,4,497,1103,641,136,53,
"Renfrew North West",164,108,4,0,0,337,542,23,0,3,31,66,15,0,0,43,181,152,10,0,19,80,85,4,1,9,28,26,10,3,44,74,15,1,0,32,36,24,2,2,2,6,2,3,2,12,10,17,2,0,694,1137,358,31,11,
"Renfrew North East",32,30,2,0,0,84,179,14,0,0,4,35,11,1,0,23,118,128,12,0,17,130,232,29,6,2,13,34,24,6,21,57,4,0,0,10,27,15,7,2,2,9,11,4,3,4,11,6,5,4,196,609,461,85,21,
"Erskine East and Inchinnan",108,163,4,1,0,51,195,18,3,0,26,176,77,1,0,17,146,264,26,3,7,102,306,55,15,5,30,93,113,32,7,55,10,2,1,7,34,30,6,1,3,1,11,8,3,1,8,13,4,10,223,907,826,219,66,
"Erskine Central",207,179,4,0,0,117,232,15,0,0,44,159,38,0,0,14,136,138,9,1,8,86,201,34,10,7,39,73,57,14,29,82,19,4,0,22,50,31,5,3,0,8,13,9,2,8,15,7,2,3,456,983,541,124,34,
"Erskine West",229,149,6,2,0,135,263,22,3,0,34,138,49,2,0,27,133,171,15,2,23,128,224,36,16,17,37,85,74,20,37,124,14,3,0,33,62,37,7,3,3,13,16,6,1,3,16,6,11,3,544,1063,630,159,44,
"Bishopton",121,192,6,0,0,38,127,11,4,0,19,222,109,7,0,2,146,196,19,7,4,113,189,45,15,2,33,79,64,34,1,36,8,2,0,14,19,31,6,1,0,4,5,3,4,2,9,10,0,0,205,901,644,149,63,
"Linwood South",240,82,1,0,0,341,258,20,0,9,38,73,8,0,0,37,120,87,8,2,20,107,115,18,0,22,34,37,18,3,72,96,14,3,1,52,50,22,3,1,11,6,10,6,0,12,21,14,1,0,839,843,326,58,16,
"Linwood North",258,91,2,0,0,156,197,11,3,0,36,91,7,1,0,24,107,102,6,0,25,113,153,41,0,13,45,62,43,12,46,93,15,3,0,37,57,49,10,0,5,20,11,6,0,9,14,11,1,4,611,827,420,113,16,
"Houston South",42,139,6,0,0,17,156,16,4,0,9,87,63,2,0,3,76,165,21,1,3,28,225,34,14,3,8,35,48,16,1,34,11,2,0,0,11,13,4,2,0,0,2,1,0,0,2,6,3,2,81,545,534,120,37,
"Houston North",47,106,5,1,0,20,86,11,0,0,9,97,92,7,0,3,45,138,11,0,2,40,242,38,14,2,9,29,66,20,7,41,16,3,0,4,11,17,8,1,0,1,5,2,2,0,1,4,2,0,95,443,555,136,40,
"Bridge of Weir",124,212,11,0,1,85,214,27,1,0,22,103,112,9,3,9,91,208,28,12,6,76,310,67,17,6,22,65,49,20,14,86,14,3,0,15,19,25,4,2,2,2,12,3,3,5,5,17,5,5,287,830,802,166,62,
"Tweeddale West",80,196,15,2,1,38,197,43,8,2,10,144,160,18,4,3,143,345,81,22,6,102,303,81,36,2,18,57,60,28,7,62,27,2,1,7,25,28,10,4,1,6,14,7,5,3,13,14,14,9,154,903,1011,282,116,
"Peebles North",325,219,2,0,0,231,332,19,4,0,32,153,42,2,2,36,162,130,29,7,14,136,157,29,5,5,21,42,23,4,27,71,8,1,0,15,31,17,4,1,1,2,3,4,0,8,14,13,3,1,691,1138,435,95,17,
"Peebles South",118,160,6,0,0,55,122,14,0,2,21,177,88,10,0,12,127,173,35,7,9,108,274,46,13,2,32,55,36,14,16,62,16,5,3,19,32,22,6,0,0,7,7,1,2,2,5,5,0,4,257,832,660,140,46,
"Innerleithen",138,133,6,0,0,72,200,25,5,0,16,112,48,2,0,20,103,127,22,4,7,59,158,28,6,1,17,37,20,9,7,52,8,1,0,7,19,12,0,1,4,4,6,0,0,3,11,3,6,2,275,711,432,85,21,
"Tweeddale East",60,146,13,2,0,44,150,28,0,4,9,108,72,10,4,10,88,184,33,8,5,55,176,46,12,1,13,36,32,16,3,40,10,1,0,4,8,21,4,0,3,3,7,3,1,1,7,5,2,4,143,612,549,143,46,
"Gala Water Valley and Earlston Area",111,146,13,1,0,53,209,29,4,0,10,125,62,11,2,3,118,218,45,19,9,72,209,44,17,5,7,40,38,22,10,56,11,5,0,9,17,19,6,0,0,0,10,8,4,1,7,15,6,1,209,755,623,165,71,
"Galashiels North",104,142,17,0,0,282,322,26,4,0,10,90,30,2,0,39,175,145,10,2,18,87,134,15,4,1,20,27,21,10,35,63,7,0,0,12,26,17,5,0,4,5,7,1,1,11,26,10,5,0,517,953,417,62,14,
"Galashiels West",150,81,2,0,0,281,248,18,4,0,14,67,17,1,0,36,127,84,13,2,20,87,65,8,1,3,21,29,24,10,34,37,6,0,1,19,30,14,0,1,5,5,3,0,0,18,20,12,3,3,579,725,252,51,15,
