SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Eaglesham and Waterfoot",339,0,0,0,284,0,0,0,0,276,0,0,0,316,0,0,0,543,0,0,0,157,0,0,0,0,109,0,0,0,71,0,0,0,0,24,0,0,0,20,623,1292,182,44,
"Kirkhill North",218,0,0,0,193,0,0,0,0,167,0,0,0,167,0,0,0,418,0,0,0,93,0,0,0,0,66,0,0,0,42,0,0,0,0,16,0,0,0,7,411,845,108,22,
"Busby",324,0,0,0,286,0,0,0,0,124,0,0,0,184,0,0,0,369,0,0,0,81,0,0,0,0,119,0,0,0,95,0,0,0,0,12,0,0,0,15,610,758,215,27,
"Clarkston and Sheddens",321,0,0,0,194,0,0,0,0,300,0,0,0,293,0,0,0,710,0,0,0,251,0,0,0,0,92,0,0,0,73,0,0,0,0,32,0,0,0,18,515,1552,163,53,
"Williamwood",142,0,0,0,60,0,0,0,0,141,0,0,0,171,0,0,0,428,0,0,0,106,0,0,0,0,48,0,0,0,35,0,0,0,0,9,0,0,0,13,205,846,86,22,
"Stamperland",202,0,0,0,149,0,0,0,0,158,0,0,0,263,0,0,0,375,0,0,0,139,0,0,0,0,72,0,0,0,65,0,0,0,0,14,0,0,0,12,354,932,137,25,
"Netherlee",426,0,0,0,108,0,0,0,0,297,0,0,0,218,0,0,0,521,0,0,0,175,0,0,0,0,36,0,0,0,49,0,0,0,0,15,0,0,0,12,534,1214,81,27,
"Merrylee and Braidbar",409,0,0,0,144,0,0,0,0,309,0,0,0,255,0,0,0,486,0,0,0,169,0,0,0,0,37,0,0,0,72,0,0,0,0,40,0,0,0,22,553,1217,112,66,
"Lower Whitecraigs and Giffnock South",199,0,0,0,42,0,0,0,0,225,0,0,0,197,0,0,0,361,0,0,0,147,0,0,0,0,22,0,0,0,32,0,0,0,0,21,0,0,0,14,241,927,54,35,
"Giffnock North and Thornliebank North",537,0,0,0,283,0,0,0,0,157,0,0,0,202,0,0,0,281,0,0,0,110,0,0,0,0,55,0,0,0,61,0,0,0,0,22,0,0,0,29,820,750,120,51,
"Thornliebank South and Woodfarm",234,0,0,0,310,0,0,0,0,133,0,0,0,201,0,0,0,407,0,0,0,123,0,0,0,0,98,0,0,0,98,0,0,0,0,37,0,0,0,34,544,868,196,68,
"Dunipace",210,0,0,0,372,0,0,0,0,137,0,0,0,259,0,0,0,261,0,0,0,101,0,0,0,0,118,0,0,0,67,0,0,0,0,29,0,0,0,33,580,758,185,62,
"Fankerton, Stoneywood and Denny Town",266,0,0,0,430,0,0,0,0,169,0,0,0,495,0,0,0,476,0,0,0,154,0,0,0,0,135,0,0,0,81,0,0,0,0,36,0,0,0,46,695,1294,214,86,
"Denny - Nethermains",272,0,0,0,342,0,0,0,0,207,0,0,0,253,0,0,0,297,0,0,0,129,0,0,0,0,151,0,0,0,111,0,0,0,0,29,0,0,0,40,610,886,260,69,
"Head of Muir and Dennyloanhead",153,0,0,0,147,0,0,0,0,137,0,0,0,257,0,0,0,246,0,0,0,143,0,0,0,0,47,0,0,0,43,0,0,0,0,19,0,0,0,16,300,779,93,35,
"Banknock, Haggs and Longcroft",181,0,0,0,303,0,0,0,0,170,0,0,0,294,0,0,0,288,0,0,0,142,0,0,0,0,104,0,0,0,102,0,0,0,0,26,0,0,0,38,486,892,206,60,
"Bonnybridge",298,0,0,0,395,0,0,0,0,189,0,0,0,398,0,0,0,336,0,0,0,188,0,0,0,0,158,0,0,0,116,0,0,0,0,33,0,0,0,41,693,1111,274,74,
"High Bonnybridge and Greenhill",136,0,0,0,245,0,0,0,0,112,0,0,0,297,0,0,0,380,0,0,0,111,0,0,0,0,97,0,0,0,66,0,0,0,0,21,0,0,0,31,380,896,167,52,
"Larbert - Inches",76,0,0,0,329,0,0,0,0,72,0,0,0,431,0,0,0,888,0,0,0,144,0,0,0,0,130,0,0,0,49,0,0,0,0,33,0,0,0,25,405,1535,178,58,
"Larbert - North Broomage",176,0,0,0,229,0,0,0,0,132,0,0,0,240,0,0,0,252,0,0,0,93,0,0,0,0,88,0,0,0,48,0,0,0,0,20,0,0,0,20,406,717,136,43,
"Larbert - South Broomage and Village",223,0,0,0,252,0,0,0,0,213,0,0,0,328,0,0,0,380,0,0,0,131,0,0,0,0,57,0,0,0,51,0,0,0,0,13,0,0,0,22,475,1048,107,35,
"Stenhousemuir West",247,0,0,0,291,0,0,0,0,95,0,0,0,203,0,0,0,213,0,0,0,118,0,0,0,0,146,0,0,0,87,0,0,0,0,34,0,0,0,36,541,629,233,70,
"Stenhousemuir East",234,0,0,0,274,0,0,0,0,166,0,0,0,300,0,0,0,233,0,0,0,110,0,0,0,0,106,0,0,0,77,0,0,0,0,16,0,0,0,19,509,809,181,35,
"Stenhousemuir - Antonshill",244,0,0,0,199,0,0,0,0,223,0,0,0,332,0,0,0,249,0,0,0,113,0,0,0,0,51,0,0,0,36,0,0,0,0,18,0,0,0,15,441,908,87,33,
"Carron",140,0,0,0,236,0,0,0,0,144,0,0,0,255,0,0,0,170,0,0,0,88,0,0,0,0,57,0,0,0,32,0,0,0,0,24,0,0,0,15,376,662,88,39,
"Carronshore",116,0,0,0,204,0,0,0,0,77,0,0,0,209,0,0,0,212,0,0,0,96,0,0,0,0,84,0,0,0,54,0,0,0,0,23,0,0,0,30,324,593,138,53,
"Carse and Grangemouth Old Town",141,0,0,0,191,0,0,0,0,124,0,0,0,248,0,0,0,205,0,0,0,79,0,0,0,0,68,0,0,0,44,0,0,0,0,17,0,0,0,20,330,656,112,31,
"Falkirk - Bainsford and Langlees",239,0,0,0,519,0,0,0,0,77,0,0,0,237,0,0,0,219,0,0,0,95,0,0,0,0,175,0,0,0,108,0,0,0,0,28,0,0,0,45,758,630,281,73,
"Falkirk - Merchiston and New Carron Village",165,0,0,0,446,0,0,0,0,111,0,0,0,441,0,0,0,417,0,0,0,119,0,0,0,0,87,0,0,0,68,0,0,0,0,21,0,0,0,34,611,1086,155,55,
"Falkirk - Grahamston",273,0,0,0,826,0,0,0,0,81,0,0,0,309,0,0,0,200,0,0,0,59,0,0,0,0,90,0,0,0,60,0,0,0,0,19,0,0,0,42,1099,649,149,61,
"Falkirk - Westfield",112,0,0,0,204,0,0,0,0,58,0,0,0,135,0,0,0,163,0,0,0,69,0,0,0,0,93,0,0,0,69,0,0,0,0,28,0,0,0,25,320,425,162,53,
"Falkirk - Middlefield",160,0,0,0,358,0,0,0,0,74,0,0,0,247,0,0,0,163,0,0,0,59,0,0,0,0,58,0,0,0,62,0,0,0,0,16,0,0,0,19,518,546,124,32,
"Falkirk - Town Centre and Callendar Park",703,0,0,0,594,0,0,0,0,237,0,0,0,290,0,0,0,157,0,0,0,41,0,0,0,0,46,0,0,0,57,0,0,0,0,3,0,0,0,27,1297,725,103,34,
"Falkirk - Bantaskin",263,0,0,0,271,0,0,0,0,165,0,0,0,307,0,0,0,270,0,0,0,102,0,0,0,0,87,0,0,0,72,0,0,0,0,23,0,0,0,31,534,845,159,50,
"Falkirk - Camelon East",234,0,0,0,618,0,0,0,0,74,0,0,0,231,0,0,0,133,0,0,0,57,0,0,0,0,103,0,0,0,73,0,0,0,0,20,0,0,0,41,852,495,176,61,
"Falkirk - Camelon West",148,0,0,0,267,0,0,0,0,65,0,0,0,211,0,0,0,190,0,0,0,78,0,0,0,0,116,0,0,0,79,0,0,0,0,25,0,0,0,28,415,544,195,53,
"Falkirk - Tamfourhill",271,0,0,0,347,0,0,0,0,118,0,0,0,191,0,0,0,163,0,0,0,91,0,0,0,0,61,0,0,0,67,0,0,0,0,13,0,0,0,33,621,563,127,45,
"Falkirk - Lochgreen and Lionthorn",150,0,0,0,145,0,0,0,0,193,0,0,0,359,0,0,0,397,0,0,0,141,0,0,0,0,42,0,0,0,31,0,0,0,0,13,0,0,0,19,293,1086,73,36,
"Hallglen and Glen Village",166,0,0,0,317,0,0,0,0,104,0,0,0,222,0,0,0,212,0,0,0,95,0,0,0,0,165,0,0,0,78,0,0,0,0,25,0,0,0,40,483,630,246,65,
"Shieldhill",117,0,0,0,152,0,0,0,0,99,0,0,0,235,0,0,0,178,0,0,0,88,0,0,0,0,52,0,0,0,49,0,0,0,0,18,0,0,0,15,269,603,101,37,
"Braes Villages",271,0,0,0,312,0,0,0,0,151,0,0,0,396,0,0,0,367,0,0,0,159,0,0,0,0,143,0,0,0,102,0,0,0,0,41,0,0,0,55,583,1075,245,96,
"Reddingmuirhead and Overton",98,0,0,0,213,0,0,0,0,102,0,0,0,405,0,0,0,690,0,0,0,115,0,0,0,0,75,0,0,0,41,0,0,0,0,26,0,0,0,10,311,1312,113,37,
"Brightons and Wallacestone",215,0,0,0,236,0,0,0,0,202,0,0,0,326,0,0,0,388,0,0,0,133,0,0,0,0,75,0,0,0,71,0,0,0,0,23,0,0,0,17,451,1049,150,40,
"Maddiston and Rumford",225,0,0,0,265,0,0,0,0,187,0,0,0,366,0,0,0,543,0,0,0,143,0,0,0,0,147,0,0,0,85,0,0,0,0,34,0,0,0,29,490,1238,231,66,
"Polmont",319,0,0,0,355,0,0,0,0,296,0,0,0,428,0,0,0,248,0,0,0,130,0,0,0,0,49,0,0,0,49,0,0,0,0,18,0,0,0,35,674,1102,98,53,
"Redding",213,0,0,0,190,0,0,0,0,148,0,0,0,240,0,0,0,235,0,0,0,101,0,0,0,0,72,0,0,0,69,0,0,0,0,21,0,0,0,20,402,718,148,37,
"Laurieston and Westquarter",234,0,0,0,370,0,0,0,0,149,0,0,0,232,0,0,0,206,0,0,0,116,0,0,0,0,83,0,0,0,64,0,0,0,0,25,0,0,0,31,604,709,148,56,
"Grangemouth - Newlands",376,0,0,0,594,0,0,0,0,169,0,0,0,399,0,0,0,314,0,0,0,134,0,0,0,0,171,0,0,0,138,0,0,0,0,14,0,0,0,35,966,1018,309,49,
"Grangemouth - Town Centre",351,0,0,0,581,0,0,0,0,173,0,0,0,359,0,0,0,215,0,0,0,93,0,0,0,0,76,0,0,0,59,0,0,0,0,18,0,0,0,22,929,840,135,40,
"Grangemouth - Kersiebank",306,0,0,0,517,0,0,0,0,157,0,0,0,323,0,0,0,294,0,0,0,142,0,0,0,0,153,0,0,0,88,0,0,0,0,24,0,0,0,49,823,916,241,73,
"Grangemouth - Bowhouse",307,0,0,0,529,0,0,0,0,143,0,0,0,229,0,0,0,241,0,0,0,106,0,0,0,0,151,0,0,0,89,0,0,0,0,17,0,0,0,26,836,719,240,43,
"Bo'ness - Kinneil",268,0,0,0,296,0,0,0,0,261,0,0,0,346,0,0,0,340,0,0,0,175,0,0,0,0,120,0,0,0,78,0,0,0,0,20,0,0,0,27,564,1117,198,49,
"Bo'ness - Newtown",213,0,0,0,270,0,0,0,0,158,0,0,0,263,0,0,0,338,0,0,0,106,0,0,0,0,91,0,0,0,58,0,0,0,0,18,0,0,0,15,483,866,149,33,
"Bo'ness - town centre",232,0,0,0,480,0,0,0,0,127,0,0,0,247,0,0,0,195,0,0,0,59,0,0,0,0,100,0,0,0,74,0,0,0,0,21,0,0,0,27,712,629,171,47,
"Blackness, Bo'ness - Carriden and Grahamsdyke",315,0,0,0,482,0,0,0,0,215,0,0,0,418,0,0,0,394,0,0,0,132,0,0,0,0,137,0,0,0,78,0,0,0,0,15,0,0,0,43,797,1159,215,61,
"Kincardine",228,0,0,0,310,0,0,0,0,190,0,0,0,312,0,0,0,204,0,0,0,88,0,0,0,0,77,0,0,0,60,0,0,0,0,15,0,0,0,35,538,793,137,47,
"Comrie and Oakley",165,0,0,0,256,0,0,0,0,102,0,0,0,241,0,0,0,225,0,0,0,91,0,0,0,0,116,0,0,0,69,0,0,0,0,32,0,0,0,32,421,659,181,64,
"Blairhall Saline and Carnock",237,0,0,0,236,0,0,0,0,226,0,0,0,380,0,0,0,349,0,0,0,129,0,0,0,0,121,0,0,0,68,0,0,0,0,26,0,0,0,37,475,1086,187,63,
"Valleyfield Culross and Torryburn",229,0,0,0,372,0,0,0,0,167,0,0,0,349,0,0,0,285,0,0,0,98,0,0,0,0,119,0,0,0,71,0,0,0,0,31,0,0,0,33,604,901,190,64,
"Cairneyhill and Crombie",188,0,0,0,199,0,0,0,0,153,0,0,0,236,0,0,0,251,0,0,0,115,0,0,0,0,69,0,0,0,49,0,0,0,0,17,0,0,0,22,387,756,124,39,
"Crossford Charlestown and Limekilns",339,0,0,0,207,0,0,0,0,359,0,0,0,361,0,0,0,315,0,0,0,103,0,0,0,0,53,0,0,0,58,0,0,0,0,18,0,0,0,32,547,1138,111,50,
"Dunfermline Milesmark and Wellwood",199,0,0,0,274,0,0,0,0,206,0,0,0,421,0,0,0,364,0,0,0,141,0,0,0,0,80,0,0,0,57,0,0,0,0,34,0,0,0,24,477,1128,137,58,
"Dunfermline Baldridgeburn",373,0,0,0,772,0,0,0,0,87,0,0,0,298,0,0,0,205,0,0,0,62,0,0,0,0,131,0,0,0,70,0,0,0,0,18,0,0,0,59,1145,651,203,77,
"Dunfermline Headwell",280,0,0,0,707,0,0,0,0,166,0,0,0,358,0,0,0,287,0,0,0,127,0,0,0,0,130,0,0,0,113,0,0,0,0,26,0,0,0,57,991,938,241,86,
"Dunfermline Central",242,0,0,0,646,0,0,0,0,125,0,0,0,358,0,0,0,177,0,0,0,66,0,0,0,0,48,0,0,0,41,0,0,0,0,19,0,0,0,51,886,726,89,71,
"Dunfermline Brucefield",189,0,0,0,376,0,0,0,0,113,0,0,0,221,0,0,0,233,0,0,0,98,0,0,0,0,87,0,0,0,81,0,0,0,0,39,0,0,0,44,565,665,168,83,
"Dunfermline Garvock Hill",208,0,0,0,127,0,0,0,0,200,0,0,0,276,0,0,0,249,0,0,0,125,0,0,0,0,36,0,0,0,38,0,0,0,0,8,0,0,0,22,335,848,78,33,
"Townhill and Kingseat",195,0,0,0,200,0,0,0,0,167,0,0,0,242,0,0,0,177,0,0,0,72,0,0,0,0,67,0,0,0,45,0,0,0,0,17,0,0,0,23,395,659,112,36,
"Dunfermline Bellyeoman",267,0,0,0,193,0,0,0,0,226,0,0,0,272,0,0,0,225,0,0,0,83,0,0,0,0,71,0,0,0,45,0,0,0,0,11,0,0,0,21,460,805,115,32,
"Dunfermline Duloch North",33,0,0,0,244,0,0,0,0,35,0,0,0,235,0,0,0,441,0,0,0,60,0,0,0,0,89,0,0,0,41,0,0,0,0,27,0,0,0,14,276,770,133,43,
"Dunfermline Halbeath and Lynebank",99,0,0,0,197,0,0,0,0,100,0,0,0,325,0,0,0,488,0,0,0,117,0,0,0,0,116,0,0,0,49,0,0,0,0,37,0,0,0,19,296,1030,165,56,
"Dunfermline Touch and Woodmill",194,0,0,0,395,0,0,0,0,76,0,0,0,211,0,0,0,230,0,0,0,68,0,0,0,0,141,0,0,0,95,0,0,0,0,27,0,0,0,48,589,585,233,75,
"Dunfermline Abbeyview North",236,0,0,0,465,0,0,0,0,83,0,0,0,251,0,0,0,334,0,0,0,107,0,0,0,0,172,0,0,0,103,0,0,0,0,29,0,0,0,53,696,777,275,82,
"Dunfermline Abbeyview South",171,0,0,0,235,0,0,0,0,94,0,0,0,193,0,0,0,248,0,0,0,95,0,0,0,0,107,0,0,0,70,0,0,0,0,16,0,0,0,25,406,630,177,43,
"Dunfermline Duloch South",62,0,0,0,195,0,0,0,0,57,0,0,0,252,0,0,0,527,0,0,0,110,0,0,0,0,71,0,0,0,33,0,0,0,0,18,0,0,0,32,257,946,104,47,
"Dunfermline Masterton",63,0,0,0,234,0,0,0,0,55,0,0,0,358,0,0,0,614,0,0,0,75,0,0,0,0,90,0,0,0,29,0,0,0,0,16,0,0,0,21,297,1102,115,37,
"Dunfermline Pitcorthie East",190,0,0,0,160,0,0,0,0,224,0,0,0,337,0,0,0,330,0,0,0,124,0,0,0,0,39,0,0,0,43,0,0,0,0,21,0,0,0,22,350,1016,86,43,
"Dunfermline Pitcorthie West",188,0,0,0,150,0,0,0,0,171,0,0,0,245,0,0,0,173,0,0,0,100,0,0,0,0,28,0,0,0,41,0,0,0,0,20,0,0,0,14,339,689,69,34,
"Rosyth North",187,0,0,0,231,0,0,0,0,112,0,0,0,246,0,0,0,245,0,0,0,74,0,0,0,0,90,0,0,0,69,0,0,0,0,17,0,0,0,37,418,680,159,50,
"Rosyth East",197,0,0,0,272,0,0,0,0,116,0,0,0,260,0,0,0,226,0,0,0,119,0,0,0,0,94,0,0,0,80,0,0,0,0,25,0,0,0,37,469,721,174,64,
"Rosyth Central",291,0,0,0,412,0,0,0,0,127,0,0,0,290,0,0,0,246,0,0,0,115,0,0,0,0,133,0,0,0,96,0,0,0,0,22,0,0,0,37,706,781,229,63,
"Rosyth South",57,0,0,0,136,0,0,0,0,62,0,0,0,199,0,0,0,242,0,0,0,70,0,0,0,0,76,0,0,0,50,0,0,0,0,25,0,0,0,20,193,573,125,48,
"North Queensferry and Inverkeithing West",221,0,0,0,486,0,0,0,0,154,0,0,0,371,0,0,0,308,0,0,0,98,0,0,0,0,94,0,0,0,97,0,0,0,0,32,0,0,0,51,707,931,193,83,
"Inverkeithing East",213,0,0,0,292,0,0,0,0,115,0,0,0,290,0,0,0,267,0,0,0,89,0,0,0,0,106,0,0,0,60,0,0,0,0,15,0,0,0,31,505,761,166,46,
"Dalgety Bay West and Hillend",81,0,0,0,117,0,0,0,0,82,0,0,0,229,0,0,0,279,0,0,0,95,0,0,0,0,26,0,0,0,26,0,0,0,0,14,0,0,0,20,198,685,52,34,
"Dalgety Bay Central",366,0,0,0,340,0,0,0,0,389,0,0,0,379,0,0,0,294,0,0,0,112,0,0,0,0,61,0,0,0,50,0,0,0,0,18,0,0,0,25,710,1174,111,46,
"Dalgety Bay East",185,0,0,0,101,0,0,0,0,197,0,0,0,218,0,0,0,178,0,0,0,81,0,0,0,0,61,0,0,0,44,0,0,0,0,15,0,0,0,16,286,676,107,29,
"Crossgates and South Knowe",194,0,0,0,227,0,0,0,0,140,0,0,0,316,0,0,0,289,0,0,0,90,0,0,0,0,60,0,0,0,48,0,0,0,0,17,0,0,0,19,421,837,108,36,
"Hill of Beath",177,0,0,0,303,0,0,0,0,111,0,0,0,264,0,0,0,244,0,0,0,99,0,0,0,0,125,0,0,0,75,0,0,0,0,35,0,0,0,45,480,718,201,84,
"Cowdenbeath South",229,0,0,0,368,0,0,0,0,118,0,0,0,234,0,0,0,175,0,0,0,86,0,0,0,0,120,0,0,0,74,0,0,0,0,35,0,0,0,37,600,616,194,72,
"Cowdenbeath North",285,0,0,0,406,0,0,0,0,190,0,0,0,419,0,0,0,439,0,0,0,135,0,0,0,0,116,0,0,0,76,0,0,0,0,34,0,0,0,30,688,1183,192,64,
"Kelty West",130,0,0,0,258,0,0,0,0,99,0,0,0,185,0,0,0,206,0,0,0,100,0,0,0,0,118,0,0,0,63,0,0,0,0,28,0,0,0,26,389,590,183,54,
"Kelty East and Landward",294,0,0,0,413,0,0,0,0,161,0,0,0,366,0,0,0,330,0,0,0,99,0,0,0,0,105,0,0,0,69,0,0,0,0,25,0,0,0,44,707,958,174,69,
"Lochore and Crosshill",204,0,0,0,255,0,0,0,0,98,0,0,0,211,0,0,0,147,0,0,0,98,0,0,0,0,113,0,0,0,57,0,0,0,0,22,0,0,0,24,459,554,176,48,
"Ballingry",138,0,0,0,272,0,0,0,0,76,0,0,0,193,0,0,0,223,0,0,0,89,0,0,0,0,205,0,0,0,83,0,0,0,0,32,0,0,0,29,409,585,288,61,
"Cardenden",341,0,0,0,446,0,0,0,0,215,0,0,0,371,0,0,0,356,0,0,0,133,0,0,0,0,211,0,0,0,120,0,0,0,0,53,0,0,0,41,785,1077,329,94,
"Lochgelly East",277,0,0,0,434,0,0,0,0,210,0,0,0,423,0,0,0,354,0,0,0,168,0,0,0,0,125,0,0,0,103,0,0,0,0,23,0,0,0,29,711,1147,229,52,
"Lochgelly West and Lumphinnans",197,0,0,0,393,0,0,0,0,89,0,0,0,239,0,0,0,161,0,0,0,73,0,0,0,0,119,0,0,0,83,0,0,0,0,24,0,0,0,41,590,562,203,62,
"Aberdour and Auchtertool",241,0,0,0,290,0,0,0,0,184,0,0,0,303,0,0,0,295,0,0,0,75,0,0,0,0,56,0,0,0,37,0,0,0,0,19,0,0,0,31,530,857,94,50,
"Burntisland West",261,0,0,0,418,0,0,0,0,144,0,0,0,270,0,0,0,328,0,0,0,84,0,0,0,0,102,0,0,0,70,0,0,0,0,36,0,0,0,48,679,826,172,84,
"Burntisland East",208,0,0,0,221,0,0,0,0,172,0,0,0,234,0,0,0,181,0,0,0,68,0,0,0,0,67,0,0,0,46,0,0,0,0,16,0,0,0,17,429,653,113,35,
"Kinghorn",286,0,0,0,257,0,0,0,0,180,0,0,0,241,0,0,0,170,0,0,0,64,0,0,0,0,72,0,0,0,53,0,0,0,0,11,0,0,0,17,543,658,121,28,
"Kirkcaldy Linktown and Seafield",289,0,0,0,611,0,0,0,0,149,0,0,0,363,0,0,0,359,0,0,0,112,0,0,0,0,160,0,0,0,72,0,0,0,0,37,0,0,0,42,902,983,232,79,
"Kirkcaldy Central",351,0,0,0,533,0,0,0,0,142,0,0,0,322,0,0,0,203,0,0,0,69,0,0,0,0,84,0,0,0,47,0,0,0,0,12,0,0,0,42,884,736,132,59,
"Kirkcaldy Bennochy East",302,0,0,0,635,0,0,0,0,116,0,0,0,286,0,0,0,150,0,0,0,52,0,0,0,0,76,0,0,0,41,0,0,0,0,10,0,0,0,46,933,601,117,57,
"Kirkcaldy Bennochy West",216,0,0,0,276,0,0,0,0,136,0,0,0,203,0,0,0,221,0,0,0,90,0,0,0,0,97,0,0,0,64,0,0,0,0,22,0,0,0,30,493,650,161,52,
"Kirkcaldy Raith",166,0,0,0,148,0,0,0,0,180,0,0,0,251,0,0,0,207,0,0,0,95,0,0,0,0,34,0,0,0,25,0,0,0,0,24,0,0,0,13,314,733,59,40,
"Kirkcaldy Newliston and Redcraigs",233,0,0,0,259,0,0,0,0,210,0,0,0,249,0,0,0,232,0,0,0,96,0,0,0,0,80,0,0,0,51,0,0,0,0,24,0,0,0,21,492,787,133,45,
"Kirkcaldy Templehall West",227,0,0,0,308,0,0,0,0,102,0,0,0,212,0,0,0,203,0,0,0,90,0,0,0,0,170,0,0,0,76,0,0,0,0,21,0,0,0,39,537,607,246,58,
"Kirkcaldy Templehall East",266,0,0,0,513,0,0,0,0,100,0,0,0,297,0,0,0,360,0,0,0,130,0,0,0,0,258,0,0,0,124,0,0,0,0,41,0,0,0,59,779,887,382,100,
"Kirkcaldy Dunnikier",224,0,0,0,128,0,0,0,0,271,0,0,0,285,0,0,0,282,0,0,0,97,0,0,0,0,45,0,0,0,44,0,0,0,0,15,0,0,0,15,349,935,89,30,
"Kirkcaldy Chapel",236,0,0,0,329,0,0,0,0,170,0,0,0,389,0,0,0,544,0,0,0,136,0,0,0,0,127,0,0,0,52,0,0,0,0,50,0,0,0,33,565,1239,177,84,
"Kirkcaldy Hayfield and Smeaton",241,0,0,0,356,0,0,0,0,128,0,0,0,229,0,0,0,264,0,0,0,86,0,0,0,0,149,0,0,0,84,0,0,0,0,58,0,0,0,54,597,707,233,112,
"Kirkcaldy Pathhead",342,0,0,0,464,0,0,0,0,143,0,0,0,316,0,0,0,121,0,0,0,60,0,0,0,0,45,0,0,0,53,0,0,0,0,12,0,0,0,46,806,640,98,58,
"Kirkcaldy Gallatown and Sinclairtown",424,0,0,0,756,0,0,0,0,117,0,0,0,304,0,0,0,322,0,0,0,84,0,0,0,0,255,0,0,0,106,0,0,0,0,32,0,0,0,59,1180,827,363,91,
"Dysart",266,0,0,0,587,0,0,0,0,140,0,0,0,266,0,0,0,254,0,0,0,70,0,0,0,0,100,0,0,0,73,0,0,0,0,27,0,0,0,73,855,729,173,101,
"Wemyss",256,0,0,0,373,0,0,0,0,181,0,0,0,338,0,0,0,244,0,0,0,98,0,0,0,0,93,0,0,0,56,0,0,0,0,22,0,0,0,37,629,859,149,57,
"Thornton and Kinglassie",303,0,0,0,456,0,0,0,0,179,0,0,0,476,0,0,0,417,0,0,0,159,0,0,0,0,193,0,0,0,104,0,0,0,0,42,0,0,0,39,761,1225,297,81,
"Leslie and Newcastle",310,0,0,0,428,0,0,0,0,186,0,0,0,329,0,0,0,281,0,0,0,110,0,0,0,0,160,0,0,0,72,0,0,0,0,36,0,0,0,39,738,911,232,69,
"Glenrothes Macedonia and Tanshall",253,0,0,0,472,0,0,0,0,101,0,0,0,257,0,0,0,293,0,0,0,97,0,0,0,0,237,0,0,0,119,0,0,0,0,48,0,0,0,50,723,747,356,99,
"Glenrothes South Parks",249,0,0,0,176,0,0,0,0,105,0,0,0,155,0,0,0,146,0,0,0,60,0,0,0,0,74,0,0,0,55,0,0,0,0,11,0,0,0,26,425,470,133,37,
"Glenrothes Caskieberran and Rimbleton",315,0,0,0,387,0,0,0,0,155,0,0,0,349,0,0,0,294,0,0,0,154,0,0,0,0,119,0,0,0,86,0,0,0,0,37,0,0,0,29,702,952,202,67,
"Glenrothes Auchmuty",193,0,0,0,378,0,0,0,0,88,0,0,0,214,0,0,0,222,0,0,0,76,0,0,0,0,126,0,0,0,104,0,0,0,0,40,0,0,0,34,571,603,230,75,
"Glenrothes Stenton and Finglassie",201,0,0,0,245,0,0,0,0,184,0,0,0,318,0,0,0,157,0,0,0,129,0,0,0,0,56,0,0,0,38,0,0,0,0,25,0,0,0,24,446,788,94,48,
"Glenrothes Pitteuchar",320,0,0,0,365,0,0,0,0,244,0,0,0,335,0,0,0,370,0,0,0,145,0,0,0,0,158,0,0,0,99,0,0,0,0,51,0,0,0,31,685,1098,257,79,
"Glenrothes Woodside",193,0,0,0,196,0,0,0,0,103,0,0,0,164,0,0,0,204,0,0,0,78,0,0,0,0,87,0,0,0,62,0,0,0,0,33,0,0,0,31,389,552,151,64,
"Glenrothes Balgeddie",198,0,0,0,139,0,0,0,0,245,0,0,0,307,0,0,0,234,0,0,0,120,0,0,0,0,26,0,0,0,28,0,0,0,0,20,0,0,0,21,338,906,54,40,
"Glenrothes Collydean",117,0,0,0,275,0,0,0,0,54,0,0,0,135,0,0,0,175,0,0,0,48,0,0,0,0,90,0,0,0,49,0,0,0,0,33,0,0,0,16,388,412,143,49,
"Glenrothes Cadham and Pitcoudie",182,0,0,0,262,0,0,0,0,89,0,0,0,200,0,0,0,172,0,0,0,71,0,0,0,0,84,0,0,0,50,0,0,0,0,17,0,0,0,21,448,532,134,43,
"Glenrothes Balfarg Pitcairn and Coul",178,0,0,0,201,0,0,0,0,156,0,0,0,266,0,0,0,199,0,0,0,90,0,0,0,0,53,0,0,0,48,0,0,0,0,10,0,0,0,30,372,713,101,40,
