SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Irvine Tarryholme",217,107,107,24,9,284,148,59,22,0,78,98,27,11,2,23,101,25,10,2,8,31,11,7,0,610,481,229,68,12,
"Dreghorn",236,112,164,66,8,271,127,119,44,8,56,98,46,18,1,28,97,29,11,0,4,30,10,2,0,594,469,368,143,18,
"Irvine Broomlands",121,73,144,28,15,151,95,113,61,2,29,57,49,46,0,14,47,43,12,0,8,17,30,10,1,321,293,381,155,19,
"Irvine Bourtreehill",93,45,184,19,12,97,55,113,33,1,23,51,66,18,2,10,50,52,29,0,2,9,31,17,0,226,210,446,122,15,
"Irvine Girdle Toll and Staneca",217,140,259,76,11,285,214,117,65,4,42,152,55,37,1,7,116,20,16,0,2,25,10,2,0,556,652,464,194,16,
"Irvine Perceton and Lawthorn",211,126,230,30,6,424,288,132,32,4,118,249,55,24,2,48,251,27,12,0,6,47,9,7,1,816,962,456,101,13,
"Irvine Castlepark North",158,56,212,70,8,213,108,142,63,6,46,86,84,45,1,15,58,49,40,0,12,23,40,23,0,444,331,527,241,14,
"Irvine Castlepark South",133,75,278,77,15,127,82,195,81,3,49,75,113,37,0,13,58,71,22,0,4,22,31,10,1,326,304,688,224,18,
"Irvine East",188,101,235,73,24,186,110,137,59,2,58,64,62,20,3,16,67,37,14,0,4,14,21,3,0,452,357,492,169,28,
"Irvine Central",260,95,261,161,17,253,102,110,65,5,43,63,60,20,3,19,59,37,6,0,4,21,19,6,0,583,340,488,264,26,
"Irvine Fullarton",141,74,403,99,17,135,69,148,38,4,18,23,74,21,0,12,15,34,1,0,2,11,23,8,1,302,190,679,167,21,
"Stevenston Ardeer",160,70,180,62,10,126,116,96,23,3,30,89,64,9,0,18,104,41,5,0,3,42,20,5,0,336,425,398,99,14,
"Saltcoats Central",260,111,432,254,17,173,116,154,66,8,39,62,83,34,1,19,35,38,13,2,6,25,13,8,2,503,352,720,374,27,
"Ardrossan Central",222,83,542,136,23,149,79,131,44,4,43,54,43,21,1,8,31,32,9,0,3,22,19,2,0,422,273,761,212,26,
"Ardrossan North West",279,113,128,73,12,375,154,67,41,2,76,78,18,15,3,33,70,11,12,1,4,17,8,2,0,770,433,232,142,19,
"Ardrossan North East",183,106,328,35,12,264,157,189,52,12,67,103,122,27,0,25,85,74,18,0,11,25,53,4,0,547,472,765,135,24,
"Saltcoats North West",269,67,71,57,11,339,121,35,21,1,88,125,9,10,0,42,124,8,7,2,10,46,1,4,0,746,480,129,99,16,
"Saltcoats North East",208,139,250,58,9,222,197,214,48,2,65,137,107,48,1,36,128,83,23,1,11,38,32,16,0,538,645,684,197,17,
"Stevenston North West",221,76,295,96,5,235,114,62,27,6,41,62,39,19,1,21,73,16,13,0,7,25,10,2,2,523,350,426,157,15,
"Stevenston Hayocks",216,93,301,48,11,194,111,183,52,3,52,91,140,43,0,15,72,46,21,1,6,21,46,15,0,482,389,716,183,15,
"Kilwinning Whitehirst Park and Woodside",268,173,53,57,12,487,294,18,42,3,108,212,9,27,0,54,239,3,16,0,11,68,4,8,1,928,986,79,150,15,
"Kilwinning Pennyburn",141,71,196,33,5,144,88,154,32,5,26,59,107,37,0,13,38,53,17,0,6,20,52,14,0,334,272,562,133,10,
"Kilwinning West and Blacklands",245,93,439,49,22,244,142,293,55,7,56,100,114,26,0,13,62,52,15,2,6,26,41,12,0,567,427,939,157,29,
"Kilwinning Central and North",238,83,310,92,18,242,142,151,53,9,51,90,63,19,0,16,92,60,17,1,6,42,44,1,0,555,449,631,184,32,
"Dalry East and Rural",193,69,267,63,17,245,113,99,32,4,53,70,39,13,0,21,46,28,8,1,12,35,9,6,1,524,333,439,125,23,
"Dalry West",178,62,139,65,13,216,101,77,40,5,54,88,65,17,1,15,90,32,4,0,4,29,25,5,0,467,372,338,129,19,
"Fairlie and Rural",225,57,71,37,18,292,119,62,25,7,55,92,34,13,4,24,91,12,16,3,11,33,11,2,0,607,392,187,91,31,
"West Kilbride and Seamill",454,133,174,85,18,584,213,65,49,5,79,141,38,19,4,38,141,15,11,2,12,66,12,1,0,1171,694,304,168,29,
"Largs South",550,113,79,123,28,497,125,34,52,8,45,89,16,19,2,17,94,4,10,1,11,32,3,1,0,1122,451,138,204,39,
"Largs Central and Cumbrae",527,185,307,307,26,431,121,102,101,6,63,75,43,44,3,20,96,32,22,0,12,21,12,10,1,1055,501,499,481,36,
"Largs North",494,95,42,58,13,591,177,13,48,3,86,102,8,15,0,36,109,3,9,0,11,41,0,6,0,1218,529,63,137,16,
"Skelmorlie and Rural",206,75,37,51,13,405,147,23,36,3,53,78,8,10,1,44,57,10,7,0,4,26,4,6,0,712,380,84,107,18,
"Kilbirnie North",185,80,226,70,13,226,113,97,21,4,46,86,86,13,3,19,75,45,10,0,6,28,29,8,0,482,387,483,118,24,
"Kilbirnie South and Longbar",288,110,439,81,15,224,122,197,47,3,74,93,111,25,0,23,58,68,6,0,3,10,31,6,0,609,393,842,168,16,
"Beith West",198,84,186,49,11,257,113,80,19,4,41,95,40,13,1,17,82,40,10,1,2,19,12,3,1,518,396,358,96,16,
"Beith East and Rural",276,123,185,69,13,327,180,90,32,8,80,142,46,15,2,31,110,23,7,0,9,41,13,8,0,727,596,357,132,24,
"Overtown",147,60,262,39,14,211,124,142,23,6,54,97,58,9,0,33,102,34,10,0,10,28,9,3,0,454,411,505,84,21,
"Netherton and Kirkhill",205,85,181,43,26,207,141,94,27,6,71,109,43,18,0,25,119,23,15,0,11,35,10,5,0,518,492,355,111,28,
"Muirhouse",114,58,438,30,13,116,126,182,25,2,44,118,70,16,2,25,170,49,8,0,4,50,13,2,0,303,525,752,80,18,
"Muirhouse and Knowetop",204,119,118,50,5,273,147,43,37,4,63,113,20,14,2,26,160,20,8,0,5,38,2,12,0,571,577,199,122,11,
"Flemington",113,95,535,33,9,151,118,210,30,5,34,102,80,14,2,22,138,48,7,0,10,40,14,3,0,334,494,893,87,13,
"Craigneuk Wishaw",123,92,550,69,30,135,140,296,70,2,29,113,173,35,1,9,81,109,18,0,8,41,72,12,0,306,467,1200,204,35,
"Pather",131,96,304,73,11,171,136,168,56,8,46,92,119,38,6,20,89,66,16,0,9,38,35,9,0,377,451,692,191,26,
"Wishaw South",245,123,547,122,26,210,161,221,55,0,70,111,90,27,0,38,115,65,17,1,11,46,51,10,0,577,558,974,231,29,
"Wishaw North",456,205,379,121,28,409,239,176,96,17,109,164,98,46,0,49,176,44,21,0,23,70,18,16,0,1046,853,718,300,45,
"Coltness",223,82,198,21,15,263,126,140,36,4,63,111,94,23,0,23,95,66,21,2,6,25,21,6,1,578,439,519,107,21,
"Wishaw East",157,106,161,34,11,247,148,40,24,4,71,77,26,19,0,30,62,19,7,0,3,23,9,7,0,506,416,255,89,15,
"Newmains",281,144,368,91,29,315,185,221,67,5,93,129,127,25,2,41,125,110,32,2,15,60,43,15,0,749,643,871,230,38,
"Allanton - Newmains Rural",100,60,104,18,14,148,116,40,10,2,40,92,21,8,0,23,139,14,8,0,10,40,3,0,0,324,443,185,42,15,
"Shotts",251,125,299,68,19,254,154,168,58,8,61,102,117,16,4,25,119,60,23,2,8,41,41,5,1,598,539,683,166,33,
"Stane",132,71,293,49,15,161,121,121,37,9,36,97,52,14,4,19,104,27,10,0,9,26,22,6,0,354,419,513,115,27,
"Harthill and Salsburgh",197,84,266,47,15,205,107,203,37,5,55,89,107,27,0,24,67,38,8,0,6,20,24,14,2,487,365,639,130,23,
"Salsburgh",122,61,134,27,8,120,182,56,10,2,46,156,37,13,2,21,142,23,10,0,10,51,17,1,2,319,595,271,61,17,
"Cleland",156,67,177,43,7,187,129,89,21,4,61,94,46,12,1,23,100,33,13,0,10,40,13,5,1,435,428,359,96,15,
"Dalziel and Hartwood",51,101,25,14,4,114,263,29,14,2,42,207,21,9,0,28,190,14,10,1,9,80,10,6,0,248,840,99,55,7,
"Newarthill",188,97,166,50,9,204,106,102,26,4,64,72,77,13,2,18,57,29,10,1,5,40,22,12,0,483,372,396,111,15,
"Carfin North",122,105,174,30,16,194,180,146,27,4,58,164,69,13,2,26,137,51,14,0,9,58,42,8,0,405,644,475,92,22,
"Clydesdale and New Stevenston",121,90,197,62,8,175,156,110,32,0,45,136,65,26,1,23,173,30,7,0,13,53,16,9,0,377,608,419,136,10,
"Carfin and Cleekhimin",161,130,324,80,15,187,181,153,52,4,55,177,110,25,0,49,212,79,25,0,17,102,59,17,0,469,802,721,197,15,
"Motherwell South",158,82,750,127,25,127,86,264,86,6,24,53,64,21,0,10,53,39,11,1,11,15,24,13,3,331,285,1141,258,37,
"Ladywell",367,177,41,66,12,479,224,31,43,7,100,160,18,20,2,47,199,1,11,1,14,47,2,10,1,1007,807,94,150,23,
"Motherwell West",178,99,218,76,18,205,130,154,49,4,56,117,103,36,1,38,133,61,11,2,9,34,46,13,0,486,511,577,181,25,
"Motherwell North",84,49,166,25,3,84,101,159,11,4,37,78,110,14,4,21,90,72,16,2,9,32,33,4,0,231,352,541,71,11,
"Forgewood",182,115,451,105,17,170,138,240,60,7,63,105,158,42,2,24,68,80,39,2,20,36,63,18,1,463,462,993,266,37,
"Holytown",269,158,299,71,22,341,243,156,66,4,87,182,71,38,3,45,153,35,29,0,18,62,22,15,0,761,792,583,225,29,
"Milnwood",226,149,363,81,14,263,159,195,48,4,85,133,109,36,0,27,132,58,13,3,11,47,24,10,0,614,619,749,187,21,
"Orbiston",245,128,429,102,17,235,143,233,47,3,81,134,128,23,0,28,112,86,16,1,12,46,52,13,3,602,563,926,201,24,
"Bellshill South",226,120,427,130,24,199,149,257,76,6,54,113,119,27,0,21,83,72,21,2,13,41,34,10,0,514,507,906,259,33,
"Hattonrigg",140,49,87,22,5,198,100,62,27,4,51,72,18,16,0,22,90,12,12,0,10,29,5,10,1,421,340,184,84,10,
"Bellshill Central",168,95,383,74,26,166,127,166,62,7,45,89,63,29,1,26,74,35,13,0,11,31,12,16,0,420,415,658,194,36,
"Fallside",252,134,306,68,20,257,219,150,67,3,102,138,58,26,0,43,166,39,18,1,15,68,15,6,0,669,725,570,185,25,
"Viewpark",192,122,391,29,17,183,189,242,37,1,68,165,161,32,4,40,114,105,15,1,16,48,50,5,0,499,638,949,121,25,
"Birkenshaw",264,122,49,30,2,376,198,27,31,4,121,159,30,10,0,52,187,11,22,0,22,63,10,10,0,838,726,129,107,6,
"Kirkwood and Bargeddie",231,143,315,31,18,277,203,218,47,6,111,197,127,33,5,46,189,93,22,0,20,87,66,11,0,683,812,822,143,33,
"Kirkshaws",222,112,412,35,17,253,176,244,47,4,84,162,185,32,2,35,176,90,27,1,12,56,48,10,0,606,682,979,148,24,
"Dundyvan",265,152,588,118,27,259,178,237,79,8,82,166,100,42,1,44,157,54,17,0,15,78,37,19,3,665,730,1013,271,39,
"Drumpellier and Langloan",128,51,121,43,7,191,66,57,19,4,55,70,29,16,4,19,77,10,10,1,7,30,5,7,0,392,294,222,95,14,
"Coatbridge West",218,133,302,116,18,226,142,93,57,5,65,106,54,31,1,23,114,37,18,0,6,60,15,10,0,544,553,501,232,28,
"Townhead",224,100,281,36,12,213,152,186,41,3,68,113,126,34,1,41,105,83,13,0,11,52,58,21,2,559,524,733,149,19,
"Sunnyside and Cliftonville",255,170,375,180,23,210,137,140,92,3,61,88,50,39,2,27,67,21,11,1,6,34,17,5,0,559,497,601,327,32,
"Cliftonville",157,68,123,62,6,153,115,53,48,2,40,85,21,16,0,16,54,10,8,0,3,16,8,6,0,366,338,212,141,11,
"Shawhead and Whifflet",178,102,246,27,11,143,171,106,32,5,48,152,31,29,3,25,122,28,16,0,3,46,12,5,1,398,593,426,109,22,
"Greenend and Carnbroe",187,136,261,61,9,290,263,134,39,3,68,269,63,32,3,38,297,51,26,0,17,113,26,17,0,605,1078,533,169,14,
"Calderbank and Brownsburn",185,77,171,32,9,262,125,99,26,7,66,93,64,22,0,26,91,27,10,1,11,35,26,5,0,548,421,387,98,17,
"Chapelhall West",142,70,99,23,10,151,124,57,17,2,53,82,34,10,1,23,89,29,12,1,2,33,10,4,0,375,399,229,66,14,
"Chapelhall East",135,88,97,38,8,193,185,58,32,4,52,159,26,32,2,29,207,16,23,0,11,78,16,16,0,416,717,215,144,14,
"Craigneuk Airdrie",161,103,60,30,8,272,178,44,28,0,80,139,26,17,0,30,150,28,8,1,11,55,14,7,0,549,630,172,94,9,
"Petersburn",117,80,288,38,16,136,101,212,54,1,30,75,128,25,0,23,74,100,24,3,10,29,72,9,0,318,360,800,150,19,
"Gartlea",174,71,202,55,5,159,73,118,45,0,49,50,66,24,0,16,45,50,22,0,9,29,35,6,0,407,268,467,150,8,
"Cairnhill",305,101,139,58,10,438,197,67,51,5,92,174,31,27,1,51,158,13,15,0,20,50,11,9,1,906,676,261,164,17,
"Coatdyke and Whinhall",289,170,291,124,28,307,193,139,87,11,89,184,73,30,0,47,209,58,27,0,14,80,32,10,1,748,833,588,275,40,
"Thrashbush",268,151,475,91,25,338,147,202,61,12,81,127,97,44,2,41,112,68,21,0,8,40,29,13,5,737,581,871,233,42,
"Airdrie North",178,110,531,97,22,175,136,260,68,9,52,112,126,30,0,16,76,93,28,1,8,33,44,12,0,424,472,1058,230,33,
"Drumgelloch",268,99,227,83,13,251,173,114,69,5,58,147,71,31,4,26,152,41,16,3,6,46,16,4,2,617,613,469,203,27,
"Caldercruix and Plains",227,130,315,80,26,319,211,186,67,5,82,166,118,46,4,41,165,76,21,0,27,68,45,24,1,697,740,735,239,34,
"Glenmavis and Greengairs",277,203,140,43,15,369,337,81,45,6,110,286,43,27,1,54,329,16,13,0,26,98,14,12,7,838,1251,298,140,26,
"Gartcosh",105,147,61,23,3,158,452,37,18,2,53,359,21,21,0,46,337,12,3,1,9,94,4,5,0,374,1389,138,72,6,
"Marnoch and Glenboig",135,72,107,18,13,182,186,57,8,0,62,156,41,10,0,27,205,32,13,3,7,84,17,5,0,415,703,250,57,19,
"Cardowan and Millerston",266,130,94,45,7,319,254,52,35,6,93,209,17,20,3,57,255,19,11,0,16,86,10,16,2,751,934,195,127,19,
"Stepps",187,80,64,32,6,246,172,44,32,1,53,154,25,2,3,44,171,12,6,1,11,52,1,4,0,541,632,145,74,13,
"Chryston and Muirhead",269,121,164,31,13,306,144,77,24,5,83,167,61,7,1,39,182,22,12,2,12,62,18,10,0,709,676,348,86,25,
"Moodiesburn West",196,105,263,37,14,216,155,139,30,1,60,121,77,19,0,14,77,60,8,0,8,33,21,4,0,498,491,560,99,15,
"Moodiesburn East",164,108,63,28,4,207,140,29,20,1,69,136,28,13,0,39,175,9,7,0,6,33,7,3,1,485,592,134,71,3,
"Westfield",191,89,116,22,10,266,174,58,19,3,64,120,31,13,3,25,138,35,11,0,13,47,13,2,1,559,568,256,68,17,
"Broadwood",107,77,53,17,1,180,191,39,21,4,69,142,21,8,0,28,203,18,8,0,16,68,4,4,0,396,684,136,58,3,
"Condorrat",357,137,158,57,11,460,178,66,47,2,90,128,35,30,2,34,141,30,10,2,18,43,12,7,0,961,627,302,150,17,
"Greenfaulds",237,113,136,112,13,268,133,68,65,4,66,109,37,46,0,31,104,21,29,0,15,56,5,25,0,617,514,267,276,18,
"Seafar",222,124,214,58,12,220,115,119,53,2,52,86,79,39,1,25,65,45,27,0,9,42,32,19,0,525,432,492,192,14,
"Cumbernauld Central",229,155,343,129,12,181,143,232,96,6,53,89,99,42,0,25,53,80,46,1,17,34,53,26,0,506,474,805,338,21,
"Kildrum",295,189,229,125,18,248,180,109,98,3,48,105,66,35,1,23,96,27,22,1,11,23,17,10,0,625,590,451,291,20,
"Abronhill South",232,126,215,117,11,252,132,80,80,2,70,104,43,33,2,37,110,18,27,0,8,44,18,19,1,605,516,374,276,19,
"Abronhill North",235,153,131,91,7,307,177,74,73,2,73,127,41,43,1,34,121,23,32,0,10,51,20,7,0,657,632,288,246,10,
"Village and Castlecary",191,155,262,73,12,213,159,162,55,5,49,82,56,24,3,14,100,25,12,1,6,30,4,8,0,469,529,510,172,21,
"Carrickstone",140,83,43,9,5,310,221,34,16,7,109,245,24,12,1,51,264,10,10,0,23,92,4,6,0,636,905,118,53,11,
"Balloch West",163,80,44,53,10,326,150,13,40,1,76,132,9,11,0,39,145,6,9,0,10,56,0,6,0,612,567,72,119,10,
"Balloch East",149,67,115,28,5,270,111,53,22,0,51,86,33,21,2,19,66,21,15,0,5,27,3,3,0,499,361,227,89,7,
"Klisyth East",241,114,303,134,17,251,182,126,48,7,61,127,40,18,0,30,167,22,7,0,9,57,16,6,1,585,647,507,211,25,
"Croy, Dullatar and Banton",102,98,118,25,8,207,241,63,23,3,70,175,36,19,4,38,234,25,13,3,23,99,19,11,2,436,848,262,89,18,
"Kilsyth Bogside",187,74,272,76,15,217,110,144,38,2,55,65,60,18,0,27,68,31,15,0,4,34,14,8,1,493,355,524,158,16,
"Balmalloch",204,96,195,48,9,282,123,116,44,6,51,100,85,26,1,25,87,63,24,0,5,45,25,11,0,566,451,485,152,16,
"Stromness, Sandwick and Stenness",278,89,161,77,19,317,88,68,43,14,60,48,35,14,2,35,63,18,5,2,12,25,7,5,0,702,316,291,144,37,
"West Mainland",333,67,111,52,51,505,141,51,45,25,108,89,24,12,2,66,114,15,13,8,28,55,6,3,0,1040,465,205,125,85,
"East Mainland",265,83,83,57,40,416,153,64,43,13,98,123,34,10,3,66,149,20,7,1,31,59,27,5,3,873,567,231,121,56,
"West Kirkwall",296,151,332,198,32,288,143,106,65,19,50,76,46,19,3,31,79,17,10,3,5,30,14,3,0,670,483,512,292,57,
"East Kirkwall",169,91,156,80,23,197,75,88,50,19,50,52,49,9,2,16,62,20,10,2,7,27,10,4,0,441,306,324,156,41,
"Isles",472,80,147,71,51,579,113,53,57,29,94,51,11,20,8,61,60,12,12,3,24,41,11,17,1,1230,346,232,180,93,
"Powmill, Cleish and Scotlandwell",190,95,40,34,13,492,215,24,39,7,80,153,13,19,2,64,192,10,8,2,15,73,4,8,1,841,732,87,105,25,
"Kinross",408,120,160,95,14,547,204,62,60,11,64,154,34,24,1,43,188,15,23,2,7,43,16,6,1,1075,709,285,208,24,
"Milnathort and Crook of Devon",279,72,72,46,10,427,188,41,48,11,73,120,26,11,2,53,155,12,9,7,26,52,6,5,2,856,586,160,122,36,
"Muthill, Greenloaning and Gleneagles",184,75,72,65,12,334,174,34,65,18,88,123,19,29,5,24,129,24,13,2,12,48,10,14,2,645,543,158,189,39,
"Auchterarder",355,130,209,116,23,538,277,81,96,13,86,177,45,45,4,41,207,25,31,0,16,48,17,12,1,1036,839,382,304,42,
"Comrie, Gilmerton and St Fillans",324,47,92,86,26,417,126,49,99,31,64,54,21,48,13,36,73,7,21,11,7,25,10,15,1,843,325,183,269,82,
"Crieff North",276,51,68,46,14,397,128,24,53,5,62,74,4,16,0,24,99,6,12,2,7,30,3,6,0,766,375,105,133,21,
"Crieff South",353,109,246,148,19,301,128,116,95,4,43,104,66,35,0,23,113,37,13,2,11,44,22,13,2,730,498,484,311,27,
"Almondbank and Pitcairngreen",224,83,68,86,18,432,191,39,114,17,72,110,21,35,6,46,120,7,19,5,21,46,10,13,4,793,553,143,270,49,
"Glenfarg, Dunning and Rhynd",201,52,55,90,26,396,174,33,73,19,90,96,12,41,7,42,115,4,23,9,14,45,10,12,5,745,482,114,237,66,
"Bridge of Earn and Abernethy",319,117,148,83,15,520,222,74,47,10,105,167,52,32,8,62,187,35,16,5,18,42,12,11,0,1016,735,321,187,38,
"Upper Craigie and Friarton",243,96,235,74,16,251,143,77,45,3,47,125,42,30,2,32,110,39,18,0,6,22,15,6,0,583,500,404,173,23,
"Viewlands and Craigie",462,227,145,219,19,540,254,49,155,9,95,177,18,53,3,38,195,12,24,3,19,58,6,10,2,1151,911,234,463,38,
"Burghmuir, Oakbank and Cherrybank",421,112,38,50,16,572,240,24,53,14,102,183,11,25,1,50,209,1,11,0,16,63,3,4,0,1154,806,76,144,33,
"Western Edge",342,196,202,54,15,457,292,109,70,3,94,200,61,28,5,38,186,26,24,0,12,62,6,7,0,943,940,397,180,23,
"Letham",221,140,365,50,11,224,149,237,57,7,64,121,134,53,2,25,98,76,23,1,7,51,59,22,0,539,558,871,202,19,
"Tulloch and Inveralmond",176,121,454,81,19,205,157,232,84,4,59,129,136,33,0,18,133,109,14,1,9,37,47,12,5,463,573,978,226,31,
"North Muirton",163,92,296,37,12,186,128,137,55,1,43,95,53,16,0,13,81,30,12,0,0,24,17,15,0,405,420,527,132,14,
"Muirton",120,119,124,89,12,121,112,103,96,5,11,76,91,30,2,6,51,39,24,0,3,15,39,14,1,259,373,396,255,20,
"North Inch",218,113,306,291,32,114,73,58,182,11,17,36,18,28,0,12,32,19,27,2,0,21,4,17,1,358,277,407,539,47,
"Central and South Inch",376,183,656,761,25,119,105,132,335,8,20,28,40,63,1,16,29,15,39,3,4,13,7,13,1,535,358,851,1215,38,
"Gannochy and Walnut Grove",253,40,190,126,6,366,113,54,121,9,67,73,18,27,0,23,84,21,27,1,12,29,7,12,0,723,341,286,316,16,
"Scone",459,123,211,73,18,617,194,109,80,14,89,135,27,38,0,40,187,31,19,0,11,52,17,8,1,1219,690,401,219,32,
"Guildtown, Balbeggie and St Madoes",198,60,63,100,15,391,152,29,99,21,80,108,10,39,10,45,109,5,31,4,8,25,13,11,3,723,454,120,280,49,
"Errol and Inchture",231,93,83,71,16,340,220,27,60,7,47,184,10,32,2,24,228,16,15,4,10,64,15,8,0,652,792,150,186,29,
"Invergowrie, Longforgan and Abernyte",273,102,76,69,6,377,160,35,88,9,68,111,9,30,0,37,127,4,16,1,9,36,3,7,5,764,536,129,210,18,
"Coupar Angus and Meigle",314,109,163,135,45,534,199,98,113,22,102,111,49,36,10,37,121,38,23,3,19,37,22,16,1,1005,581,370,323,77,
"Alyth",223,70,138,77,8,333,119,75,60,8,60,55,34,37,6,28,58,25,19,1,6,12,16,6,2,654,313,291,199,26,
"Blair Atholl, Strathardle and Glenshee",265,55,43,167,33,421,134,33,148,42,66,53,6,44,15,42,57,5,45,16,14,24,5,11,7,811,324,91,412,113,
"Blairgowrie South (Ardblair and Rosemout)",189,40,34,14,13,382,93,30,17,4,52,77,16,14,1,26,84,13,8,1,13,31,10,5,0,662,328,103,57,19,
"Rattray",161,72,241,57,6,213,107,127,43,7,32,79,77,18,1,11,85,50,11,1,0,22,27,2,0,421,365,522,125,15,
"Blairgowrie Central",361,109,149,120,16,378,152,41,81,4,53,99,17,24,0,14,83,14,11,5,6,36,3,11,0,812,479,221,245,28,
"Bankfoot, Stanley and Murthly",285,110,128,111,17,457,200,64,111,13,73,145,33,44,6,50,145,22,43,3,10,48,13,10,0,875,645,252,318,41,
"Luncarty and Bertha Park",120,66,71,30,7,215,129,47,26,2,43,101,30,11,1,30,70,21,5,1,0,18,8,6,1,408,386,174,77,14,
"Amulree and Dunkeld",215,69,119,90,19,345,144,47,81,27,47,89,35,37,5,24,101,26,18,16,11,29,14,8,5,645,432,240,236,77,
"Pitlochry",307,71,166,79,19,416,130,72,99,19,48,73,38,32,3,17,64,20,29,3,8,24,3,2,1,793,359,302,243,45,
"Rannoch and Aberfeldy",364,93,127,105,41,477,158,76,115,32,72,84,42,46,5,38,79,29,26,15,17,33,13,13,5,964,443,292,296,98,
"Lochwinnoch",238,89,118,51,5,263,117,63,31,2,52,79,21,8,0,36,99,11,10,0,5,28,1,3,1,592,413,217,103,11,
"Renfrewshire Rural South and Howwood",184,85,33,18,9,277,228,20,26,3,88,215,9,11,1,33,235,8,6,0,16,61,3,5,1,596,821,73,64,12,
"Dargavel",54,142,20,10,3,122,468,18,17,4,25,381,9,9,0,18,375,4,6,0,3,106,2,3,0,224,1468,50,42,7,
"Renfrewshire Rural North and Langbank",235,107,33,57,14,377,312,36,59,6,89,244,35,23,1,39,209,15,25,1,20,58,18,17,1,759,934,139,177,26,
"Kilbarchan",316,112,98,65,15,356,146,58,40,1,77,89,20,18,4,30,92,2,4,0,10,30,3,3,0,787,467,181,128,19,
"Johnstone South West",315,153,263,36,15,275,244,190,47,7,99,189,126,26,4,36,199,86,28,1,10,59,49,16,1,733,847,710,153,27,
"Johnstone North West",202,119,472,139,14,150,131,162,76,4,34,69,81,34,1,18,60,38,16,2,5,13,37,10,0,406,389,789,275,24,
"Johnstone North East",266,152,430,98,20,211,143,100,75,0,66,87,47,22,2,22,88,22,13,0,4,19,10,3,0,563,489,605,214,26,
"Johnstone South East",276,126,360,65,8,239,169,151,61,3,54,105,65,46,0,21,87,46,22,0,0,25,17,6,0,590,515,637,196,15,
"Elderslie and Phoenix",354,190,191,75,7,470,330,68,36,5,84,243,18,19,2,41,212,12,22,1,11,49,12,2,4,960,1023,299,157,17,
"Paisley Ferguslie",112,90,451,51,12,89,113,264,49,3,38,106,173,28,0,17,62,122,9,2,13,20,55,11,1,270,395,1062,148,18,
"Paisley North West",228,137,584,325,21,105,129,147,158,3,41,76,64,49,0,19,87,31,26,2,5,20,16,17,0,398,450,842,575,25,
"Paisley West",291,250,342,161,12,303,238,163,79,3,83,175,101,20,2,42,144,46,16,0,10,32,30,11,0,729,839,686,292,17,
"Paisley Foxbar",308,134,541,32,24,299,200,211,57,6,73,160,97,33,5,34,116,45,18,1,9,40,16,7,0,723,646,909,150,30,
"Paisley South West",400,148,46,61,9,497,215,9,25,1,89,171,4,9,0,53,187,2,10,0,10,58,5,9,0,1049,772,68,114,13,
"Paisley Glenburn West",224,119,150,35,5,228,176,119,33,6,84,153,78,25,1,20,115,48,21,1,6,36,16,7,2,562,594,410,124,20,
"Paisley Glenburn East",232,117,174,72,10,241,147,76,41,6,77,107,72,20,0,20,118,43,11,0,6,26,24,5,1,576,511,387,149,18,
"Paisley South",325,151,46,75,14,320,194,8,63,6,79,122,10,19,0,45,145,5,18,0,16,36,3,3,0,790,648,74,175,20,
"Paisley South East",522,253,733,331,42,352,197,195,165,10,69,113,76,59,1,23,116,42,17,0,9,31,17,9,0,975,706,1065,584,53,
"Paisley Dykebar",233,144,54,19,0,281,231,34,21,7,82,160,13,13,2,52,240,12,7,0,4,54,4,2,0,653,833,117,63,9,
"Paisley East",307,157,342,133,17,222,209,135,66,7,62,142,85,39,2,24,129,52,13,1,11,57,37,5,1,626,694,647,256,32,
"Paisley Central East",208,181,141,247,24,73,122,49,192,2,10,54,25,37,2,7,38,10,19,0,0,6,4,7,2,298,401,229,502,30,
"Paisley Central West",367,294,497,389,19,162,161,122,220,12,30,61,35,56,1,15,46,13,31,0,12,20,7,15,2,584,579,674,714,35,
