SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Paisley Glenburn West",145,6,9,438,104,34,395,108,39,174,184,55,4,5,4,0,0,0,0,0,0,1156,410,141,
"Paisley Glenburn East",232,21,10,332,62,30,331,123,31,183,176,96,8,1,1,1,6,3,0,0,0,1087,387,170,
"Paisley South",552,1,44,229,11,12,131,6,6,441,54,131,81,0,7,0,0,0,0,0,0,1434,74,198,
"Paisley South East",294,2,5,244,91,28,277,91,25,839,872,566,26,7,10,0,0,3,2,0,0,1681,1065,637,
"Paisley Dykebar",447,2,9,484,15,15,442,44,21,109,56,26,4,0,0,0,0,0,0,0,0,1486,117,72,
"Paisley East",262,25,8,374,107,28,417,104,30,247,407,210,21,4,6,0,0,1,0,0,0,1321,647,288,
"Paisley Central East",31,1,2,31,6,8,113,14,19,491,206,475,21,0,11,14,2,16,0,0,1,703,229,532,
"Paisley Central West",69,4,1,104,10,21,179,19,33,729,634,660,81,7,26,4,2,5,0,0,1,1166,674,745,
"Paisley North East",168,2,9,507,37,17,105,16,16,1003,860,590,53,3,10,10,1,5,0,0,0,1845,921,647,
"Paisley Ralston",395,1,10,1223,4,41,183,9,12,51,21,28,20,0,2,2,0,2,0,0,0,1876,35,90,
"Paisley Gallowhill and Hillington",101,28,5,157,101,20,327,144,39,600,773,269,2,6,16,0,0,3,0,0,0,1186,1051,351,
"Paisley North",143,22,20,248,156,36,351,196,36,528,735,538,19,10,7,4,4,1,6,0,1,1299,1123,640,
"Renfrew West",96,5,7,339,27,20,394,64,24,303,367,239,4,4,0,1,0,3,0,0,0,1135,467,294,
"Renfrew South West",64,6,4,347,27,7,252,15,9,156,177,115,3,0,1,1,0,0,0,0,0,823,221,136,
"Renfrew South East",117,5,2,435,26,11,629,77,50,564,244,192,2,1,0,0,0,0,0,0,0,1743,353,255,
"Renfrew East",484,0,7,870,21,34,310,17,32,392,125,121,12,5,2,0,1,2,0,0,0,2068,167,199,
"Renfrew North West",34,7,4,134,53,12,179,76,24,940,304,439,4,4,4,4,1,7,0,0,0,1300,445,491,
"Renfrew North East",303,4,11,219,18,8,234,98,7,204,101,152,2,0,1,0,0,2,0,0,0,962,226,184,
"Erskine East and Inchinnan",902,0,20,702,14,25,355,31,23,84,46,31,1,2,0,0,0,0,0,0,0,2045,92,102,
"Erskine Central",338,13,16,343,52,23,922,150,73,50,127,27,2,3,3,0,0,4,0,0,0,1652,342,144,
"Erskine West",331,3,8,450,37,29,937,151,99,120,185,81,4,4,0,0,0,0,0,0,0,1836,378,220,
"Bishopton",593,0,16,946,9,29,197,22,16,53,44,26,11,0,1,0,0,0,0,0,0,1800,77,85,
"Linwood South",83,3,4,210,82,19,458,186,46,223,623,134,4,5,0,0,0,2,0,0,0,978,899,205,
"Linwood North",77,2,14,131,63,19,955,153,87,156,243,75,2,3,6,1,0,0,0,0,0,1324,465,198,
"Houston South",650,2,13,407,0,27,151,3,30,17,0,16,1,0,0,1,0,0,0,0,0,1227,6,86,
"Houston North",726,0,21,258,7,23,105,14,8,51,27,19,7,0,3,0,0,0,1,0,0,1150,48,74,
"Bridge of Weir",816,8,18,369,36,27,202,43,20,291,129,136,29,0,10,6,7,5,0,0,0,1718,223,210,
"Tweeddale West",1373,0,214,255,57,113,221,64,35,13,84,14,13,0,5,4,0,3,3,0,1,1875,206,378,
"Peebles North",324,3,29,422,63,63,193,44,40,429,420,202,61,11,32,21,0,13,1,0,0,1455,541,381,
"Peebles South",889,8,32,263,104,31,300,103,34,42,58,23,39,0,4,1,0,0,0,0,0,1534,276,122,
"Innerleithen",459,6,21,177,38,17,183,86,22,179,190,84,38,1,15,5,0,1,0,0,0,1037,320,167,
"Tweeddale East",667,2,117,176,39,52,116,45,34,97,75,45,17,1,15,1,0,0,0,0,0,1074,163,254,
"Gala Water Valley and Earlston Area",610,14,125,330,93,88,224,54,68,64,82,35,17,5,14,5,0,1,0,0,0,1255,240,331,
"Galashiels North",357,11,33,193,54,36,224,59,70,232,273,261,51,8,69,14,0,19,5,0,0,1076,402,489,
"Galashiels West",82,8,11,220,91,42,172,39,71,269,240,280,37,6,34,13,0,14,0,0,0,790,385,450,
"Galashiels South",360,5,28,305,29,45,67,20,25,164,345,84,42,7,15,5,2,2,0,0,0,943,404,201,
"Galashiels Langlee",66,11,6,124,62,23,269,134,41,24,401,26,3,15,4,1,1,0,0,0,1,485,624,102,
"Tweedbank and Galashiels Melrose Gait",391,14,21,220,95,18,299,96,34,26,97,33,6,5,3,0,0,2,0,0,0,944,306,111,
"Melrose Darnick Gattonside and Newstead",572,4,43,381,46,54,78,48,25,83,108,67,48,13,29,14,4,5,3,1,0,1181,221,227,
"Lauderdale",674,3,93,173,66,58,113,57,49,13,23,8,14,0,2,7,0,1,1,0,0,995,149,216,
"Berwickshire West",670,5,182,248,127,116,240,32,106,7,24,17,2,0,6,4,0,0,7,0,0,1173,186,423,
"Duns",296,14,27,318,200,51,113,77,29,34,273,39,13,14,7,4,0,11,0,0,0,782,579,163,
"Berwickshire East",796,10,86,313,158,85,209,50,62,14,54,9,7,0,6,5,0,5,0,1,0,1346,276,257,
"Eyemouth",315,24,23,271,177,18,266,218,35,55,205,22,20,16,10,11,2,4,0,0,0,939,637,108,
"Chirnside and Area",818,3,122,246,112,141,208,66,105,18,49,26,5,0,10,3,0,4,1,0,0,1296,232,400,
"Coldstream and Area",395,6,97,233,83,104,197,64,68,32,141,25,7,1,10,10,0,5,0,0,0,874,297,307,
"Cheviot East",553,4,199,199,84,150,176,13,184,4,20,3,4,0,4,1,0,1,21,0,0,960,119,547,
"Kelso North",284,9,7,671,206,84,259,100,33,89,309,53,9,1,7,2,0,0,0,0,0,1314,621,188,
"Kelso South",364,3,32,214,30,33,94,27,33,118,232,115,18,0,15,7,1,17,0,0,0,812,293,243,
"Cheviot West",549,6,168,166,43,110,67,28,101,1,13,4,2,0,3,0,0,1,3,0,0,788,91,386,
"St Boswells Newtown and Area",448,14,87,402,221,85,178,88,63,57,100,25,11,1,16,2,0,4,2,0,0,1096,425,278,
"Jedburgh",301,13,26,367,135,57,254,73,49,162,391,108,17,3,12,17,4,6,0,0,0,1117,618,254,
"Denholm Upper Teviotdale and Liddesdale",844,5,203,313,82,118,175,27,59,20,32,6,22,2,6,4,0,4,8,0,1,1386,147,398,
"Hawick - Burnfoot",35,40,6,215,473,38,87,137,17,30,58,35,3,6,0,1,3,0,0,0,0,368,720,95,
"Hawick - South East",238,7,33,292,37,24,279,39,58,505,342,320,43,4,15,28,1,17,2,0,0,1383,428,471,
"Hawick - South",345,12,23,182,16,21,166,37,25,294,333,146,35,6,7,9,2,7,0,0,0,1035,405,227,
"Hawick - North",176,15,18,246,59,15,300,48,23,281,354,127,36,1,11,4,2,0,0,0,2,1042,478,199,
"Ettrick Yarrow and Lilliesleaf Area",694,4,181,141,37,88,48,17,31,6,17,8,1,0,14,1,0,1,5,0,0,899,71,322,
"Selkirk",458,26,35,475,96,53,418,262,51,239,381,158,67,5,26,18,0,4,0,0,0,1673,770,327,
"Shetland South",1221,51,138,125,123,18,10,15,3,3,10,0,1,0,1,0,0,1,4,0,0,1364,199,161,
"Lerwick South",354,34,19,184,134,35,30,97,4,4,57,2,0,3,0,0,0,0,0,0,0,572,324,56,
"Lerwick North",443,41,47,535,309,75,205,128,39,137,345,78,36,34,37,9,4,14,7,10,0,1373,865,290,
"Central Shetland",1061,12,82,238,173,32,33,63,4,1,90,10,4,14,11,3,0,0,1,1,0,1342,352,141,
"East and West Mainland",804,11,74,73,84,19,2,23,1,1,6,0,0,2,1,0,0,1,0,1,1,873,127,99,
"North Mainland",634,63,73,105,193,27,28,52,0,2,17,2,0,7,0,2,0,0,1,0,0,769,331,102,
"North and East Isles",754,12,85,146,150,22,5,33,4,5,6,2,0,4,2,2,0,0,0,3,0,912,208,117,
"Carrick South",835,11,231,385,152,106,314,150,41,51,49,32,11,0,6,2,0,0,6,0,1,1601,365,418,
"Girvan Glendoune",170,10,15,205,72,35,536,226,104,43,280,30,3,0,1,9,0,4,0,0,0,966,588,191,
"Girvan Ailsa",270,6,13,218,30,22,367,45,61,110,140,56,18,4,14,14,1,6,0,0,0,993,229,168,
"Maybole",362,21,26,393,104,51,340,167,62,189,220,102,14,0,2,11,0,2,0,0,0,1309,513,242,
"Carrick North",441,1,81,189,61,34,140,42,10,15,28,7,1,0,4,2,0,0,0,0,0,791,131,138,
"Coylton",746,7,50,301,50,42,148,62,22,71,27,46,4,0,3,2,0,0,1,0,1,1275,146,160,
"Doonfoot and Seafield",1439,4,35,294,38,24,64,33,7,27,17,12,10,0,0,0,1,0,0,0,0,1832,93,82,
"Alloway",1829,3,82,206,21,23,29,21,6,58,16,13,14,0,2,3,0,1,0,0,0,2138,61,129,
"Castlehill and Kincaidston",392,11,25,131,26,24,401,169,71,24,53,20,0,0,0,0,0,1,0,0,0,946,261,135,
"Belmont",309,9,31,397,51,41,410,127,83,89,161,78,11,4,1,0,0,0,0,0,0,1218,354,236,
"Holmston and Forehill",783,3,29,802,112,104,347,116,75,42,99,53,4,2,3,1,0,0,0,0,0,1977,337,264,
"Ayr South Harbour and Town Centre",394,4,11,467,18,31,283,20,28,708,198,465,237,5,68,34,3,44,1,0,0,2121,245,647,
"Ayr North Harbour, Wallacetown and Newton South",45,13,14,141,43,16,241,48,31,422,933,542,15,6,19,10,8,9,0,8,0,876,1047,631,
"Craigie",41,4,0,331,87,48,243,74,64,29,92,51,0,0,0,0,0,5,0,0,0,645,257,168,
"Dalmilling",46,19,7,344,281,56,114,166,27,10,138,7,1,0,0,0,0,1,0,0,0,515,604,101,
"Lochside, Braehead and Whitletts",41,30,10,300,197,46,184,90,24,192,716,128,2,1,4,1,0,1,0,0,0,722,1034,207,
"Newton North",151,2,8,663,43,55,278,22,30,300,188,153,10,0,2,2,0,0,0,0,0,1404,254,249,
"Heathfield",335,9,14,523,67,52,146,129,33,156,165,105,1,4,3,2,0,0,0,0,0,1169,371,209,
"Prestwick West",579,4,26,750,20,42,315,44,38,227,106,131,72,0,7,11,0,3,0,0,0,1951,174,247,
"Prestwick East",633,3,29,992,63,53,277,99,36,164,67,100,9,0,4,4,0,0,0,0,0,2074,228,223,
"Prestwick Airport and Monkton",588,8,27,287,54,41,295,71,39,182,41,79,18,0,6,0,0,0,0,0,0,1371,175,196,
"Annbank, Mossblown and Tarbolton",474,16,71,597,225,76,398,203,56,190,207,64,7,1,3,3,0,2,10,0,5,1675,649,273,
"Dundonald, Loans and Symington",869,5,58,284,95,28,383,187,51,46,42,17,2,0,3,0,0,0,0,0,1,1583,334,159,
"Muirhead",390,6,18,420,46,39,102,42,18,70,85,34,2,0,2,0,0,1,0,0,0,984,183,111,
"Barassie Bank",660,0,15,482,34,43,86,4,21,10,26,11,0,0,0,0,0,1,0,0,0,1239,65,91,
"Barassie",455,6,18,418,69,21,309,128,65,300,267,197,10,0,1,0,0,2,0,0,0,1496,470,301,
"Troon",637,7,24,565,11,28,104,21,18,448,172,244,123,4,23,22,0,18,0,0,0,1906,216,355,
"Clydesdale South",521,1,124,182,31,47,107,35,28,8,39,8,3,1,3,2,0,1,2,0,0,822,107,207,
"Biggar, Symington, Thankerton and Dolphinton",1345,23,136,328,105,92,218,104,55,93,113,68,25,1,7,11,0,15,3,0,1,2022,344,372,
"Carstairs, Carstairs Junction and Carnwath",663,14,44,389,164,73,341,123,40,46,166,32,11,0,8,2,0,1,17,0,0,1468,467,199,
"Forth, Braehead and Auchengray",486,9,36,254,75,31,308,190,37,24,150,12,1,0,1,2,0,0,1,0,0,1076,424,117,
"Law",630,3,22,383,42,33,145,68,21,78,97,30,6,0,2,2,0,1,0,0,0,1247,210,109,
"Carluke West",604,1,13,422,9,32,36,18,13,100,42,73,8,0,4,2,0,2,0,0,0,1168,70,140,
"Carluke North",186,13,13,199,90,14,195,115,38,79,180,54,5,1,1,10,0,4,1,0,0,673,399,122,
"Carluke East",486,11,19,254,125,25,317,244,29,69,203,38,0,4,0,0,0,0,0,0,0,1126,585,113,
"Carluke South",551,8,15,349,52,29,165,150,43,40,102,43,4,0,4,6,1,5,0,0,1,1121,314,140,
"Crossford, Braidwood and Yieldshields",763,3,32,164,39,20,125,82,13,23,39,23,4,0,3,0,0,0,0,0,0,1082,165,91,
"Lanark North West",503,8,20,215,62,14,130,36,16,80,91,49,18,3,17,1,2,1,0,0,0,945,200,117,
"Lanark North East",148,2,8,224,46,26,282,83,27,91,141,45,6,0,6,5,0,6,0,0,0,756,273,121,
"Lanark South",624,6,31,173,49,20,166,45,30,175,282,126,35,12,11,10,1,16,1,0,0,1178,396,235,
"Hazelbank and Kirkfieldbank",860,4,56,207,53,35,168,63,27,52,123,21,6,0,2,2,0,1,39,0,2,1333,243,145,
"Douglas, Coalburn and Rigside",350,17,36,355,254,67,234,158,55,123,252,86,4,0,2,1,0,2,4,0,1,1071,681,251,
"Lesmahagow",410,16,27,278,83,34,238,152,28,78,220,72,5,2,8,3,0,1,1,2,0,1013,475,173,
"Kirkmuirhill and Blackwood",623,7,31,477,87,52,226,168,38,47,91,30,3,0,0,1,0,0,0,0,0,1378,353,153,
"Ashgill, Netherburn, Quarter and Glassford",997,11,64,374,72,39,311,123,41,76,82,31,3,0,4,1,0,0,4,6,1,1766,291,178,
"Merryton and Meadowhill",373,7,16,400,20,42,267,85,51,54,72,30,0,3,4,0,0,0,1,0,0,1095,184,143,
"Larkhall Central, Raploch, Millheugh and Burnhead",377,6,15,355,53,44,444,65,61,129,169,125,6,8,4,10,0,16,0,0,0,1320,302,269,
"Hareleeshill",208,13,11,466,172,44,451,176,78,42,138,25,2,1,1,0,0,0,1,0,0,1172,500,162,
"Strutherhill and Birkenshaw",106,39,7,151,165,40,488,380,85,28,145,30,4,0,2,0,0,0,0,3,0,778,732,160,
"Stonehouse",682,12,25,576,59,69,590,142,73,59,154,64,10,4,5,0,0,3,3,0,0,1921,369,248,
"Strathaven South",614,7,21,524,26,41,232,74,35,206,48,120,41,5,24,15,0,17,0,0,0,1637,160,261,
"Strathaven North",695,6,12,185,12,16,139,51,19,65,46,15,2,6,5,0,0,0,0,0,0,1090,119,61,
"Strathaven West, Chapelton, Drumclog and Sandford",922,5,58,175,34,27,160,5,16,16,6,7,3,0,4,1,0,1,10,0,0,1287,48,114,
"Eddlewood",439,8,13,381,35,25,280,115,42,16,41,11,0,0,0,1,0,0,0,0,0,1116,199,86,
"Low Waters",145,9,13,345,46,33,136,74,27,203,392,128,2,6,2,1,2,0,0,0,0,829,529,202,
"Silvertonhill",399,1,18,474,2,17,45,5,4,140,109,105,6,0,1,2,1,10,0,0,0,1070,119,151,
"Hamilton Centre, Low Parks and Ferniegar",707,2,26,417,28,27,144,10,33,769,254,583,32,4,8,10,4,24,0,0,1,2079,303,702,
"Laighstonehall",109,2,6,437,83,35,84,14,8,444,352,308,8,1,2,0,0,1,0,0,0,1083,452,361,
"Woodhead, Meikle Earnock and Fairhill",91,24,8,451,144,43,532,207,69,145,273,65,1,0,0,0,1,2,0,0,0,1221,649,186,
"Torheads and Little Earnock",956,3,19,352,113,27,415,65,36,130,69,38,1,2,0,0,0,0,2,0,0,1856,255,118,
"Earnock",1091,4,23,899,17,29,189,26,31,26,28,25,4,1,4,1,0,1,0,0,0,2210,74,111,
"Hillhouse",129,24,12,392,174,61,371,238,49,77,309,113,0,3,1,0,0,0,1,0,0,972,749,237,
"High Blantyre",187,39,10,317,112,31,395,261,48,116,188,81,5,3,4,1,0,2,0,1,0,1020,604,178,
"Blantyre South and Wheatlands",142,25,10,226,81,33,646,236,84,117,265,80,3,4,0,0,4,1,0,2,0,1134,617,208,
"Low Blantyre and Bardykes",346,15,10,525,51,18,170,126,23,12,14,8,0,0,0,0,1,0,0,1,0,1051,208,57,
"Blantyre North and Coatshill",162,9,10,275,63,18,361,161,43,152,61,85,4,2,0,2,0,2,0,0,0,956,296,158,
"Burnbank North",159,17,13,563,123,33,363,99,49,204,443,153,5,2,0,2,1,1,0,0,0,1293,681,251,
"Burnbank Central and Udston",142,6,9,318,97,33,155,57,43,388,663,226,7,5,2,5,1,4,1,0,2,1014,832,316,
"Burnbank South and Chantinghall",283,10,10,388,105,33,228,67,33,257,139,177,7,0,7,0,0,0,4,0,1,1163,321,260,
"Whitehill",45,16,16,326,175,30,226,138,31,346,270,181,4,0,4,0,4,2,0,0,4,950,603,268,
"Bothwell South",969,2,21,129,11,12,39,14,1,483,37,162,54,0,7,8,0,1,0,0,0,1683,64,207,
"Bothwell North",305,14,14,274,61,38,317,158,67,16,9,12,2,1,0,0,0,0,1,0,0,912,243,131,
"Uddingston and Kylepark",797,6,15,247,32,17,472,87,69,396,298,263,33,2,7,10,0,2,0,0,0,1960,422,374,
"Newton",799,2,15,321,2,4,95,0,4,4,5,10,1,0,0,0,0,2,0,0,0,1216,7,30,
"Halfway, Hallside and Drumsagard",971,5,29,346,11,18,293,45,31,102,121,71,0,1,1,0,0,1,2,0,0,1715,183,147,
"Westburn",655,19,32,466,173,50,308,77,42,223,286,130,4,3,2,2,0,2,0,0,0,1652,559,258,
"Vicarland and Cairns",231,24,8,538,228,44,214,126,28,216,256,101,8,1,1,0,0,1,2,0,0,1208,627,184,
"Whitlawburn and Greenlees",542,11,7,410,81,20,197,87,18,156,514,83,10,1,2,0,0,1,0,0,0,1312,691,124,
"Cambuslang Central",223,0,1,637,5,11,52,12,3,175,348,121,52,4,6,5,0,5,1,0,0,1142,368,147,
"Burgh, Eastfield and Silverbank",195,9,8,888,52,31,407,66,22,637,90,156,32,0,4,0,0,0,1,0,0,2160,217,221,
"Farme Cross and Gallowflat North",129,2,5,293,41,13,159,54,22,527,578,267,7,2,4,0,1,0,24,0,21,1142,678,328,
"Shawfield and Clincarthill",83,1,4,132,4,4,157,20,19,506,471,275,14,1,8,4,3,4,0,0,0,888,501,320,
"Burnhill and Bankhead North",24,6,10,206,61,18,173,69,10,557,620,200,5,11,7,2,1,0,0,0,2,962,768,246,
"Bankhead South",82,1,0,361,6,28,204,29,22,521,43,181,4,1,5,2,0,0,1,0,0,1174,80,239,
"Spittal",29,4,5,266,60,22,360,120,23,202,196,58,0,1,0,1,0,1,0,0,2,859,382,110,
"High Crosshill",232,4,10,714,5,20,279,7,13,290,26,70,9,1,11,0,0,0,0,0,0,1527,42,124,
"Burnside and Springhall",275,1,3,585,27,21,179,60,17,281,432,104,37,14,11,0,3,1,0,0,0,1357,540,157,
"Fernhill and Cathkin",284,5,5,165,187,22,476,231,44,184,356,68,5,0,0,0,0,0,0,0,0,1110,785,139,
"Lindsayfield West, Lindsayfield South and Auldhouse",873,3,21,232,46,13,166,36,12,89,263,33,1,1,1,0,0,2,2,0,0,1364,349,83,
"Nerston",746,5,22,346,49,27,355,79,20,91,275,39,1,0,1,0,1,1,0,2,0,1536,406,110,
"Calderwood East",34,8,3,54,36,6,728,136,81,246,177,184,2,2,3,0,0,1,0,0,0,1059,358,278,
"Calderwood Central",46,5,4,128,48,9,724,110,69,337,401,218,2,2,1,0,0,0,0,0,0,1235,565,301,
"Calderwood West",148,1,8,312,42,25,562,77,54,322,255,186,1,1,0,1,6,0,0,0,0,1349,383,274,
"St Leonards North",294,5,5,222,21,11,812,97,65,355,103,198,2,0,1,0,0,1,0,0,0,1685,226,281,
"St Leonards South",183,1,5,136,10,9,941,61,84,377,87,236,1,0,1,0,0,1,0,0,0,1638,159,336,
"East Mains",144,4,2,317,66,19,203,63,20,369,144,208,4,5,2,3,1,3,0,0,0,1040,283,254,
"West Mains",134,0,4,259,38,16,291,54,24,279,137,191,1,3,0,0,1,0,0,0,0,966,236,246,
"Stewartfield East",732,2,18,167,27,11,9,6,1,60,12,16,0,1,3,0,0,0,0,0,0,976,48,48,
"Stewartfield West",765,0,19,320,11,19,207,34,27,113,63,77,0,0,3,0,0,0,2,2,1,1408,112,147,
"Thorntonhall, Jackton and Gardenhall",1083,0,25,314,4,10,69,6,16,105,4,11,4,1,0,0,0,0,0,0,0,1581,16,62,
"Hairmyres and Westwood West",315,8,11,135,18,7,255,43,30,149,96,77,0,4,0,1,2,1,0,0,0,853,168,129,
"Mossneuk and Newlandsmuir",523,4,3,590,79,30,233,24,24,68,3,31,1,0,0,0,0,0,0,0,0,1416,105,95,
"Crosshouse and Lindsayfield Central",708,21,23,248,42,28,508,141,74,33,118,38,0,1,0,0,0,3,0,0,0,1493,323,168,
"Whitehills West",51,7,4,92,170,15,766,233,89,96,151,70,3,7,1,4,2,0,0,0,0,1013,568,179,
"Greenhills",61,5,5,45,25,15,663,210,73,73,110,58,0,0,1,0,1,1,0,0,0,839,358,153,
"Westwood South",72,0,3,87,22,4,941,94,74,330,122,167,3,6,0,0,2,0,0,0,1,1430,246,252,
"Westwood East",83,3,0,187,24,8,580,90,42,297,191,157,1,1,2,1,2,1,1,1,0,1151,312,213,
"The Murray",30,4,1,211,54,23,545,93,58,334,299,234,2,6,0,0,1,1,0,0,0,1121,462,313,
"Birniehill, Kelvin and Whitehills East",149,2,4,244,54,19,693,151,53,149,101,96,0,4,0,0,0,0,0,0,0,1235,312,170,
"Blane Valley",1274,3,77,274,70,53,163,43,24,140,34,38,35,4,26,1,0,7,0,0,0,1889,154,225,
"Balfron and Drymen",855,7,68,267,125,60,166,43,31,62,121,47,11,0,11,7,0,1,2,0,1,1371,293,219,
"Kippen, Fintry and Gargunnock",720,4,75,198,83,25,79,23,4,21,48,10,15,1,4,1,0,1,15,1,1,1050,158,121,
"Cambusbarron",657,4,37,291,70,25,219,65,27,122,60,56,24,0,4,3,0,2,0,0,1,1315,199,149,
"Plean and Rural SE",405,16,35,283,126,29,178,131,13,23,112,26,4,1,2,3,3,3,0,1,0,895,388,108,
"Cowie",193,18,16,228,122,19,207,178,25,18,67,19,2,0,2,0,0,2,0,0,0,648,384,78,
"Fallin",74,20,8,359,174,28,180,203,29,33,80,18,0,1,1,0,0,2,0,0,0,647,478,82,
"Bannockburn",430,10,15,271,41,29,214,97,19,120,157,83,9,2,8,4,3,1,1,0,0,1049,307,159,
"Hillpark",194,7,12,318,194,38,331,189,55,16,40,21,1,2,3,0,3,0,0,0,0,856,433,129,
"Broomridge",474,3,23,755,123,98,298,102,70,222,293,187,6,17,16,3,2,3,2,0,0,1759,533,396,
"Borestone",233,22,6,417,181,58,295,127,54,73,272,68,1,0,5,3,0,3,1,0,0,1020,605,192,
"King's Park and Torbrex",558,4,26,519,4,25,63,7,8,343,55,133,161,3,29,7,0,3,1,0,0,1652,70,224,
"Braehead",57,9,9,234,62,43,276,74,34,74,144,122,12,7,8,1,0,0,1,0,2,658,295,218,
"City Centre",29,3,14,47,13,15,49,8,33,228,375,964,29,6,49,9,5,51,0,0,0,391,408,1126,
"Raploch",137,26,19,192,217,41,116,88,26,173,626,202,4,7,7,3,1,8,2,0,0,630,963,305,
"Cornton",332,11,24,140,65,26,131,107,16,43,218,61,4,5,1,3,0,2,0,0,0,650,401,137,
"Causewayhead",519,2,23,332,14,28,72,14,30,49,10,56,5,0,5,1,1,3,0,0,0,975,40,145,
"Bridge of Allan and University",822,1,32,442,28,43,130,59,18,216,132,212,146,9,44,7,0,14,0,0,0,1764,229,366,
"Riverside and Logie",146,6,9,164,36,29,141,30,15,230,56,379,23,1,10,0,0,4,7,0,2,711,126,447,
"Dunblane East",1105,3,32,286,32,30,175,32,36,117,37,64,17,4,14,13,0,13,0,2,2,1713,108,190,
"Dunblane West",845,5,26,353,18,24,138,37,17,219,103,65,12,2,5,0,0,0,0,0,0,1567,165,137,
"Carse of Stirling",967,10,140,314,105,72,174,24,18,71,96,24,27,1,10,5,0,8,2,3,0,1556,244,276,
"Callander and Trossachs",600,10,60,261,142,39,161,71,16,105,126,42,32,5,9,15,0,7,3,0,0,1176,354,175,
"Highland",593,5,82,235,133,41,93,79,16,35,93,28,17,1,11,7,0,8,0,1,2,977,309,187,
"Whitecrook",17,4,2,213,97,18,335,161,28,327,635,138,5,5,4,0,0,1,0,0,0,896,906,189,
"Singer and Clydebank South",18,14,0,168,63,13,262,133,11,467,1184,267,1,2,1,0,2,3,0,0,0,916,1396,295,
"Drumry",146,21,5,443,170,33,350,156,20,470,981,115,10,6,3,0,4,0,0,0,0,1416,1341,174,
"Kilbowie",64,10,0,262,89,17,166,118,19,622,797,137,3,3,1,1,2,2,0,0,0,1122,1016,181,
"Clydebank North",279,3,11,297,50,15,250,50,21,408,130,110,1,0,0,1,0,4,0,0,0,1238,230,161,
"Faifley",63,15,7,163,125,7,221,197,16,331,925,101,2,1,1,0,1,0,1,0,0,780,1264,137,
"Duntocher",415,0,8,660,25,26,224,45,17,253,239,66,3,0,0,2,0,0,0,0,0,1554,311,116,
"Dalmuir",112,6,3,380,101,15,405,207,34,401,1086,135,12,7,2,0,2,0,0,0,0,1311,1409,188,
"Old Kilpatrick",400,2,7,532,20,18,308,43,23,367,167,148,5,9,2,0,0,0,2,0,0,1614,238,196,
"Garshake, Milton and Bowling",286,1,11,439,48,27,341,34,15,301,177,90,16,0,0,2,0,1,7,0,0,1391,260,141,
"Dumbarton North",154,12,4,612,126,43,267,70,35,243,464,104,0,0,0,0,2,0,0,0,0,1280,674,185,
"Dumbarton Central",210,3,8,178,45,12,135,50,14,496,432,350,18,0,2,5,2,11,1,0,0,1042,532,399,
"Dumbarton East",252,2,1,318,4,5,294,3,7,456,78,243,0,1,1,4,0,6,0,0,0,1322,86,268,
"Dalreoch",263,12,12,476,193,24,360,215,42,259,708,93,13,9,0,1,1,1,0,10,0,1368,1151,175,
"Renton",414,25,8,427,175,30,256,168,35,469,490,201,30,12,6,5,6,3,0,0,0,1601,877,285,
"Bonhill",291,12,11,325,85,26,662,382,81,125,97,46,2,1,0,0,1,2,0,0,1,1405,575,166,
"Alexandria",191,15,10,278,114,22,210,86,32,223,383,126,10,7,7,1,2,0,0,0,0,912,604,199,
"Balloch",298,6,13,645,114,52,588,137,67,395,422,199,10,1,6,4,3,5,0,0,0,1944,683,345,
"Kilmaronock",350,31,31,479,280,30,258,176,26,79,344,39,6,0,3,2,0,2,1,0,0,1177,835,134,
"Fauldhouse",382,19,22,420,148,67,329,160,50,83,367,51,4,2,4,3,8,0,0,0,0,1220,704,195,
"Stoneyburn, Addiewell and Breich",446,19,38,324,191,42,217,182,36,57,270,38,7,1,6,2,0,0,23,0,0,1072,667,161,
"West Calder and Polbeth",497,27,33,417,134,49,485,239,84,127,348,122,9,8,16,12,4,5,0,1,0,1545,763,311,
