SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013723",49,16,5,80,22,7,42,13,5,51,8,1,13,5,2,
"S01013724",67,33,150,61,26,76,21,11,15,12,11,16,8,0,6,
"S01013725",84,28,63,51,22,25,12,10,8,16,7,1,2,5,1,
"S01013726",72,33,20,78,8,10,58,1,4,44,4,2,20,0,5,
"S01013727",117,7,50,99,10,38,41,9,14,40,3,7,6,1,6,
"S01013728",84,46,7,76,17,5,36,7,7,27,6,2,5,5,3,
"S01013729",79,64,10,75,26,5,32,5,2,21,7,5,4,1,1,
"S01013730",55,44,9,37,25,1,24,4,3,20,3,0,4,0,0,
"S01013731",127,36,28,116,15,21,36,3,4,28,4,5,7,4,1,
"S01013732",94,21,26,72,21,7,18,4,6,8,5,0,2,0,0,
"S01013733",87,94,33,74,47,23,30,25,14,23,9,2,5,2,2,
"S01013734",59,59,15,89,36,5,45,11,3,33,12,3,7,8,0,
"S01013735",74,0,7,101,2,0,39,1,3,30,0,0,6,0,1,
"S01013736",41,6,4,55,11,2,41,3,3,39,5,2,14,2,0,
"S01013737",97,114,23,58,42,9,25,18,5,14,7,4,8,4,2,
"S01013738",65,32,13,114,9,26,39,13,10,25,2,4,11,1,4,
"S01013739",79,49,11,118,23,9,40,15,3,29,11,1,7,3,5,
"S01013740",60,24,4,91,17,11,30,5,4,21,5,0,6,4,2,
"S01013741",37,25,6,55,15,3,20,3,2,17,2,5,1,0,0,
"S01013742",82,49,10,85,19,4,26,10,8,17,4,3,11,5,0,
"S01013743",109,39,20,142,12,9,42,6,5,43,2,6,8,3,4,
"S01013744",110,11,10,153,2,13,41,1,4,38,4,1,6,0,1,
"S01013745",62,3,16,82,5,19,37,7,5,37,3,7,10,4,1,
"S01013746",79,2,23,45,1,26,29,0,6,37,0,5,19,2,4,
"S01013747",109,4,15,116,2,7,42,0,4,38,0,2,0,0,3,
"S01013748",91,2,27,119,1,10,27,0,2,24,0,2,8,0,0,
"S01013749",81,0,7,91,1,4,24,1,0,29,0,2,5,0,0,
"S01013750",92,0,17,85,0,9,28,0,1,11,0,3,2,0,1,
"S01013751",90,0,18,150,1,11,31,1,2,20,0,2,3,0,0,
"S01013752",59,8,9,78,2,15,50,0,6,60,0,7,14,0,3,
"S01013753",105,59,9,155,14,3,36,2,2,35,2,3,4,0,0,
"S01013754",82,0,9,101,1,14,54,0,6,37,0,13,19,0,3,
"S01013755",129,2,10,103,0,14,42,0,4,31,0,5,5,0,2,
"S01013756",98,0,24,81,0,5,32,0,0,24,0,0,12,0,0,
"S01013757",54,5,4,91,2,6,31,0,0,33,0,3,10,0,0,
"S01013758",63,14,12,93,8,4,39,2,5,28,1,6,14,0,0,
"S01013759",21,0,0,97,0,2,47,0,1,34,0,0,8,0,2,
"S01013760",80,24,10,135,14,8,47,4,6,51,2,2,6,5,2,
"S01013761",62,2,3,119,0,3,32,0,0,26,0,1,16,0,1,
