SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01017044",27,7,0,115,20,0,92,4,0,26,0,0,14,0,0,
"S01017045",12,59,0,66,105,0,45,30,0,5,3,0,1,1,0,
"S01017046",33,22,0,113,33,0,63,7,0,12,1,0,2,0,0,
"S01017047",3,156,0,3,144,0,3,33,0,0,2,0,0,2,0,
"S01017048",0,130,0,4,122,0,4,25,0,1,5,0,0,0,0,
"S01017049",3,213,0,4,253,0,2,50,0,2,2,0,0,0,0,
"S01017050",4,198,0,16,196,0,4,29,0,0,0,0,0,0,0,
"S01017051",7,181,0,18,269,2,8,62,0,0,7,0,0,2,0,
"S01017052",5,269,0,12,234,0,8,31,0,1,4,0,0,0,0,
"S01017053",6,239,0,7,263,0,6,49,0,0,6,0,0,0,0,
"S01017054",7,191,1,8,184,0,7,42,0,0,2,0,0,0,0,
"S01017055",3,119,0,9,161,0,0,38,0,2,2,0,2,1,0,
"S01017056",20,95,0,41,111,0,11,20,0,3,1,0,0,0,0,
"S01017057",5,78,0,42,317,0,13,66,0,0,12,0,0,2,0,
"S01017058",7,63,0,38,102,0,18,31,0,6,0,0,0,2,0,
"S01017059",4,167,0,7,222,0,3,43,0,1,3,0,0,2,0,
"S01017060",4,126,0,5,221,0,4,50,0,0,3,0,2,0,0,
"S01017061",5,151,0,18,196,0,1,41,0,0,4,0,0,0,0,
"S01017062",5,278,0,6,206,0,6,31,0,0,0,0,0,0,0,
"S01017063",18,117,0,78,153,1,52,30,0,3,3,0,1,1,0,
"S01017064",18,307,1,38,206,0,20,46,0,2,4,0,0,0,0,
"S01017065",2,195,0,11,123,0,0,15,0,3,1,0,0,0,0,
"S01017066",18,153,0,23,112,0,6,19,0,1,1,0,0,0,0,
"S01017067",12,186,0,19,148,0,7,25,0,1,1,0,0,0,0,
"S01017068",10,200,0,4,74,0,2,4,0,1,1,0,0,0,0,
"S01017069",26,235,0,15,113,0,2,27,0,0,4,0,3,0,0,
"S01017070",36,6,0,112,13,0,105,2,0,29,1,0,9,0,0,
"S01017071",20,246,0,38,128,0,11,33,1,0,5,0,1,1,0,
"S01017072",24,201,0,25,149,0,6,23,0,0,6,0,1,0,0,
"S01017073",17,201,0,28,190,0,17,38,0,5,2,0,0,0,0,
"S01017074",51,64,0,69,98,0,25,23,0,9,7,0,1,0,0,
"S01017075",14,92,0,24,104,0,21,28,0,5,5,0,4,1,0,
"S01017076",32,59,0,75,49,0,27,11,0,4,0,0,2,0,0,
"S01017077",29,195,0,39,115,0,22,14,0,2,4,0,2,0,0,
"S01017078",27,133,0,38,129,0,18,22,0,4,8,0,1,1,0,
"S01017079",6,6,0,77,13,0,115,4,0,25,0,0,10,0,0,
"S01017080",14,3,0,72,15,0,110,2,0,24,2,0,14,0,0,
"S01017081",15,57,0,111,41,0,64,8,0,7,0,0,3,0,0,
"S01017082",36,22,0,132,49,0,89,10,0,13,0,0,9,0,0,
"S01017083",19,20,0,79,31,0,48,8,0,22,0,0,19,0,0,
"S01017084",25,79,0,54,91,0,31,9,0,7,0,0,2,0,0,
"S01017085",25,44,0,52,50,0,51,7,0,10,0,0,4,0,0,
"S01017086",7,117,0,21,113,0,26,26,0,5,4,0,8,0,0,
"S01017087",14,15,0,84,44,0,83,21,0,22,2,0,5,1,0,
"S01017088",28,13,0,164,50,0,80,14,0,11,1,0,1,1,0,
"S01017089",19,20,0,68,70,0,71,17,0,14,0,0,5,0,0,
"S01017090",33,62,0,108,45,0,71,1,0,15,1,0,9,0,0,
"S01017091",34,42,0,102,46,0,47,8,0,11,0,0,5,0,0,
"S01017092",30,194,0,78,219,0,31,40,0,4,1,0,2,0,0,
"S01017093",29,22,0,139,23,0,68,9,0,14,1,0,6,0,0,
"S01017094",21,54,0,124,97,0,72,28,0,16,0,0,10,1,0,
"S01017095",45,29,0,129,16,0,97,4,0,21,0,0,5,2,0,
"S01017096",31,1,0,123,6,1,83,3,0,13,0,0,3,0,0,
"S01017097",27,46,0,105,110,0,72,21,0,8,2,0,5,1,0,
"S01017098",28,12,0,110,7,1,52,3,0,12,0,0,4,0,0,
"S01017099",20,7,0,91,11,0,120,1,0,25,0,0,8,0,0,
"S01017100",13,35,0,64,61,0,68,6,0,17,0,0,2,0,0,
"S01017101",33,103,0,29,72,0,6,7,0,4,0,0,1,0,0,
"S01017102",47,47,0,101,43,0,65,8,0,24,1,0,6,0,0,
"S01017103",64,44,0,108,25,0,54,3,0,11,0,0,1,0,0,
"S01017104",24,156,0,21,63,0,8,14,0,0,0,0,2,0,0,
"S01017105",86,160,0,76,62,0,33,9,0,3,5,0,2,0,0,
"S01017106",15,136,0,11,60,1,4,10,0,0,2,0,0,0,0,
"S01017107",23,287,0,19,116,0,7,9,0,1,1,0,1,0,0,
"S01017108",76,156,3,106,74,0,36,9,0,8,0,0,1,2,0,
"S01017109",39,134,1,57,48,0,44,16,0,9,1,0,1,0,0,
"S01017110",61,131,0,62,67,0,29,6,1,7,2,0,1,0,0,
"S01017111",55,124,0,48,58,0,18,10,0,2,2,0,3,0,0,
"S01017112",44,140,1,93,67,2,47,12,0,14,1,0,2,0,2,
"S01017113",23,135,1,21,69,0,7,14,0,2,0,0,0,0,0,
"S01017114",39,78,0,85,51,0,32,4,0,5,0,0,2,0,0,
"S01017115",27,127,0,21,49,0,4,8,0,1,0,0,0,0,0,
"S01017116",10,267,0,11,122,0,2,18,0,4,4,0,0,1,0,
"S01017117",13,124,0,14,59,0,11,8,0,0,2,0,0,0,0,
"S01017118",39,250,0,45,114,0,18,21,0,2,2,0,0,0,0,
"S01017119",27,142,0,37,75,0,7,9,0,0,0,0,0,0,0,
"S01017120",44,106,0,51,113,0,20,30,0,4,8,0,2,2,0,
"S01017121",7,94,0,6,152,0,1,36,0,1,11,0,0,0,0,
"S01017122",13,88,0,9,135,0,6,35,0,4,7,0,2,4,0,
"S01017123",45,140,0,50,98,0,7,11,0,0,0,0,0,0,0,
"S01017124",14,82,0,27,146,0,9,44,0,3,3,0,0,2,0,
"S01017125",9,80,0,18,137,0,4,56,0,0,9,0,0,1,0,
"S01017126",3,59,0,14,121,0,4,27,0,0,2,0,0,4,0,
"S01017127",9,85,0,15,111,0,1,29,0,1,2,0,1,1,0,
"S01017128",5,77,0,12,111,0,6,48,0,4,2,0,0,2,0,
"S01017129",31,10,0,79,23,0,61,2,0,20,1,0,10,0,0,
"S01017130",19,19,1,91,50,0,56,15,0,6,2,0,4,0,0,
"S01017131",12,64,0,7,109,0,5,26,0,0,7,0,0,1,0,
"S01017132",19,80,0,47,81,0,36,34,0,7,4,0,1,0,0,
"S01017133",19,82,0,28,131,0,13,43,0,3,6,0,0,0,0,
"S01017134",20,33,0,98,44,0,47,24,0,1,0,0,2,1,0,
"S01017135",28,0,0,109,5,0,84,2,0,11,0,0,2,0,0,
"S01017136",2,205,0,2,176,0,2,28,0,0,7,0,0,0,0,
"S01017137",3,49,0,50,84,0,35,26,0,2,1,0,0,1,0,
"S01017138",2,171,0,0,153,1,2,26,1,1,2,0,0,0,0,
"S01017139",3,197,0,9,172,0,5,28,0,0,2,0,2,0,0,
"S01017140",27,80,0,109,102,0,68,18,0,9,1,0,3,0,0,
"S01017141",8,166,0,3,234,0,2,36,0,0,3,0,0,0,0,
"S01017142",5,228,0,5,175,0,0,16,0,1,1,0,0,1,0,
"S01017143",22,62,0,140,99,1,100,22,0,14,0,0,5,1,0,
"S01017144",6,300,0,7,162,2,2,25,0,0,3,0,0,0,0,
"S01017145",22,53,0,107,74,0,62,19,0,14,3,0,7,0,0,
"S01017146",15,192,0,39,180,0,27,26,0,4,0,0,3,0,0,
"S01017147",13,203,0,28,201,0,19,50,0,2,3,0,0,0,0,
"S01017148",7,127,0,14,170,0,13,39,0,2,4,0,0,2,0,
"S01017149",43,90,0,68,69,0,42,15,0,17,0,0,0,1,0,
"S01017150",3,166,0,7,89,0,2,18,0,0,1,0,0,0,0,
"S01017151",9,194,1,13,109,0,3,10,0,2,0,0,0,1,0,
"S01017152",26,78,0,77,67,0,41,19,0,6,2,0,1,0,0,
"S01017153",31,128,0,63,60,0,27,21,0,3,4,0,2,0,0,
"S01017154",50,255,1,40,94,0,23,13,0,1,0,0,0,0,0,
"S01017155",19,17,0,80,31,0,44,6,0,3,1,0,2,0,0,
"S01017156",24,190,0,22,126,0,12,29,0,9,1,0,0,1,0,
"S01017157",16,64,0,48,177,0,27,43,0,7,4,0,1,0,0,
"S01017158",7,69,0,46,224,1,20,49,0,3,2,0,0,0,0,
"S01017159",6,245,0,2,79,1,0,12,0,0,0,0,0,0,0,
"S01017160",13,229,1,19,146,0,12,29,0,0,7,0,0,0,0,
"S01017161",9,179,0,7,96,0,3,8,0,1,0,0,0,1,0,
"S01017162",11,251,3,15,180,0,6,30,0,2,6,0,0,0,0,
"S01017163",19,217,0,27,165,0,6,33,0,1,3,2,0,0,0,
"S01017164",10,210,0,4,134,0,0,12,0,0,2,0,0,1,0,
"S01017165",18,198,0,10,90,0,3,16,0,1,4,0,0,0,0,
"S01017166",10,151,0,24,136,0,15,26,0,3,0,0,0,0,0,
"S01017167",2,178,0,5,189,0,5,30,1,3,2,0,0,0,0,
"S01017168",8,225,0,2,119,0,2,18,0,0,4,0,0,0,0,
"S01017169",4,205,0,9,215,0,3,19,0,2,1,0,0,1,0,
"S01017170",17,230,0,37,106,0,7,13,0,3,4,0,0,2,0,
"S01017171",17,168,0,30,165,0,4,19,0,2,3,0,1,2,0,
"S01017172",12,189,0,18,195,0,5,30,0,0,6,0,0,3,0,
"S01017173",2,236,3,3,142,0,0,31,0,0,1,0,0,0,0,
"S01017174",85,157,0,43,71,0,11,18,0,4,0,0,1,0,0,
"S01017175",56,311,0,58,121,0,14,6,0,3,2,0,0,0,0,
"S01017176",12,247,1,16,151,0,11,19,2,0,1,0,0,0,0,
"S01017177",9,172,0,4,147,0,0,19,0,1,0,0,0,0,0,
"S01017178",23,406,0,12,238,0,5,37,0,1,2,0,0,1,0,
"S01017179",23,250,0,25,177,0,5,28,0,0,2,0,0,0,0,
"S01017180",23,335,0,27,180,0,8,23,0,0,0,0,0,0,0,
"S01017181",59,291,0,61,168,2,12,27,0,4,0,0,0,3,0,
"S01017182",27,127,1,20,68,1,3,23,0,0,0,0,0,0,0,
"S01017183",55,138,1,55,80,1,8,12,0,2,1,0,0,3,0,
"S01017184",16,68,16,34,90,18,13,18,8,1,3,5,0,1,0,
"S01017185",27,274,1,26,90,0,11,19,2,0,0,0,0,2,0,
"S01017186",25,196,0,32,84,1,6,18,0,0,2,0,0,0,0,
"S01017187",79,62,1,81,61,2,31,8,0,4,0,1,0,0,0,
"S01017188",32,36,0,115,20,2,52,3,3,9,0,0,0,0,0,
"S01017189",18,279,5,16,109,0,4,26,1,3,0,0,0,0,0,
"S01017190",14,310,0,10,140,1,1,15,0,1,2,0,0,2,0,
"S01017191",22,291,0,24,124,0,4,13,0,3,0,0,0,0,0,
"S01017192",9,290,0,25,198,2,8,31,0,3,3,0,0,1,0,
"S01017193",88,21,0,96,36,1,29,11,0,2,1,0,0,0,0,
"S01017194",49,119,1,48,57,0,14,18,0,4,0,0,1,0,0,
"S01017195",112,84,2,67,28,4,18,5,2,5,1,1,0,0,0,
"S01017196",60,264,0,54,110,2,23,11,0,0,4,1,2,0,0,
"S01017197",69,84,0,39,27,0,11,0,0,3,0,0,1,0,0,
"S01017198",34,124,0,35,57,9,8,11,0,0,4,0,0,1,0,
"S01017199",23,113,0,27,82,1,10,17,0,3,0,0,0,1,0,
"S01017200",85,68,1,70,25,0,34,6,0,4,1,0,0,0,0,
"S01017201",14,209,0,17,137,4,7,27,0,2,0,0,1,0,0,
"S01017202",26,256,1,45,102,1,19,18,1,8,2,1,0,0,0,
"S01017203",21,53,0,58,56,0,27,15,2,6,4,0,0,0,0,
"S01017204",36,130,0,68,118,0,15,30,0,7,1,0,2,0,0,
"S01017205",21,276,0,24,142,2,13,15,0,1,4,0,0,0,0,
"S01017206",26,75,0,40,59,0,25,12,1,1,0,0,1,0,0,
"S01017207",38,157,0,36,84,2,27,21,0,1,6,0,1,0,0,
"S01017208",70,105,0,60,57,1,25,19,0,3,0,0,2,2,0,
"S01017209",19,173,0,14,68,0,10,19,0,1,0,0,0,0,0,
"S01017210",23,62,0,109,53,0,59,24,0,3,1,0,1,0,0,
"S01017211",24,160,0,66,119,0,39,19,0,6,0,0,1,0,0,
"S01017212",53,13,0,114,44,0,72,15,0,21,1,0,7,0,0,
"S01017213",29,0,0,105,4,0,65,0,0,22,0,0,5,0,0,
"S01017214",42,57,0,101,46,0,62,11,0,14,1,0,4,0,0,
"S01017215",42,65,0,93,72,0,63,5,0,12,1,0,2,1,0,
"S01017216",48,43,0,106,27,0,77,10,0,21,0,0,1,0,0,
"S01017217",33,17,0,134,15,0,68,3,0,19,2,0,8,0,0,
"S01017218",96,4,0,139,3,0,44,2,0,4,0,0,1,0,0,
"S01017219",70,8,0,116,11,0,45,0,0,12,0,0,3,0,0,
"S01017220",53,68,0,59,48,0,24,17,0,8,5,0,0,2,0,
"S01017221",26,0,0,87,4,0,71,0,0,29,0,0,7,0,0,
"S01017222",37,12,0,135,23,0,105,4,0,27,2,0,10,0,0,
"S01017223",37,1,0,141,8,0,89,0,0,13,0,0,3,0,0,
"S01017224",42,8,0,113,12,0,67,9,0,30,0,0,7,0,0,
"S01017225",25,31,0,112,102,0,76,22,0,14,6,0,3,1,0,
"S01017226",73,33,0,100,27,0,51,1,0,4,3,0,2,0,0,
"S01017227",107,55,0,142,39,0,43,3,0,18,0,0,1,0,0,
"S01017228",48,3,0,150,0,0,77,0,0,15,1,0,4,0,0,
"S01017229",114,50,0,131,26,0,42,7,0,7,2,0,1,0,0,
"S01017230",45,0,0,111,3,0,67,2,0,10,1,0,3,0,0,
"S01017231",7,11,0,129,10,0,149,8,0,19,0,0,5,0,0,
"S01017232",17,92,0,50,96,0,20,8,1,8,6,0,1,0,0,
"S01017233",51,43,0,130,31,1,80,5,0,25,0,0,6,0,0,
"S01017234",64,83,0,102,78,0,34,13,0,9,1,0,2,0,0,
"S01017235",23,68,0,89,75,0,52,17,0,16,7,0,3,0,0,
"S01017236",7,2,0,111,4,0,170,1,0,17,0,0,4,0,0,
"S01017237",4,6,0,85,4,0,131,0,0,22,2,0,7,0,0,
"S01017238",7,4,0,51,2,0,103,2,0,25,0,0,7,0,0,
"S01017239",4,13,0,46,21,0,80,7,0,16,1,0,7,0,0,
"S01017240",25,27,0,102,44,0,130,6,0,26,5,0,12,2,0,
"S01017241",49,9,0,132,7,0,67,1,0,9,0,0,4,0,0,
"S01017242",38,2,0,126,0,0,76,0,0,18,0,0,2,0,0,
"S01017243",35,5,0,121,11,0,73,3,0,21,0,0,0,0,0,
"S01017244",56,6,0,120,8,0,86,2,0,22,0,0,2,0,0,
"S01017245",33,2,0,122,0,0,81,1,0,25,0,0,5,0,0,
"S01017246",33,3,0,117,2,1,90,0,0,25,0,0,3,0,0,
"S01017247",60,8,0,148,17,2,91,4,0,18,0,0,5,0,0,
"S01017248",50,15,0,138,14,0,65,2,0,17,0,0,6,0,0,
"S01017249",11,4,0,117,5,0,91,1,0,25,0,0,3,0,0,
"S01017250",30,6,0,189,15,0,150,3,0,31,0,0,4,0,0,
"S01017251",31,16,0,126,33,1,97,12,0,33,2,0,10,0,0,
"S01017252",17,85,0,21,56,0,18,11,0,6,4,0,2,1,0,
"S01017253",48,169,0,27,122,0,10,17,0,1,3,0,0,1,0,
"S01017254",124,73,0,144,27,0,55,2,0,12,0,0,2,0,0,
"S01017255",50,36,0,35,36,0,17,5,0,2,0,0,0,0,0,
"S01017256",6,3,0,78,24,0,126,10,0,15,1,0,5,0,0,
"S01017257",60,204,0,57,80,0,11,19,0,3,5,0,0,0,0,
"S01017258",74,137,0,63,62,0,12,8,0,4,0,0,1,0,0,
"S01017259",113,182,1,81,76,0,28,14,0,2,0,0,2,0,0,
"S01017260",41,126,1,36,64,0,14,18,0,0,2,0,0,3,0,
"S01017261",49,199,0,29,60,0,11,9,0,6,1,0,0,2,0,
"S01017262",18,4,0,70,6,0,36,2,0,13,0,0,8,0,0,
"S01017263",29,16,0,147,20,0,91,2,0,18,2,0,0,0,0,
"S01017264",28,25,0,69,35,0,66,8,0,7,0,0,2,1,0,
"S01017265",43,74,0,100,24,0,85,0,0,23,3,0,2,0,0,
"S01017266",59,114,0,59,42,0,17,8,0,3,0,0,3,0,0,
"S01017267",70,32,0,52,17,0,25,4,0,3,0,0,5,0,0,
"S01017268",24,118,0,32,57,1,12,8,0,2,2,0,0,0,0,
"S01017269",49,57,0,61,33,0,19,6,0,5,1,0,2,0,0,
"S01017270",34,108,0,43,53,0,8,5,0,4,3,0,1,0,0,
"S01017271",59,76,0,36,39,0,13,3,0,1,0,0,0,0,0,
"S01017272",42,115,0,45,91,0,24,12,0,7,3,0,0,2,0,
"S01017273",4,97,0,5,126,0,4,38,0,2,6,0,0,0,0,
"S01017274",22,51,0,34,36,0,18,11,0,4,1,0,1,2,0,
"S01017275",56,45,0,110,19,0,62,8,0,13,0,0,4,0,0,
"S01017276",73,60,0,93,18,0,30,3,0,7,0,0,1,0,0,
"S01017277",6,138,2,9,61,0,4,4,0,1,6,0,0,0,0,
"S01017278",23,210,0,23,98,0,4,17,0,1,3,0,0,0,0,
"S01017279",29,99,0,96,53,0,78,11,0,9,3,0,4,0,0,
"S01017280",41,15,2,116,17,4,83,1,2,28,0,0,9,0,0,
"S01017281",63,163,7,64,111,7,26,12,2,2,1,0,0,0,0,
"S01017282",73,141,2,68,56,3,20,7,0,3,0,0,0,0,0,
"S01017283",79,221,3,77,142,0,29,10,0,8,0,0,1,0,0,
"S01017284",71,75,0,100,56,0,24,11,0,8,0,0,1,0,0,
"S01017285",89,60,0,103,36,0,61,5,0,11,0,0,8,0,0,
"S01017286",6,239,1,23,182,0,7,37,0,0,3,0,0,0,0,
"S01017287",34,376,0,46,111,0,24,12,0,4,2,0,0,1,0,
"S01017288",28,234,0,46,122,0,24,37,0,6,6,0,1,0,0,
"S01017289",31,159,1,61,103,0,34,15,1,12,0,0,0,0,0,
"S01017290",18,305,0,12,135,0,4,25,0,2,0,0,0,0,0,
"S01017291",39,155,0,47,87,0,22,20,0,1,2,0,3,4,0,
"S01017292",61,84,0,101,81,0,25,13,0,9,4,0,0,2,0,
"S01017293",25,211,0,21,114,0,10,18,0,2,6,0,0,0,0,
"S01017294",27,158,0,83,84,1,25,10,0,3,1,0,1,0,0,
"S01017295",33,173,0,42,98,0,4,18,0,0,1,0,0,0,0,
"S01017296",15,274,4,14,124,8,10,23,6,2,3,0,0,2,0,
"S01017297",24,88,1,42,56,1,36,8,2,3,0,0,0,0,0,
"S01017298",24,182,3,59,86,6,61,13,4,9,1,0,0,0,0,
"S01017299",43,51,0,169,61,2,80,15,0,10,1,0,2,0,0,
"S01017300",54,133,14,82,92,15,19,15,9,5,4,0,0,2,1,
"S01017301",50,122,0,57,100,4,16,17,2,0,3,0,0,0,0,
"S01017302",45,116,0,51,107,0,17,30,0,7,3,0,0,1,0,
"S01017303",46,176,0,59,143,0,27,19,0,5,4,0,2,0,0,
"S01017304",59,163,0,63,123,0,23,21,0,1,0,0,1,5,0,
"S01017305",71,134,0,89,81,0,26,20,1,5,2,0,1,0,0,
"S01017306",40,86,0,38,60,0,10,8,0,7,1,0,0,0,0,
"S01017307",82,53,0,66,35,0,31,2,0,3,1,0,0,0,0,
"S01017308",84,119,0,55,117,0,17,26,0,4,2,0,0,0,0,
"S01017309",85,55,0,108,40,0,34,9,2,8,0,0,2,0,0,
"S01017310",9,148,0,5,87,0,4,14,0,0,4,0,0,0,0,
"S01017311",40,59,0,61,40,0,43,3,0,13,2,0,5,0,0,
"S01017312",21,179,0,12,101,0,3,18,0,0,1,0,0,0,0,
"S01017313",75,62,2,90,46,0,34,11,0,6,0,0,1,0,0,
"S01017314",62,45,0,83,26,0,54,0,0,14,0,0,3,3,0,
"S01017315",46,124,1,32,97,0,13,12,0,4,3,0,2,1,0,
"S01017316",124,50,0,168,21,0,88,4,0,18,0,0,0,0,0,
"S01017317",82,135,0,114,70,0,16,6,0,4,0,0,1,1,0,
"S01017318",23,72,0,34,47,0,29,11,0,6,0,0,2,0,0,
"S01017319",33,109,1,54,66,0,32,15,0,6,1,0,0,0,0,
"S01017320",50,62,0,63,31,0,16,9,0,5,1,0,1,0,0,
"S01017321",61,201,0,82,73,1,51,12,0,5,0,0,0,0,0,
"S01017322",12,257,0,6,178,0,5,29,0,0,5,0,0,0,0,
"S01017323",76,15,2,128,14,2,59,0,0,15,2,0,2,0,0,
"S01017324",27,60,0,74,19,2,45,9,0,7,1,0,0,0,0,
"S01017325",27,79,0,33,72,0,15,6,0,3,2,0,3,0,0,
"S01017326",46,110,0,39,107,0,23,22,0,7,6,0,2,2,0,
"S01017327",46,112,0,46,49,0,20,19,0,3,2,0,0,1,0,
"S01017328",77,110,0,78,54,0,32,8,2,4,0,0,2,0,0,
"S01017329",56,158,1,38,79,1,23,15,0,2,2,0,2,1,0,
"S01017330",22,24,0,94,8,0,82,2,0,8,0,0,1,0,0,
"S01017331",68,88,0,55,50,0,17,13,0,5,0,0,0,0,0,
"S01017332",36,27,0,97,55,0,53,13,0,8,1,0,1,0,0,
"S01017333",46,65,0,40,47,0,10,11,0,2,0,0,1,4,0,
"S01017334",58,80,0,73,44,0,21,10,0,4,0,0,0,0,0,
"S01017335",39,121,0,46,84,0,20,21,0,2,2,0,2,0,0,
"S01017336",7,3,0,84,4,0,103,1,0,11,0,0,2,0,0,
"S01017337",0,4,0,51,1,0,77,2,0,19,0,0,8,0,0,
"S01017338",15,2,0,144,3,0,135,1,0,30,0,0,9,0,0,
"S01017339",9,3,0,68,6,0,121,1,0,48,0,0,18,1,0,
"S01017340",16,1,0,126,2,0,91,0,0,13,0,0,8,0,0,
"S01017341",21,3,0,112,6,1,77,1,0,15,1,0,2,0,0,
"S01017342",30,20,0,91,60,0,66,13,0,6,1,0,3,0,0,
"S01017343",38,8,3,146,28,4,97,4,0,17,1,0,6,0,0,
"S01017344",13,2,0,104,6,0,138,1,0,22,0,0,4,0,0,
"S01017345",25,1,0,137,11,0,106,4,0,16,0,0,2,0,0,
"S01017346",74,14,0,97,17,0,46,3,0,7,0,0,0,1,0,
"S01017347",57,15,0,97,18,0,56,6,0,9,0,0,5,0,0,
"S01017348",62,66,0,49,63,0,17,18,0,1,4,0,2,0,0,
"S01017349",67,49,0,59,48,0,22,17,0,3,3,0,0,0,0,
"S01017350",31,84,0,28,107,0,16,40,0,1,5,0,1,1,0,
"S01017351",44,219,2,80,112,1,27,20,0,5,2,0,0,0,0,
"S01017352",92,36,0,86,8,0,23,1,0,10,1,0,0,0,0,
"S01017353",76,60,0,83,15,0,47,6,0,8,0,0,2,0,0,
"S01017354",65,11,0,71,23,2,57,5,0,12,1,0,2,0,0,
"S01017355",44,206,0,22,86,0,10,10,1,0,0,0,0,1,0,
"S01017356",43,33,0,87,28,0,68,3,0,17,0,0,7,0,0,
"S01017357",47,218,0,27,119,0,4,32,0,4,3,0,0,0,0,
"S01017358",25,137,2,28,66,1,14,11,0,4,0,0,2,0,0,
"S01017359",14,308,0,12,182,0,5,15,0,2,3,0,1,1,0,
"S01017360",14,162,0,29,92,0,15,12,0,2,3,0,0,0,0,
"S01017361",57,110,0,81,91,0,49,14,0,6,1,0,0,0,0,
"S01017362",26,287,0,17,112,0,7,20,0,1,2,0,0,2,0,
"S01017363",50,302,0,29,158,2,9,30,0,4,1,0,0,0,0,
"S01017364",38,188,0,44,142,0,8,30,0,2,5,0,0,0,0,
"S01017365",91,11,0,173,10,1,81,0,0,19,1,0,6,0,0,
"S01017366",32,302,0,33,114,0,6,14,0,2,1,0,0,2,0,
"S01017367",18,197,0,11,88,0,4,6,0,0,0,0,0,0,0,
"S01017368",41,128,1,19,68,0,3,6,0,0,0,0,0,0,0,
"S01017369",5,324,0,7,173,0,2,31,0,0,9,0,0,0,0,
"S01017370",2,93,0,1,140,0,2,29,0,0,4,0,0,1,0,
"S01017371",58,170,1,34,92,0,15,4,0,0,1,0,0,0,0,
"S01017372",21,260,0,27,108,1,11,25,0,0,0,0,0,3,0,
"S01017373",22,155,0,26,90,1,8,10,0,1,2,0,0,0,0,
"S01017374",85,212,1,55,92,1,14,14,0,1,2,0,1,1,0,
"S01017375",46,241,0,70,140,0,26,27,0,11,1,0,2,0,0,
"S01017376",26,60,0,50,58,0,37,5,0,10,4,0,0,0,0,
"S01017377",14,170,0,16,104,0,3,24,0,3,0,0,0,0,0,
"S01017378",32,258,0,18,109,2,3,16,0,0,0,0,0,2,0,
"S01017379",12,251,3,10,123,1,3,10,0,0,0,0,0,0,0,
"S01017380",26,216,0,36,91,0,9,19,0,1,0,0,0,0,0,
"S01017381",41,122,0,56,65,0,16,10,0,4,1,0,2,0,0,
"S01017382",36,175,0,42,84,0,10,13,0,1,0,0,0,1,0,
"S01017383",4,268,1,2,229,0,0,60,0,0,5,0,0,0,0,
"S01017384",4,124,0,5,202,0,1,61,0,0,2,0,0,1,0,
"S01017385",12,131,0,27,165,0,11,29,0,6,2,0,1,0,0,
"S01017386",0,153,0,1,146,0,1,40,0,0,3,0,1,0,0,
"S01017387",0,179,0,4,180,0,1,31,0,0,7,0,0,0,0,
"S01017388",7,224,0,6,149,0,1,25,0,0,4,0,0,1,0,
"S01017389",4,204,0,3,152,0,1,27,0,0,3,0,0,0,0,
"S01017390",15,331,0,8,225,0,2,34,0,0,1,0,1,0,0,
"S01017391",9,220,5,8,132,1,4,15,0,0,0,0,0,0,0,
"S01017392",2,403,0,4,154,2,2,17,0,0,0,0,0,0,0,
"S01017393",3,214,7,11,86,3,5,8,4,0,0,0,0,2,0,
"S01017394",37,216,0,30,112,0,9,15,1,1,0,0,0,0,0,
"S01017395",97,85,1,125,41,2,50,4,1,7,0,0,1,0,0,
"S01017396",0,199,0,4,204,0,0,44,0,0,3,0,0,0,0,
"S01017397",0,203,0,3,168,0,2,19,0,0,6,0,0,0,0,
"S01017398",0,158,0,5,175,0,3,41,0,0,10,0,0,0,0,
"S01017399",3,117,0,9,142,0,7,31,0,1,5,0,0,0,0,
"S01017400",6,109,0,23,112,0,13,20,0,1,2,0,0,0,0,
"S01017401",2,210,0,6,123,0,5,13,0,2,3,0,0,0,0,
"S01017402",17,311,0,17,138,0,6,35,0,0,3,0,1,0,0,
"S01017403",33,212,0,26,121,1,7,23,0,0,0,0,0,0,0,
"S01017404",2,399,0,8,149,0,2,23,0,0,0,0,0,0,0,
"S01017405",4,178,0,0,99,0,0,8,0,0,0,0,0,1,0,
"S01017406",2,167,0,1,61,0,0,7,0,0,0,0,0,0,0,
"S01017407",5,243,0,7,133,0,2,20,0,0,0,0,0,0,0,
"S01017408",4,306,0,6,123,0,0,12,0,0,2,0,0,2,0,
"S01017409",3,186,0,0,56,0,0,4,0,0,0,0,0,0,0,
