SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013658",42,129,0,28,74,0,7,31,0,1,0,0,2,0,0,
"S01013659",35,237,0,56,164,0,17,30,0,3,3,0,0,0,0,
"S01013660",28,143,0,45,100,0,16,35,0,6,3,0,4,0,0,
"S01013661",49,81,0,71,85,0,32,25,0,1,1,0,2,2,0,
"S01013662",42,31,0,127,35,0,60,7,0,4,0,0,1,0,0,
"S01013663",13,202,0,24,133,0,19,41,0,0,6,0,0,1,0,
"S01013664",12,156,0,56,163,0,33,33,0,3,0,0,1,0,0,
"S01013665",19,164,0,23,141,0,2,22,0,1,5,0,0,0,0,
"S01013666",11,152,0,30,122,0,14,28,0,4,2,0,2,0,0,
"S01013667",22,174,0,29,123,0,9,27,0,2,5,0,1,0,0,
"S01013668",7,140,0,8,143,0,2,35,0,0,5,0,0,0,0,
"S01013669",13,89,0,5,116,0,0,37,0,0,2,0,0,0,0,
"S01013670",2,158,0,10,172,0,4,53,0,0,4,0,0,0,0,
"S01013671",37,150,0,130,88,0,63,18,0,12,0,0,2,0,0,
"S01013672",23,72,0,95,201,0,55,64,1,12,5,0,4,2,0,
"S01013673",10,83,0,22,125,0,13,34,0,4,3,0,0,4,0,
"S01013674",15,82,0,52,126,0,32,23,0,2,2,0,4,0,0,
"S01013675",39,44,0,100,84,0,36,21,0,10,3,0,5,0,0,
"S01013676",22,168,0,52,215,0,27,48,0,1,5,0,3,3,0,
"S01013677",25,244,0,53,147,0,18,31,0,4,4,0,1,0,0,
"S01013678",58,37,0,110,36,0,59,8,0,11,0,0,1,0,0,
"S01013679",35,108,0,88,76,0,29,10,0,9,4,0,4,0,0,
"S01013680",48,113,0,92,90,0,37,9,0,6,0,0,3,0,0,
"S01013681",29,195,0,34,111,0,8,15,0,1,3,0,0,0,0,
"S01013682",21,37,0,53,37,0,32,11,0,2,4,0,1,0,0,
"S01013683",35,110,0,97,90,0,40,17,0,4,1,0,0,0,0,
"S01013684",53,62,0,73,63,0,37,19,0,9,0,0,1,0,0,
"S01013685",81,7,0,146,3,0,80,0,0,15,0,0,1,0,0,
"S01013686",53,47,0,83,38,0,35,17,0,7,1,0,1,0,0,
"S01013687",39,73,0,61,60,0,25,10,0,5,1,0,1,0,0,
"S01013688",79,73,0,137,31,0,61,13,0,8,0,0,0,0,0,
"S01013689",48,31,0,105,27,0,48,5,0,9,2,0,4,0,0,
"S01013690",41,28,0,81,23,0,43,4,0,3,0,0,0,0,0,
"S01013691",91,43,0,138,15,0,71,2,0,9,0,0,5,0,0,
"S01013692",79,63,0,142,63,1,61,11,0,11,0,0,5,1,0,
"S01013693",86,30,1,196,8,0,77,2,0,12,0,0,1,0,0,
"S01013694",97,61,0,158,45,0,73,9,0,7,0,0,1,0,0,
"S01013695",65,3,0,103,6,0,58,2,0,5,0,0,2,0,0,
"S01013696",111,48,0,154,42,0,67,12,0,12,0,0,2,0,0,
"S01013697",74,31,0,110,37,0,43,9,0,7,0,0,4,0,0,
"S01013698",42,21,0,72,22,0,36,9,0,7,1,0,1,1,0,
"S01013699",58,16,0,94,7,0,50,2,0,5,0,0,3,0,0,
"S01013700",94,39,0,179,13,0,76,2,0,19,0,0,5,0,0,
"S01013701",53,8,0,115,8,0,49,2,0,13,1,0,0,0,0,
"S01013702",91,6,0,146,8,0,90,4,0,20,0,0,6,0,0,
"S01013703",65,4,0,115,7,0,59,0,0,7,0,0,0,2,0,
"S01013704",72,18,0,136,10,0,95,1,0,9,0,0,0,0,0,
"S01013705",67,17,0,113,13,0,71,4,0,12,0,0,2,0,0,
"S01013706",64,3,0,133,3,0,60,3,0,6,1,0,2,0,0,
"S01013707",38,89,0,57,53,0,35,29,0,7,2,0,4,1,0,
"S01013708",49,21,0,123,5,0,47,2,0,17,0,0,3,0,0,
"S01013709",29,89,0,27,75,0,13,22,0,2,5,0,0,1,0,
"S01013710",56,184,0,65,104,0,29,22,0,5,4,0,1,0,0,
"S01013711",61,47,0,103,51,0,57,6,0,4,2,0,1,1,0,
"S01013712",46,146,0,67,112,0,23,29,0,8,3,0,1,1,0,
"S01013713",46,18,0,110,21,0,57,4,0,8,0,0,1,0,0,
"S01013714",47,50,0,88,29,0,33,6,0,6,1,0,1,0,0,
"S01013715",9,2,0,97,2,0,155,0,0,45,0,0,13,0,0,
"S01013716",17,4,0,112,2,0,82,1,0,15,2,0,7,0,0,
"S01013717",13,3,0,156,3,0,176,2,0,41,0,0,3,1,0,
"S01013718",26,2,0,135,5,0,129,4,0,23,0,0,5,0,0,
"S01013719",4,4,0,42,9,0,82,4,1,23,0,0,8,0,0,
"S01013720",12,28,0,68,109,0,109,22,0,8,3,0,2,0,0,
"S01013721",8,3,0,90,6,0,62,1,0,21,0,0,8,0,0,
"S01013722",14,4,0,137,10,0,143,4,0,30,1,0,14,0,0,
"S01013723",22,8,0,141,18,0,105,5,0,12,0,0,5,0,0,
"S01013724",12,82,0,69,234,1,54,64,0,4,1,0,1,0,0,
"S01013725",10,70,8,44,155,2,14,27,1,3,2,0,3,0,0,
