SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Glenrothes Collydean",13,105,183,91,3,1,0,26,103,268,12,2,0,0,9,31,98,5,0,0,0,7,14,30,1,0,0,0,56,251,575,106,4,1,0,
"Glenrothes Cadham and Pitcoudie",34,70,224,109,13,0,0,137,69,297,24,4,0,0,18,21,90,9,0,0,0,8,4,27,3,1,0,0,192,165,638,147,17,0,0,
"Glenrothes Balfarg Pitcairn and Coul",85,104,122,63,0,0,0,381,200,119,9,0,0,0,24,35,34,8,0,0,0,24,6,8,3,0,0,0,515,345,283,82,0,0,0,
"Markinch and Star",159,117,60,207,18,1,0,668,264,125,78,11,4,0,32,30,24,29,2,1,0,31,11,10,8,0,0,0,885,428,215,322,34,8,0,
"Windygates and Coaltown",158,123,84,147,7,1,0,437,195,120,63,6,0,0,23,36,27,40,1,0,0,28,17,9,2,2,0,0,646,371,239,252,15,1,0,
"Buckhaven Denbeath and Muiredge",50,253,246,518,28,1,1,82,374,246,253,7,2,1,16,106,60,140,1,0,0,20,36,17,26,0,1,0,172,769,565,937,36,4,2,
"Methil Methilhill",67,312,195,103,3,1,0,74,463,275,106,5,2,0,15,132,93,78,2,0,0,15,28,32,9,1,0,0,171,935,596,296,10,3,0,
"Methil West",27,94,75,403,9,7,3,41,107,95,161,3,4,0,6,29,31,100,1,1,0,1,12,10,29,0,0,1,77,242,206,697,13,12,4,
"Methil East",25,123,121,441,13,1,0,58,212,128,172,8,7,0,5,63,40,105,0,2,0,11,40,15,28,2,0,0,99,437,304,746,22,13,0,
"Leven East",52,152,94,514,43,23,0,131,231,85,182,19,18,0,5,41,17,43,2,1,0,11,18,9,48,14,5,0,199,438,205,787,76,47,0,
"Leven West",71,149,112,208,3,1,0,298,315,154,144,1,1,0,32,69,70,51,1,0,0,13,12,7,19,7,1,0,410,545,339,422,12,3,0,
"Leven North",83,166,59,81,3,2,0,350,231,104,53,6,0,0,16,34,37,27,1,0,0,15,11,7,13,0,4,0,464,442,209,171,9,4,0,
"Largo",115,122,85,69,25,0,0,310,176,88,43,23,3,0,23,34,10,7,6,1,0,10,13,5,7,2,1,0,458,345,185,126,60,5,0,
"Kennoway and Bonnybank",144,279,143,174,6,6,0,479,480,290,59,2,5,2,33,138,93,32,2,1,0,33,39,27,19,1,0,0,686,936,552,276,11,12,3,
"Kettle and Ladybank",154,162,85,130,10,4,19,518,330,157,56,5,6,29,40,51,19,24,1,1,1,24,20,8,5,0,1,0,733,562,272,215,16,13,49,
"Falkland and Freuchie",90,130,65,50,12,3,0,286,185,109,46,0,1,0,13,24,21,16,0,0,0,14,9,3,1,1,0,0,403,349,201,113,15,4,0,
"Auchtermuchty and Gateside",154,184,118,105,18,0,0,474,342,169,46,13,7,1,34,43,39,20,2,1,0,32,26,4,8,3,0,0,690,591,328,179,37,10,1,
"Newburgh",107,97,113,154,26,6,0,265,190,159,49,21,4,2,18,45,21,22,4,2,0,17,6,10,5,0,4,0,410,338,303,231,55,15,2,
"Cupar West and Springfield",158,126,106,74,10,0,1,509,298,128,22,11,1,3,34,50,34,15,0,0,1,23,18,8,7,0,0,0,726,489,271,114,22,1,7,
"Cupar Central",52,165,119,332,47,16,0,125,183,126,130,29,21,0,15,41,40,76,8,3,0,4,15,12,25,3,4,0,193,405,294,563,89,43,0,
"Cupar East",224,235,78,120,13,3,0,504,333,81,47,11,2,1,44,53,10,10,8,2,0,21,19,5,17,0,2,0,793,637,175,194,31,9,1,
"Dairsie Ceres and Dunino",163,116,86,8,7,2,0,502,179,106,7,5,0,0,28,22,19,0,1,1,0,24,13,6,0,0,0,0,716,333,217,16,12,3,0,
"Elie Colinsburgh and Largoward",150,116,71,56,22,1,1,302,179,111,26,14,0,0,21,26,22,6,2,0,0,23,8,9,2,1,0,0,495,329,216,90,37,1,1,
"St Monans and Pittenweem",108,181,145,137,29,3,0,206,250,163,78,10,0,0,13,45,26,33,6,0,0,10,17,11,14,13,0,0,341,493,342,262,58,4,0,
"Anstruther",116,190,148,217,39,8,0,339,306,246,98,34,12,0,30,62,44,18,10,0,0,10,18,10,14,5,0,0,490,576,452,347,86,21,0,
"Crail and Boarhills",132,132,130,69,29,5,0,280,153,153,37,20,1,0,18,27,24,12,3,2,0,11,10,8,5,1,0,0,440,326,318,121,54,11,0,
"St Andrews South East",64,189,199,115,10,0,0,96,231,181,65,6,0,0,9,49,41,34,0,0,0,18,119,84,69,35,0,0,191,589,505,285,50,0,0,
"St Andrews Central",38,52,73,464,66,15,0,36,56,60,160,25,8,0,2,12,10,43,0,2,0,29,95,120,353,141,54,0,105,215,263,1020,232,80,0,
"St Andrews South West",204,155,34,79,16,1,0,524,238,75,34,8,1,0,30,32,11,5,0,0,0,42,67,38,81,18,2,0,799,489,157,199,43,4,0,
"St Andrews North and Strathkinness",133,67,40,78,33,1,15,373,149,45,26,19,2,17,23,24,9,8,0,2,0,18,19,26,45,26,1,0,553,259,121,156,81,6,33,
"Leuchars and Guardbridge",48,122,86,94,11,0,12,187,368,186,84,5,1,4,22,65,45,30,2,0,1,16,36,29,11,1,0,0,273,591,346,218,11,4,16,
"Balmullo and Gauldry",252,129,66,19,2,0,1,741,240,72,5,4,0,3,37,26,15,1,2,0,0,29,13,2,2,1,0,1,1060,408,156,23,12,0,5,
"Tayport",95,167,78,254,27,3,0,309,318,150,181,23,10,0,19,58,37,66,3,0,0,14,13,8,12,8,2,0,437,559,273,514,62,14,0,
"Newport and Wormit",128,150,80,168,79,1,0,376,367,144,94,117,1,0,23,34,30,29,11,1,0,15,13,4,8,9,1,0,542,564,258,303,215,6,0,
"Darnley East",47,106,45,595,3,0,2,197,227,97,375,5,0,1,14,45,44,262,1,0,0,22,25,17,68,1,0,0,280,402,201,1296,10,0,3,
"Darnley North",44,135,88,166,3,3,0,274,454,132,55,0,0,0,23,90,40,33,0,0,0,32,37,14,9,1,0,0,376,714,272,263,6,3,0,
"Darnley West",75,129,84,164,3,0,0,469,392,83,79,5,0,0,67,66,13,51,1,0,0,106,40,10,15,0,0,0,717,625,190,311,9,0,0,
"Nitshill",25,100,65,182,1,1,0,112,210,122,137,4,0,0,14,90,39,80,0,0,0,12,32,11,34,1,0,0,164,431,240,436,4,2,0,
"South Nitshill",30,184,172,357,3,0,0,23,267,105,161,1,1,0,22,117,79,172,0,0,0,7,42,21,33,1,0,0,81,610,377,723,4,1,0,
"Crookston South",16,174,128,284,3,0,0,22,156,99,224,4,0,0,9,131,65,183,4,1,0,1,49,30,46,1,0,0,51,510,326,738,15,1,0,
"Crookston North",7,73,148,241,1,2,0,15,128,214,189,0,0,1,6,41,65,139,0,3,0,0,24,22,41,0,0,0,23,269,448,611,3,5,1,
"Pollok South and West",134,226,75,122,4,2,0,825,519,116,89,10,0,0,62,59,18,16,0,0,0,82,23,10,5,3,0,0,1103,827,219,231,17,2,0,
"Pollok North and East",13,163,176,512,19,1,0,26,325,263,278,5,0,1,11,169,103,209,0,3,0,7,60,52,59,2,0,0,58,717,595,1061,27,4,1,
"Cardonald South and East",5,23,21,568,7,0,0,14,35,27,408,9,0,0,0,11,15,144,0,0,0,4,5,2,60,1,0,0,23,72,66,1177,17,0,0,
"Cardonald North",17,80,110,653,0,2,0,41,133,137,340,5,0,0,8,31,31,234,8,0,0,6,24,19,49,0,0,0,71,262,297,1278,15,2,0,
"Cardonald West and Central",32,169,141,616,13,1,0,74,348,227,395,8,2,0,8,61,44,172,0,0,0,8,30,9,41,0,0,0,122,611,421,1224,18,2,0,
"Penilee",16,49,227,507,2,0,0,71,113,348,308,4,0,2,18,44,153,198,0,0,0,9,25,67,51,0,0,0,112,231,794,1064,6,0,2,
"Hillington",3,29,35,587,4,0,1,12,73,38,498,3,1,0,3,12,16,182,0,0,0,4,17,10,49,3,0,0,22,130,95,1316,8,1,1,
"Drumoyne and Shieldhall",23,151,199,1099,19,2,4,37,232,251,477,4,3,7,11,70,73,313,5,0,1,9,45,42,82,0,0,0,77,498,565,1965,32,3,10,
"Govan and Linthouse",11,49,99,1520,19,0,1,27,80,156,514,4,0,7,14,18,48,362,2,5,1,3,12,30,155,1,0,0,55,159,332,2551,27,6,9,
"Craigton",12,89,73,723,4,0,0,16,131,89,349,0,0,1,4,66,25,161,1,0,0,5,25,11,67,1,0,0,37,314,195,1300,8,0,1,
"Mosspark",12,243,130,463,0,1,0,32,497,187,243,1,0,0,6,128,70,114,0,0,0,6,65,26,35,0,0,0,52,932,405,853,1,1,0,
"Ibrox",6,16,44,837,10,4,0,7,36,47,325,7,0,1,6,21,44,186,0,0,0,5,11,18,104,2,0,0,20,80,153,1450,19,4,1,
"Ibrox East and Cessnock",3,6,37,1120,7,4,2,13,11,42,489,3,1,0,0,5,16,120,1,0,0,2,3,13,205,0,0,0,17,25,104,1934,9,5,2,
"Kinning Park and Festival Park",3,31,75,838,4,3,0,3,64,97,540,6,3,1,0,11,20,100,0,0,0,2,9,15,264,0,3,0,8,116,206,1742,12,5,1,
"Kingston West and Dumbreck",35,47,41,808,35,3,0,98,104,47,316,43,0,0,12,9,14,85,3,0,0,36,12,7,109,1,0,0,181,172,109,1318,83,3,0,
"Pollokshields West",21,33,13,363,87,2,0,132,135,18,343,186,0,0,5,15,0,109,8,0,1,39,50,3,98,8,0,0,193,233,34,913,289,2,1,
"Pollokshields East",4,4,8,665,5,4,0,7,33,42,835,13,0,2,2,7,24,165,2,0,0,5,1,7,278,4,3,0,17,47,82,1943,23,6,2,
"Govanhill West",2,7,10,1358,9,4,4,10,11,8,811,14,2,2,6,2,6,216,0,1,0,3,5,5,227,12,2,3,21,24,27,2614,35,8,7,
"Govanhill East and Aikenhead",8,48,56,878,3,0,0,15,83,93,563,6,1,0,4,16,20,206,0,0,0,6,13,10,110,3,0,0,34,160,177,1760,8,1,0,
"Battlefield",1,16,47,1118,38,8,1,21,51,74,869,55,2,2,5,3,9,130,5,0,0,15,17,10,172,10,0,0,42,89,139,2291,104,9,5,
"Strathbungo",5,7,54,1193,105,1,0,5,22,174,804,75,1,2,5,6,14,104,11,4,0,3,7,17,224,6,1,1,18,44,259,2325,197,5,3,
"Maxwell Park",77,61,71,505,42,0,2,285,252,213,526,80,0,0,21,20,25,55,9,0,0,101,58,5,53,3,0,0,482,391,314,1138,131,0,2,
"Shawlands West",4,5,11,1042,6,0,0,5,7,30,746,10,1,2,0,5,11,85,0,0,0,1,1,5,189,4,0,0,15,20,57,2062,21,1,2,
"Shawlands East",1,2,16,989,12,2,0,4,6,38,627,5,1,0,0,0,7,66,0,0,0,1,1,9,135,1,1,0,6,9,70,1817,18,4,0,
"Langside",6,13,47,1048,27,0,0,19,29,103,787,40,3,0,3,5,13,91,2,0,0,6,4,13,128,8,0,0,34,51,176,2053,75,3,0,
"Pollokshaws",15,15,65,1474,9,3,1,9,44,151,560,8,1,1,1,6,29,196,0,0,0,4,4,12,102,0,0,0,28,69,257,2336,16,5,2,
"Carnwadric West",17,42,46,814,7,0,0,85,103,75,355,5,3,2,10,29,24,225,1,0,0,24,22,11,62,0,0,0,136,196,162,1456,13,3,2,
"Carnwadric East",9,48,65,411,4,3,0,32,91,104,294,3,1,0,1,22,40,183,0,1,0,5,3,6,67,1,0,0,49,164,215,955,9,8,0,
"Newlands",35,58,152,490,13,4,0,168,349,381,240,20,0,0,16,43,49,103,3,0,0,24,28,21,42,0,0,0,246,482,601,875,33,4,0,
"Merrylee and Millbrae",14,54,91,328,20,0,0,47,238,256,206,37,1,0,6,27,35,68,0,0,0,15,18,24,40,4,0,0,84,337,402,635,66,1,0,
"Muirend and Old Cathcart",34,114,126,598,12,5,0,99,443,303,277,18,3,0,9,38,36,60,1,0,0,6,29,20,33,0,0,0,149,624,485,972,36,8,0,
"Carmunnock North",69,191,109,353,9,4,2,318,586,227,180,5,4,0,25,76,52,82,1,2,0,20,44,12,24,0,0,0,432,895,400,640,15,9,2,
"Glenwood South",20,92,136,923,3,2,4,44,210,201,275,4,0,0,12,60,102,334,1,0,0,7,27,33,63,2,0,1,87,389,469,1598,7,2,4,
"Glenwood North",13,75,108,559,4,0,2,46,155,154,254,15,1,3,30,46,72,272,0,0,1,7,19,33,53,0,0,0,98,295,366,1138,21,1,5,
"Castlemilk",10,56,94,1128,7,1,0,14,116,79,670,3,0,0,5,52,59,391,3,0,0,3,13,16,87,2,0,0,32,237,248,2276,13,1,0,
"Kingspark South",45,33,9,394,14,0,0,115,66,20,602,13,0,0,12,12,5,200,2,0,0,20,12,0,63,0,0,0,191,125,38,1259,27,0,0,
"Kingspark North",4,99,58,292,4,0,1,16,285,225,398,11,0,0,2,23,23,126,0,0,0,2,29,11,34,1,0,0,28,436,321,850,16,0,2,
"Cathcart",15,39,70,1634,20,8,1,55,157,241,629,11,1,1,4,11,24,178,3,0,1,3,8,9,88,1,0,0,77,215,345,2533,33,10,4,
"Mount Florida",0,24,65,964,13,9,0,8,82,171,590,21,2,0,0,14,26,130,0,1,0,1,11,10,98,2,0,2,11,131,272,1785,37,9,2,
"Toryglen and Oatlands",0,42,74,557,4,3,1,7,110,150,286,1,0,0,2,20,33,227,0,0,0,2,23,26,67,1,0,0,9,198,283,1137,4,3,1,
"Polmadie and Toryglen",9,26,60,730,2,1,0,32,104,175,432,2,0,2,0,23,40,132,3,0,0,2,9,26,86,0,0,0,44,165,301,1384,6,1,3,
"Gorbals and Hutchesontown",5,7,70,1596,13,2,4,8,16,85,770,2,4,2,1,9,31,313,0,0,0,2,3,21,201,1,1,2,16,35,209,2880,13,7,7,
"Laurieston and Tradeston",2,10,26,1276,20,19,3,4,30,78,782,23,9,1,2,7,22,215,2,2,0,3,2,14,386,8,9,0,11,49,140,2656,52,46,5,
"Calton and Gallowgate",17,33,102,1145,19,21,1,10,29,95,563,5,7,2,9,9,43,104,1,0,0,3,3,18,252,12,0,0,39,75,258,2064,37,25,2,
"Bridgeton",7,15,67,882,12,1,2,4,28,91,446,8,0,4,3,16,27,179,2,3,0,0,4,18,167,8,0,0,15,63,207,1670,26,5,4,
"Dalmarnock",5,26,143,737,2,1,34,21,78,214,299,3,0,27,8,61,97,183,5,0,4,10,16,37,55,3,0,2,47,180,491,1276,12,1,69,
"Parkhead West and Barrowfield",7,10,45,1087,5,9,6,5,12,43,372,4,6,5,3,9,14,261,1,2,1,1,6,14,90,2,1,0,15,39,116,1807,12,16,12,
"Barrowfield Central",14,58,116,448,7,4,4,24,105,159,199,6,0,10,20,71,133,138,3,0,1,6,32,42,75,0,1,1,68,273,452,860,13,5,16,
"Parkhead East and Braidfauld North",19,54,63,737,12,1,8,24,91,73,277,4,1,7,6,62,34,168,2,1,1,9,21,17,60,0,0,0,52,228,187,1242,18,3,18,
"Braidfauld",9,103,48,647,6,6,3,13,111,89,315,5,1,2,5,54,27,199,0,2,0,2,25,9,75,3,1,0,30,293,170,1230,18,9,5,
"Braidfauld West",2,66,66,426,4,3,0,31,134,115,236,4,0,0,9,34,35,158,1,2,0,6,22,20,45,0,0,1,51,249,233,865,8,4,1,
"Shettleston South",30,225,57,252,0,0,0,78,544,78,108,7,1,0,12,72,12,42,0,0,0,16,54,3,21,0,0,0,135,897,153,420,7,1,0,
"Carmyle and Mount Vernon South",14,97,195,101,0,0,0,39,166,239,60,1,0,0,6,42,101,27,0,0,0,1,13,25,6,1,0,0,61,318,559,194,5,0,0,
"Mount Vernon North and Sandyhills",133,158,35,120,9,1,0,395,367,70,65,15,0,0,35,47,10,23,1,0,0,34,12,7,10,1,0,0,601,585,122,218,26,1,0,
"Baillieston West",18,183,227,152,4,0,0,33,375,265,54,1,0,0,6,69,128,39,2,0,0,0,28,28,7,1,0,0,59,655,648,252,8,0,0,
"Baillieston East",62,96,113,337,7,4,1,268,228,132,165,1,3,1,40,58,42,100,1,0,0,27,19,8,31,0,0,0,394,401,295,636,9,7,1,
"Baillieston South",61,42,21,68,0,0,0,744,147,54,57,5,0,0,42,21,8,14,0,0,0,46,16,4,10,0,0,0,895,223,90,146,5,0,0,
"Garrowhill West",23,270,98,29,0,0,0,115,684,190,20,2,0,0,24,92,31,13,0,0,1,13,43,3,6,1,0,0,177,1085,322,71,3,0,1,
"Garrowhill East and Swinton",97,191,91,64,2,2,1,353,444,169,52,0,1,2,33,78,25,29,0,0,0,19,37,6,4,0,2,0,502,756,291,149,3,5,2,
"Easterhouse East",42,101,131,359,8,0,0,118,154,140,189,3,0,0,12,48,32,106,2,0,0,14,14,17,22,2,0,0,185,314,319,674,16,0,0,
"Central Easterhouse",9,146,41,429,4,0,0,7,117,36,153,0,0,1,2,97,28,160,3,0,0,3,26,4,36,1,0,0,21,382,110,772,8,0,1,
"Garthamlock, Auchinlea and Gartloch",26,87,83,337,8,0,0,131,303,168,192,1,0,0,23,81,60,115,1,1,1,26,41,15,47,1,0,0,206,510,324,694,11,1,1,
"North Barlanark and Easterhouse South",16,68,71,407,0,0,0,23,139,105,148,2,0,0,21,105,70,180,3,0,1,4,57,19,45,1,0,0,63,366,266,776,6,0,1,
"Barlanark",13,97,121,650,1,1,0,61,225,206,379,9,5,0,14,65,63,319,0,0,2,7,39,20,76,2,0,0,95,428,410,1427,12,6,2,
"Greenfield",38,170,208,680,6,1,14,86,269,223,260,4,0,17,18,72,109,175,4,0,4,9,22,37,22,0,0,0,151,533,578,1137,12,1,35,
"Shettleston North",19,72,50,1343,8,0,1,16,117,81,408,6,2,3,5,23,25,238,0,0,0,4,14,4,88,1,0,0,40,226,160,2080,17,4,3,
"Tollcross",13,72,122,705,9,5,0,22,113,113,357,4,0,4,10,39,49,203,4,0,0,3,17,11,54,0,1,0,46,244,296,1319,12,6,4,
"Old Shettleston and Parkhead North",29,134,71,710,4,0,39,136,181,149,356,3,0,36,24,62,53,309,3,2,5,14,24,12,92,0,0,1,203,399,286,1467,10,2,81,
"Carntyne",7,204,26,584,2,2,0,9,192,29,313,1,0,1,7,65,20,185,0,0,0,2,23,6,61,0,0,0,31,487,81,1143,2,2,1,
"Cranhill, Lightburn and Queenslie South",12,254,91,733,7,5,1,21,438,102,361,2,0,3,14,229,50,264,0,0,0,6,74,16,81,1,0,0,55,998,261,1438,12,5,4,
"Craigend and Ruchazie",15,98,292,661,0,1,2,73,195,315,245,1,0,1,18,52,130,277,1,0,0,11,25,35,56,2,0,0,116,370,773,1239,7,1,5,
"Riddrie and Hogganfield",21,163,77,709,11,0,0,27,275,140,349,3,1,2,19,111,57,205,4,0,2,2,53,30,68,1,0,2,63,600,309,1331,17,1,4,
"Blackhill and Barmulloch East",48,221,67,423,0,0,1,74,289,81,309,2,0,0,23,106,51,233,0,0,1,11,49,12,67,0,0,0,161,665,211,1028,2,0,2,
"Robroyston and Millerston",91,83,9,7,0,0,0,617,230,26,18,1,0,0,53,35,1,7,0,0,0,51,15,1,2,0,0,0,812,367,36,33,1,0,0,
"Robroyston South",89,180,66,105,0,0,7,334,375,89,45,0,1,2,44,49,11,10,0,0,1,31,23,8,6,0,0,0,499,626,177,166,0,1,10,
"Balornock",8,99,168,377,1,0,0,17,166,213,277,5,2,2,9,102,103,208,0,0,0,10,34,37,66,0,0,0,44,399,521,927,6,2,2,
"Barmulloch",3,112,73,252,2,0,0,23,185,87,95,2,0,3,11,90,69,100,0,0,0,6,34,12,18,1,0,0,46,419,239,465,5,0,3,
"Petershill",9,72,64,761,7,4,1,16,129,90,331,1,0,0,4,33,19,223,0,0,2,5,9,9,103,3,1,0,34,243,182,1418,7,3,3,
"Springburn",3,70,90,769,6,0,0,6,89,79,352,7,4,2,3,34,22,261,3,0,0,2,11,10,91,1,2,0,14,204,201,1473,17,3,2,
"Springburn East and Cowlairs",19,89,65,888,1,3,1,50,115,64,317,1,0,1,12,51,40,194,0,1,0,7,29,10,78,3,0,0,87,284,186,1477,5,4,2,
"Cowlairs and Port Dundas",12,36,58,865,10,4,4,23,47,60,342,5,1,4,11,61,44,169,2,1,1,3,13,18,106,2,0,0,50,155,177,1482,19,6,4,
"Roystonhill, Blochairn, and Provanmill",24,104,74,1267,10,1,3,24,167,85,610,0,2,0,8,93,40,395,4,3,3,9,24,20,119,3,0,1,65,385,219,2389,17,6,8,
"Dennistoun North",5,2,11,807,9,0,0,4,15,21,685,15,0,0,0,2,4,82,1,0,0,0,3,9,418,2,0,1,9,22,45,1989,27,0,1,
"Alexandra Parade",1,1,17,765,4,3,0,1,8,9,357,7,1,0,3,0,1,103,1,0,0,0,0,3,151,3,0,0,6,12,29,1376,13,6,0,
"Carntyne West and Haghill",3,81,56,1031,1,3,19,6,82,86,372,2,0,4,3,45,21,229,0,0,1,1,13,12,87,0,1,1,14,221,173,1713,3,4,25,
"Dennistoun",0,2,8,882,11,1,0,4,11,35,725,15,2,0,0,2,6,102,0,0,0,0,6,11,366,3,2,0,6,26,62,2075,29,5,0,
"Gallowgate North and Bellgrove",6,14,27,1262,6,13,1,6,16,31,467,1,6,0,1,7,14,213,1,0,0,1,4,12,351,1,2,0,16,42,84,2297,11,20,1,
"City Centre East",8,5,19,2077,18,91,0,4,6,6,742,11,32,0,0,3,2,171,0,2,0,0,2,0,569,8,20,0,13,14,27,3559,39,147,0,
"City Centre West",12,6,8,1327,28,20,0,3,6,2,505,18,13,0,0,2,3,116,2,1,0,4,1,7,521,7,14,1,20,15,19,2469,58,48,1,
"City Centre South",2,0,7,1011,9,46,0,0,5,6,412,9,26,0,2,1,3,61,1,0,0,4,1,4,361,6,12,0,8,9,21,1838,25,84,0,
"Anderston",3,3,9,1044,15,9,1,6,6,15,785,27,0,1,1,2,8,192,1,1,0,0,0,3,356,5,4,0,10,13,36,2377,48,15,2,
"Finnieston and Kelvinhaugh",1,3,10,607,26,4,0,10,7,18,486,18,3,0,2,2,4,89,3,0,0,1,1,5,414,8,6,0,14,12,34,1596,55,9,0,
"Yorkhill",0,2,11,873,12,1,1,0,3,7,463,5,2,0,0,0,0,56,0,1,0,1,0,1,332,8,5,0,1,6,18,1728,25,9,1,
"Woodlands",3,9,18,423,67,2,0,5,14,39,389,94,0,1,0,1,5,76,6,0,0,1,2,6,404,4,1,0,9,27,68,1296,168,2,1,
"Kelvinbridge South",0,0,3,457,4,3,0,4,3,4,421,0,1,0,2,1,0,74,0,0,0,2,2,2,547,3,2,0,9,9,10,1491,5,6,0,
"Woodside",5,6,21,907,18,2,1,2,11,23,374,9,4,0,0,6,9,122,2,0,0,2,1,2,228,4,0,0,13,24,58,1631,37,6,1,
"Firhill",3,17,81,1462,61,3,0,11,15,80,758,57,5,0,9,6,28,226,6,1,0,4,7,18,353,7,0,0,27,45,208,2799,135,9,0,
"Keppochhill",11,71,53,918,0,2,5,27,58,89,393,3,2,2,16,55,49,232,2,0,0,1,16,20,174,6,0,3,55,200,213,1717,13,6,16,
"Ruchill",4,5,28,883,18,2,0,5,9,49,556,10,1,0,1,5,9,77,1,0,0,1,7,10,286,1,0,0,14,25,96,1807,30,4,0,
"Ruchill Park",4,37,22,776,1,4,2,9,77,47,341,0,1,0,2,24,15,193,0,0,1,2,17,10,144,0,0,1,17,159,93,1453,4,3,4,
"Possil Park",43,210,151,1014,12,4,0,71,294,170,367,3,3,3,17,144,72,252,4,1,0,17,45,24,83,3,0,1,147,693,417,1716,23,6,4,
"Milton West",12,134,182,547,8,0,0,23,153,191,282,3,2,0,19,90,115,213,0,2,0,6,37,33,58,2,0,0,63,414,521,1097,15,3,0,
"Milton East",14,91,197,325,4,2,0,9,124,200,145,7,1,1,8,71,107,109,0,0,0,5,28,41,29,0,0,0,39,314,544,608,11,3,1,
"Summerston Central and West",43,138,90,455,5,0,2,221,340,100,175,3,1,0,31,77,45,132,0,2,0,20,14,10,25,4,0,0,310,569,245,783,12,2,2,
"Summerston North",24,52,61,627,6,2,0,62,100,104,333,6,1,1,11,24,30,206,2,0,0,13,10,6,54,0,0,0,110,186,201,1219,17,4,1,
"Maryhill East",0,27,54,714,4,2,0,4,52,89,350,3,0,0,5,25,25,228,0,0,0,0,12,12,98,2,0,4,9,116,183,1383,9,2,4,
"Maryhill West",9,46,68,573,5,2,0,9,85,127,219,3,4,0,1,18,37,121,2,0,0,2,15,19,78,5,0,0,24,164,249,992,16,6,0,
"Wyndford",11,13,41,1316,14,3,3,4,29,37,391,2,2,0,3,7,30,280,0,0,0,0,0,10,114,0,0,3,18,47,118,2101,16,6,5,
"Kelvindale",15,160,69,587,131,0,0,46,454,240,423,188,0,1,4,46,21,61,11,0,0,6,33,18,142,10,2,0,69,693,344,1216,342,2,1,
"North Kelvin",7,11,17,605,120,0,0,14,28,80,612,107,1,0,3,7,7,68,4,0,0,4,3,11,235,15,2,0,28,50,115,1527,246,2,0,
"Kelvingrove and University",5,5,22,817,99,6,0,3,16,66,702,87,5,2,1,1,11,87,6,0,0,2,5,13,778,33,5,1,13,27,112,2383,223,15,1,
"Hillhead",8,10,29,1576,26,4,1,11,10,28,809,10,5,0,1,1,12,175,2,0,2,6,2,12,592,5,9,0,21,21,81,3152,38,14,2,
"Glasgow Harbour and Partick South",5,6,18,1646,6,4,0,8,11,24,820,5,6,0,2,3,10,133,0,0,0,2,1,8,269,5,0,0,13,21,56,2865,16,11,0,
"Partick",4,6,37,1276,24,4,1,12,11,33,580,8,0,0,0,4,7,181,0,4,0,1,2,2,219,4,1,0,19,21,76,2256,38,7,1,
"Partickhill and Hyndland",5,10,60,1160,100,3,0,20,43,122,995,86,1,0,4,3,10,94,8,1,0,2,5,6,302,1,1,0,31,63,204,2547,195,6,0,
"Dowanhill",7,7,29,619,317,3,1,26,30,67,578,317,5,3,5,3,8,57,14,1,0,1,12,13,308,26,4,0,35,45,117,1559,674,13,4,
"Kelvinside and Jordanhill",20,86,103,647,38,1,0,124,331,468,423,48,0,0,7,29,42,72,3,1,0,7,13,7,48,2,0,0,158,459,627,1190,91,2,0,
"Broomhill",4,25,74,906,11,0,0,13,91,299,584,25,2,0,1,7,28,92,3,1,0,1,4,7,98,0,6,0,21,127,408,1673,39,6,0,
