SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013810",13,116,153,36,16,10,6,4,1,0,4,7,5,1,0,
"S01013811",16,80,51,18,5,54,44,18,3,1,6,10,0,0,0,
"S01013812",26,112,102,23,6,23,20,6,0,0,6,17,3,2,0,
"S01013813",4,49,67,30,11,5,14,4,2,0,2,17,11,4,2,
"S01013814",2,76,124,43,18,2,15,0,0,0,0,18,17,5,0,
"S01013815",10,64,122,54,29,3,0,3,0,0,0,17,23,3,4,
"S01013816",11,66,70,19,4,0,3,0,0,0,3,4,9,0,0,
"S01013817",7,40,95,28,17,1,1,0,0,0,4,13,10,5,0,
"S01013818",2,98,103,10,1,2,14,1,1,0,2,17,8,3,0,
"S01013819",0,67,114,11,5,4,3,1,0,0,4,16,6,3,1,
"S01013820",4,52,133,45,23,1,4,1,0,0,1,16,22,7,4,
"S01013821",18,109,98,21,2,8,5,1,0,1,5,32,7,2,0,
"S01013822",26,84,51,6,2,67,77,15,4,1,13,21,8,1,0,
"S01013823",29,153,135,29,3,19,26,10,0,0,6,21,4,0,0,
"S01013824",17,89,136,23,10,24,28,11,2,1,4,4,3,4,0,
"S01013825",39,111,54,19,4,69,59,9,0,0,9,25,4,0,0,
"S01013826",37,148,64,18,6,71,30,6,1,0,22,33,14,6,0,
"S01013827",2,46,75,12,2,1,0,0,0,0,0,3,0,0,1,
"S01013828",20,102,83,18,6,20,31,9,3,0,6,10,8,1,0,
"S01013829",21,103,68,8,3,1,0,0,0,0,1,10,1,1,0,
"S01013830",31,159,115,28,10,27,23,1,0,0,7,28,7,0,0,
"S01013831",15,67,70,15,6,3,0,1,0,0,1,10,3,1,0,
"S01013832",4,63,118,35,8,4,6,3,4,0,2,13,6,3,0,
"S01013833",63,141,53,9,2,86,41,8,0,0,29,46,13,0,0,
"S01013834",11,66,71,14,6,10,8,1,0,0,8,27,14,2,0,
"S01013835",17,83,65,17,4,13,11,3,3,0,0,11,1,0,0,
"S01013836",12,85,80,24,8,13,21,2,0,0,0,6,1,0,1,
"S01013837",24,154,116,16,5,29,28,4,3,0,1,8,0,3,0,
"S01013838",5,95,134,22,8,7,23,2,0,0,3,5,7,0,0,
"S01013839",9,71,112,28,13,0,4,0,0,0,0,4,5,0,1,
"S01013840",12,126,151,31,14,3,8,5,2,0,0,8,5,2,1,
"S01013841",22,127,106,27,5,2,1,0,0,1,4,6,2,0,1,
"S01013842",15,131,109,27,2,1,3,1,0,0,6,17,0,1,0,
"S01013843",34,134,86,25,1,1,1,0,0,0,14,20,7,2,0,
"S01013844",23,154,126,33,10,1,0,0,0,0,8,10,1,0,0,
"S01013845",21,100,65,15,4,9,9,2,0,0,5,3,0,3,1,
"S01013846",13,97,90,20,7,2,5,0,0,0,6,4,3,0,0,
"S01013847",8,89,94,17,4,4,1,0,0,0,4,9,10,2,0,
"S01013848",3,38,94,37,15,2,2,0,0,0,5,14,15,0,2,
"S01013849",6,43,70,18,4,4,13,8,0,0,2,4,3,1,0,
"S01013850",2,61,106,11,5,1,3,2,0,0,2,5,10,3,1,
"S01013851",6,59,84,12,6,2,10,5,3,0,2,7,7,0,0,
"S01013852",4,50,88,6,3,2,3,0,0,0,2,5,3,1,0,
"S01013853",22,149,103,11,2,19,25,4,2,0,1,16,3,4,0,
"S01013854",17,80,85,25,5,61,42,6,0,1,3,5,2,0,0,
"S01013855",5,84,97,22,5,4,3,0,0,0,2,4,2,1,0,
"S01013856",10,58,158,37,27,3,2,0,0,1,2,32,34,5,4,
"S01013857",13,124,156,29,15,18,39,13,2,0,0,16,7,0,0,
"S01013858",4,55,134,55,34,0,3,7,0,1,1,19,20,5,0,
"S01013859",5,44,105,32,16,2,6,2,2,0,6,35,34,10,1,
"S01013860",6,60,149,58,20,13,19,3,0,0,6,52,49,15,3,
"S01013861",4,39,116,34,28,1,2,0,0,0,1,11,15,3,4,
"S01013862",20,139,165,36,16,2,0,0,0,0,10,22,9,0,0,
"S01013863",15,74,26,8,2,54,27,8,0,0,7,9,2,0,0,
"S01013864",3,71,140,24,7,0,4,2,0,0,0,7,0,2,0,
"S01013865",10,129,90,17,2,32,25,7,0,0,4,19,9,1,0,
"S01013866",29,95,76,13,8,20,31,7,0,0,2,18,6,0,1,
"S01013867",10,71,117,17,3,20,62,13,3,0,4,7,5,1,0,
"S01013868",41,164,110,42,9,14,9,2,0,0,14,44,24,3,1,
"S01013869",8,83,82,22,9,1,0,0,0,0,0,5,6,1,0,
"S01013870",21,101,103,26,9,6,8,3,0,0,4,21,7,0,0,
"S01013871",19,109,157,41,23,42,36,12,6,2,6,11,8,1,0,
"S01013872",12,68,88,33,11,3,8,2,0,0,2,19,9,3,1,
"S01013873",10,72,100,39,18,11,24,8,1,2,3,11,10,1,0,
"S01013874",3,43,86,31,5,2,8,1,1,0,1,20,17,4,6,
"S01013875",37,141,131,41,15,2,3,1,1,0,3,39,47,9,5,
"S01013876",6,61,98,34,20,7,13,8,1,1,11,46,36,12,0,
"S01013877",17,73,78,19,9,21,48,10,3,0,8,34,22,2,1,
"S01013878",12,96,153,50,22,6,24,7,0,0,3,27,11,2,4,
"S01013879",7,90,198,58,28,0,3,0,0,0,3,31,26,6,1,
"S01013880",13,84,71,27,17,9,26,6,3,0,6,38,17,8,3,
"S01013881",7,57,79,33,10,0,6,1,0,0,0,36,23,13,3,
"S01013882",1,49,128,44,21,2,10,3,0,0,0,17,7,0,2,
"S01013883",2,61,92,31,18,0,1,0,1,0,2,13,11,3,2,
"S01013884",24,87,70,15,4,52,60,9,0,1,6,12,4,2,1,
"S01013885",10,100,78,21,7,4,8,0,0,0,3,9,5,2,1,
"S01013886",13,110,93,17,12,17,26,7,0,0,1,15,14,0,1,
"S01013887",6,89,169,52,20,8,18,9,1,0,8,30,19,5,1,
"S01013888",14,104,97,25,7,26,23,13,0,0,5,19,10,2,1,
"S01013889",0,46,97,26,10,2,1,3,0,0,4,10,10,1,2,
"S01013890",6,83,112,45,23,4,11,4,0,0,4,9,7,4,2,
"S01013891",12,104,61,6,8,46,76,17,4,0,3,6,0,0,0,
"S01013892",15,96,113,23,10,32,39,5,2,0,2,11,1,4,1,
"S01013893",26,128,166,38,11,10,34,11,1,0,5,10,1,0,0,
"S01013894",5,94,76,16,4,45,63,11,6,2,0,11,1,0,0,
"S01013895",9,66,58,15,6,18,31,14,6,0,4,0,2,0,1,
"S01013896",34,141,112,14,12,59,57,5,0,0,10,22,7,3,0,
"S01013897",18,108,52,3,4,23,30,9,2,0,14,31,11,1,0,
"S01013898",30,140,82,20,4,28,28,6,1,0,11,23,9,1,0,
"S01013899",23,119,85,20,5,8,9,2,1,0,3,20,4,0,0,
"S01013900",30,131,88,27,7,15,18,10,4,0,14,14,7,1,0,
"S01013901",17,85,92,20,7,5,3,0,1,0,2,6,7,0,0,
"S01013902",15,99,73,18,3,0,2,1,0,0,1,8,1,0,0,
"S01013903",11,82,50,10,3,60,31,9,1,0,8,9,5,0,0,
"S01013904",11,63,58,14,8,66,46,11,2,0,6,12,2,1,0,
"S01013905",24,92,64,12,5,63,72,20,2,0,6,28,10,0,0,
"S01013906",51,122,97,21,1,22,20,7,6,1,11,31,13,5,0,
"S01013907",20,101,60,18,6,42,21,11,1,0,16,18,5,0,0,
"S01013908",29,98,45,15,4,123,83,6,0,0,11,18,5,0,0,
"S01013909",40,120,60,9,5,32,28,2,0,2,48,56,12,3,0,
"S01013910",43,137,54,10,3,46,46,1,0,0,28,50,12,2,0,
"S01013911",4,50,86,28,19,3,4,2,0,0,0,9,10,4,0,
"S01013912",4,116,171,38,10,0,2,1,0,0,0,12,7,1,0,
"S01013913",8,104,198,10,6,20,44,8,2,0,0,10,5,0,0,
"S01013914",2,62,90,12,2,12,37,9,0,0,2,2,1,0,0,
"S01013915",5,63,118,21,6,14,20,4,0,0,3,8,3,1,0,
"S01013916",1,64,99,10,2,5,12,7,0,0,1,5,9,1,0,
"S01013917",2,65,125,8,4,11,19,6,0,0,0,9,4,1,0,
"S01013918",5,62,92,44,15,2,8,0,0,0,2,15,8,5,0,
"S01013919",7,50,96,31,22,1,3,0,0,0,4,14,10,0,0,
"S01013920",10,72,138,47,26,6,10,2,1,0,3,7,13,3,1,
"S01013921",3,71,136,51,21,3,10,0,2,0,3,15,3,1,1,
"S01013922",10,83,120,41,16,11,28,8,0,1,1,15,7,1,2,
"S01013923",0,69,174,24,12,5,8,10,4,0,5,6,10,0,1,
"S01013924",7,64,66,16,4,7,5,4,0,0,2,2,2,0,1,
"S01013925",7,90,54,14,4,9,4,3,0,0,1,6,4,0,1,
"S01013926",3,71,144,32,6,1,0,2,0,0,0,5,4,2,2,
"S01013927",5,53,116,27,18,2,2,0,0,0,1,10,13,3,4,
"S01013928",21,169,120,24,8,54,49,4,0,0,9,22,9,1,0,
"S01013929",6,65,136,49,22,7,4,2,0,0,0,29,19,2,1,
"S01013930",8,72,56,16,9,17,6,0,0,0,1,3,6,4,1,
"S01013931",6,57,114,37,17,3,11,3,1,0,0,9,3,0,0,
"S01013932",4,29,82,16,2,6,10,3,4,0,3,9,12,1,2,
"S01013933",1,31,100,16,5,1,4,2,1,0,3,9,5,3,2,
"S01013934",10,79,106,27,6,7,18,9,2,0,2,13,6,1,0,
"S01013935",7,22,43,17,6,0,0,0,0,0,4,27,27,4,4,
"S01013936",2,59,160,38,19,0,0,0,0,0,0,2,6,2,2,
"S01013937",19,117,162,33,9,1,0,1,0,0,4,10,7,0,0,
"S01013938",6,32,70,40,12,0,3,1,2,0,4,42,36,9,0,
"S01013939",4,42,146,32,15,3,13,1,4,0,2,8,3,0,0,
"S01013940",10,101,75,15,8,1,0,1,0,0,3,7,0,0,0,
"S01013941",5,78,116,13,6,14,50,19,4,1,4,25,12,2,0,
"S01013942",25,124,104,23,5,4,1,1,0,0,7,13,6,0,0,
"S01013943",18,118,80,16,6,7,5,3,0,0,5,11,7,0,0,
"S01013944",23,151,97,19,5,0,6,0,0,0,5,22,12,0,0,
"S01013945",9,88,51,9,0,30,22,3,0,0,3,12,5,0,0,
"S01013946",5,94,109,13,7,0,1,0,0,0,2,3,2,4,0,
"S01013947",31,143,123,32,10,4,3,1,0,0,8,25,7,2,2,
"S01013948",19,95,68,21,8,4,8,2,0,2,8,4,7,0,0,
"S01013949",16,130,153,24,13,5,9,0,2,0,6,11,8,0,0,
"S01013950",5,39,113,27,11,1,2,1,0,0,0,5,6,2,0,
"S01013951",10,81,107,16,10,10,14,6,0,0,4,17,6,2,0,
"S01013952",7,108,97,12,3,10,21,13,1,0,2,25,12,4,1,
"S01013953",9,75,80,16,2,1,1,0,0,0,6,10,3,0,0,
"S01013954",7,66,117,51,23,2,4,0,0,0,1,13,15,2,4,
"S01013955",11,90,159,33,17,10,22,10,4,2,2,10,13,3,0,
"S01013956",21,140,143,41,10,4,8,5,0,0,2,15,4,0,0,
"S01013957",8,84,204,55,19,0,4,1,0,0,1,4,8,1,2,
"S01013958",8,84,142,30,8,6,20,11,3,1,4,13,13,2,0,
"S01013959",20,77,81,20,2,29,40,7,0,0,1,11,3,0,0,
"S01013960",5,53,73,31,15,2,2,1,0,0,0,16,12,1,2,
"S01013961",6,80,136,43,11,0,3,0,0,0,1,12,5,4,1,
"S01013962",13,132,151,34,21,8,10,4,1,0,1,8,4,0,0,
"S01013963",1,45,65,12,8,5,7,4,1,1,1,4,10,2,0,
"S01013964",5,76,73,6,2,27,47,6,1,0,2,9,8,0,0,
"S01013965",17,113,160,26,13,1,31,4,3,1,4,9,7,0,2,
"S01013966",8,82,100,30,15,1,2,0,0,0,2,11,7,1,1,
"S01013967",41,150,81,23,5,4,3,1,0,0,10,19,7,0,0,
"S01013968",18,123,116,17,3,5,10,3,0,0,8,26,9,0,0,
"S01013969",17,91,55,12,4,67,52,10,1,0,11,24,12,1,1,
"S01013970",4,58,160,39,8,6,18,13,4,0,1,7,6,0,0,
"S01013971",7,97,153,41,7,0,0,0,0,0,2,10,3,2,0,
"S01013972",38,184,110,24,9,3,2,2,1,0,9,27,9,3,0,
"S01013973",16,117,88,24,5,0,5,0,0,0,6,14,6,3,0,
"S01013974",24,141,92,18,4,3,1,0,0,0,12,38,11,2,1,
"S01013975",18,70,69,18,7,10,7,0,0,0,7,13,2,0,0,
"S01013976",10,61,66,18,5,46,25,4,2,0,1,7,2,1,0,
"S01013977",15,93,98,24,2,4,1,3,0,0,3,8,4,2,0,
"S01013978",6,64,54,8,4,14,14,6,0,0,4,12,3,0,0,
"S01013979",37,158,105,20,5,35,11,0,0,0,6,12,17,0,0,
"S01013980",5,90,110,26,6,6,12,0,0,0,0,4,6,2,1,
"S01013981",10,65,44,9,3,49,43,10,0,0,1,18,6,2,0,
"S01013982",1,78,134,44,18,4,8,5,0,0,1,11,9,2,4,
"S01013983",6,94,153,23,5,12,17,6,0,0,1,11,5,0,0,
"S01013984",13,123,126,40,8,3,12,6,1,2,2,20,3,2,0,
"S01013985",9,123,142,71,41,1,7,2,0,0,5,17,11,6,0,
"S01013986",2,34,78,28,23,0,3,0,0,0,1,12,8,0,2,
"S01013987",2,64,100,44,15,0,5,2,0,0,5,32,25,7,1,
"S01013988",12,95,142,44,19,12,34,6,1,0,9,39,21,3,3,
"S01013989",19,144,143,31,17,27,30,9,1,0,6,13,13,0,1,
"S01013990",7,73,141,45,16,1,1,0,0,0,3,32,21,3,4,
"S01013991",18,66,117,45,14,7,25,3,0,0,4,10,20,2,3,
"S01013992",12,87,133,24,13,14,30,11,5,0,1,5,5,1,1,
"S01013993",15,74,79,28,8,3,8,5,1,0,3,9,6,0,0,
"S01013994",5,57,102,28,18,5,6,0,0,0,5,19,17,8,1,
"S01013995",8,76,98,22,7,18,32,7,1,1,4,12,9,0,0,
"S01013996",14,55,66,12,10,22,43,8,0,1,1,6,2,1,0,
"S01013997",11,63,91,19,2,12,19,7,0,2,0,7,4,0,0,
"S01013998",4,34,120,24,12,1,2,0,0,0,0,9,9,0,1,
"S01013999",18,93,91,16,5,26,32,3,1,0,4,14,6,1,0,
"S01014000",3,48,79,35,15,0,0,0,0,0,2,17,18,3,3,
"S01014001",9,60,135,40,19,3,6,1,1,0,1,8,6,4,1,
"S01014002",1,36,86,34,14,0,3,3,0,0,1,9,10,2,2,
"S01014003",10,59,46,10,3,21,42,1,1,0,4,15,7,4,0,
"S01014004",3,57,94,36,21,2,2,1,0,0,3,18,12,7,4,
"S01014005",3,51,78,28,15,0,0,0,1,0,0,11,10,4,2,
"S01014006",6,51,101,19,16,3,2,3,0,0,1,17,10,3,2,
"S01014007",6,83,132,38,32,1,5,0,2,0,8,37,14,7,1,
"S01014008",11,64,140,54,15,22,25,17,5,1,0,13,4,1,0,
"S01014009",17,106,112,19,3,48,52,12,2,0,6,20,7,0,0,
"S01014010",2,83,101,43,22,0,4,0,0,0,2,12,14,2,3,
"S01014011",6,72,123,50,19,3,3,2,0,1,4,28,32,7,3,
"S01014012",35,168,109,27,14,27,34,13,4,0,7,16,14,1,0,
"S01014013",11,93,110,18,7,5,16,7,2,0,1,20,7,3,4,
"S01014014",8,54,70,23,15,20,22,2,0,1,0,16,15,2,1,
"S01014015",6,49,64,33,16,2,4,4,0,0,4,14,14,2,2,
"S01014016",7,82,125,31,17,5,10,2,1,0,2,22,14,9,2,
"S01014017",10,96,177,57,45,0,5,2,0,0,0,20,15,6,2,
"S01014018",21,97,111,42,12,10,34,12,0,0,2,27,21,4,3,
"S01014019",12,92,111,39,27,3,12,2,1,0,3,24,25,1,5,
"S01014020",28,130,71,23,7,65,64,23,2,0,16,22,10,1,0,
"S01014021",28,181,90,29,6,67,35,8,1,2,26,34,7,2,0,
"S01014022",42,124,81,14,8,42,27,4,0,0,18,24,7,0,0,
"S01014023",43,105,40,9,6,112,76,4,1,0,30,37,10,1,0,
"S01014024",31,76,30,5,1,68,69,17,2,1,8,7,4,0,0,
"S01014025",6,44,80,35,15,1,1,1,0,0,2,9,8,1,1,
"S01014026",7,106,174,50,30,1,2,2,0,0,2,22,21,9,1,
"S01014027",4,55,63,37,18,2,8,1,1,0,0,21,34,9,3,
"S01014028",4,50,75,36,16,1,2,4,1,0,1,9,18,5,3,
"S01014029",37,142,80,17,8,77,52,18,1,0,34,31,8,4,0,
"S01014030",21,140,92,23,18,19,19,7,0,0,10,22,9,2,0,
"S01014031",27,100,62,16,5,21,24,1,0,0,5,18,6,0,0,
"S01014032",43,109,57,17,5,59,22,3,1,0,23,21,12,2,1,
"S01014033",41,145,80,18,6,18,25,10,1,1,11,14,5,2,0,
"S01014034",15,61,41,20,7,13,37,8,0,1,2,11,1,0,0,
"S01014035",4,67,66,21,5,6,10,3,0,0,4,11,9,3,3,
"S01014036",13,110,148,46,27,8,20,7,0,2,4,20,25,4,0,
"S01014037",40,129,57,10,4,49,80,29,9,0,5,11,2,1,0,
"S01014038",44,161,105,22,10,54,21,4,0,2,3,18,4,0,1,
"S01014039",41,187,109,20,9,34,52,9,4,0,13,25,11,0,0,
"S01014040",10,129,145,30,14,4,21,4,1,0,7,30,22,6,3,
"S01014041",8,74,106,45,27,6,4,2,0,1,1,27,8,2,3,
"S01014042",18,108,80,32,10,22,45,19,9,0,5,14,12,0,0,
"S01014043",10,55,28,17,3,24,30,7,2,4,2,12,3,0,0,
"S01014044",47,151,64,18,5,111,56,10,0,0,36,50,7,2,1,
"S01014045",14,97,72,16,2,36,44,15,0,0,4,6,0,0,0,
"S01014046",31,98,58,19,1,45,32,12,0,0,4,15,2,0,0,
"S01014047",31,102,56,18,2,70,82,15,5,1,5,11,6,0,0,
"S01014048",34,131,88,27,13,45,27,6,1,0,11,14,6,2,0,
"S01014049",27,135,82,17,14,68,54,17,4,1,4,9,7,0,0,
"S01014050",31,99,52,22,3,33,27,12,1,1,5,20,2,4,1,
"S01014051",17,126,104,24,10,72,51,15,3,1,6,9,0,0,0,
"S01014052",26,89,46,12,9,34,40,9,2,1,7,13,0,2,0,
"S01014053",19,100,70,27,10,42,26,12,0,1,7,18,5,0,0,
"S01014054",8,79,94,37,19,8,32,16,2,0,4,14,14,5,0,
"S01014055",13,88,141,38,27,2,8,6,0,0,5,29,23,10,4,
"S01014056",9,128,90,20,7,14,11,5,0,0,10,21,6,0,0,
"S01014057",14,104,110,42,22,0,5,0,0,0,2,14,7,0,1,
"S01014058",8,92,84,25,13,6,10,0,2,0,3,11,5,2,0,
"S01014059",8,53,71,25,14,0,2,1,0,0,0,13,7,3,0,
"S01014060",9,93,121,45,17,3,13,7,0,1,3,10,13,4,5,
"S01014061",31,138,107,30,6,52,64,21,3,1,7,25,9,1,4,
"S01014062",22,93,88,16,7,18,25,6,0,0,6,18,18,1,0,
"S01014063",15,114,113,42,11,21,29,8,1,0,0,18,5,5,0,
"S01014064",8,83,109,33,13,7,15,2,0,0,3,9,1,1,0,
"S01014065",2,43,63,22,15,2,3,0,0,0,1,7,4,5,1,
"S01014066",24,131,99,33,13,43,46,19,2,2,7,39,7,0,0,
"S01014067",6,51,96,25,28,0,0,2,0,0,2,10,12,2,0,
"S01014068",7,67,107,29,22,1,6,1,0,0,3,11,16,0,2,
"S01014069",25,109,107,16,12,14,11,4,0,0,3,7,3,1,0,
"S01014070",30,114,116,18,10,52,30,4,0,0,3,17,4,1,0,
"S01014071",35,128,132,29,19,46,42,22,2,1,6,14,7,0,0,
"S01014072",16,57,38,8,0,18,42,10,1,0,0,6,5,0,0,
"S01014073",11,68,141,61,35,4,0,0,0,0,3,15,21,6,3,
"S01014074",3,59,117,51,20,1,4,0,0,0,1,9,14,0,0,
"S01014075",12,115,132,27,16,20,15,4,2,0,5,12,5,3,0,
"S01014076",6,62,99,19,18,11,13,5,2,0,0,5,10,0,0,
"S01014077",11,98,144,55,23,3,6,3,1,0,4,20,18,4,0,
"S01014078",28,174,109,24,9,16,13,3,2,0,6,13,6,1,0,
"S01014079",14,93,105,20,10,39,38,15,4,0,4,12,6,0,0,
"S01014080",19,106,88,22,9,29,28,9,1,0,7,28,5,2,0,
"S01014081",10,81,42,11,2,31,33,6,1,0,4,25,0,0,0,
"S01014082",16,112,114,34,14,23,35,15,1,0,0,20,4,3,2,
"S01014083",11,82,68,23,7,6,2,2,0,0,3,4,3,0,0,
"S01014084",29,165,132,31,8,5,9,3,0,0,4,7,7,0,0,
"S01014085",32,87,32,7,0,36,34,15,2,1,10,18,2,1,0,
"S01014086",33,112,40,12,2,45,51,11,0,1,9,16,6,1,0,
"S01014087",23,111,61,3,5,15,33,8,2,0,4,15,8,1,0,
"S01014088",35,135,69,18,2,33,32,11,0,0,7,9,0,0,0,
"S01014089",32,99,65,19,0,65,42,5,0,0,7,18,4,2,1,
"S01014090",36,123,73,21,4,99,64,10,0,1,27,26,6,0,0,
"S01014091",37,119,55,14,0,62,40,11,2,0,17,20,5,0,0,
"S01014092",43,85,36,5,0,41,46,14,0,2,9,22,4,0,0,
"S01014093",28,91,49,11,0,37,35,6,0,0,13,18,2,1,1,
"S01014094",56,96,49,10,6,147,89,18,3,0,29,16,1,0,0,
"S01014095",27,110,47,8,1,35,15,2,0,0,10,12,2,0,0,
"S01014096",53,94,53,14,3,100,34,7,0,0,63,51,3,0,0,
"S01014097",32,52,19,3,0,223,129,22,8,0,62,53,6,1,0,
"S01014098",52,92,44,10,0,144,55,9,1,0,66,36,3,0,0,
"S01014099",31,46,17,3,0,88,32,7,1,2,16,27,3,0,0,
"S01014100",8,102,66,18,10,1,2,2,0,0,0,12,1,2,0,
"S01014101",20,108,54,18,0,7,3,2,0,0,16,13,4,1,0,
"S01014102",6,74,66,23,4,41,60,25,2,3,3,6,3,0,0,
"S01014103",18,96,41,12,0,52,55,7,1,0,5,12,6,1,0,
"S01014104",36,168,122,20,4,13,12,2,0,0,13,20,4,4,1,
"S01014105",34,140,108,34,3,4,11,0,2,0,4,6,9,0,1,
"S01014106",10,87,148,53,17,14,15,3,0,0,3,10,3,3,1,
"S01014107",2,90,140,15,1,0,0,0,0,0,0,3,4,0,0,
"S01014108",6,89,114,24,7,1,0,0,1,0,0,7,0,0,0,
"S01014109",8,83,80,9,1,15,58,10,1,0,5,18,6,1,0,
"S01014110",12,74,125,46,12,4,0,1,0,0,4,16,10,1,1,
"S01014111",5,54,115,28,9,1,1,0,0,0,3,4,1,0,0,
"S01014112",4,69,82,33,13,2,2,1,2,0,2,10,8,2,0,
"S01014113",9,103,128,43,23,12,15,5,0,0,2,11,4,1,0,
"S01014114",6,83,85,46,22,5,21,4,0,1,0,13,13,2,0,
"S01014115",8,72,64,13,8,51,72,24,4,0,2,12,10,0,0,
"S01014116",6,78,88,42,23,11,5,2,3,0,4,27,12,0,0,
"S01014117",8,63,78,31,16,1,6,1,1,0,2,18,11,3,1,
"S01014118",5,56,87,28,7,0,1,0,0,0,0,1,5,0,0,
"S01014119",23,95,81,15,2,52,72,16,4,2,4,7,5,1,0,
"S01014120",18,83,89,23,7,38,42,9,1,0,4,17,6,1,0,
"S01014121",17,70,59,14,5,22,11,2,0,0,5,13,3,0,0,
"S01014122",20,101,112,33,11,24,29,10,3,0,1,11,4,2,2,
"S01014123",13,67,97,29,23,5,2,0,0,0,1,8,5,0,0,
"S01014124",20,75,67,14,3,15,17,2,1,0,10,13,8,0,0,
"S01014125",28,106,81,22,6,14,29,6,1,0,3,8,3,0,0,
"S01014126",10,90,115,42,16,1,4,0,0,0,2,15,7,3,1,
"S01014127",13,105,70,11,7,4,0,0,0,0,10,9,3,0,0,
"S01014128",37,91,46,20,6,9,4,5,0,0,6,18,4,0,0,
"S01014129",38,158,86,30,6,13,16,10,0,0,5,17,5,0,0,
"S01014130",18,98,60,32,2,19,6,5,0,0,7,9,0,0,0,
"S01014131",10,110,131,39,16,1,0,0,2,0,1,8,0,1,0,
"S01014132",14,95,113,20,8,0,5,0,0,0,1,8,0,0,0,
"S01014133",9,69,30,8,2,44,69,10,6,1,16,15,4,0,0,
"S01014134",19,86,42,5,4,64,62,11,4,0,6,17,2,0,0,
"S01014135",30,101,55,9,2,98,97,27,2,0,34,35,8,1,0,
"S01014136",29,55,21,5,4,114,32,4,0,0,33,23,3,0,0,
"S01014137",26,89,45,9,2,53,24,6,1,0,14,18,2,0,0,
"S01014138",30,115,43,13,4,43,36,14,0,0,13,26,4,2,0,
"S01014139",36,135,67,14,5,28,40,10,5,0,12,27,5,0,0,
"S01014140",67,119,37,11,3,47,52,17,3,1,14,19,6,0,0,
"S01014141",33,56,25,7,0,141,103,21,2,1,23,19,0,2,0,
"S01014142",41,74,27,4,0,166,78,13,5,2,66,40,4,1,1,
"S01014143",33,87,34,4,5,99,91,14,1,0,12,22,5,1,0,
"S01014144",10,97,169,47,15,1,2,0,0,0,7,7,13,4,4,
"S01014145",30,116,70,17,7,8,9,2,0,0,5,16,1,0,1,
"S01014146",15,127,109,30,7,18,21,0,0,0,6,17,3,0,0,
"S01014147",27,131,90,19,9,1,2,0,0,0,3,9,5,1,0,
"S01014148",8,78,88,24,17,2,5,1,0,0,6,20,8,6,0,
"S01014149",11,74,100,24,16,8,17,8,3,0,7,18,6,1,0,
"S01014150",1,51,83,37,16,2,0,2,1,0,1,8,4,0,0,
"S01014151",6,43,93,43,9,0,0,0,0,0,0,10,10,3,0,
"S01014152",4,51,138,31,12,0,1,0,0,0,2,0,6,0,0,
"S01014153",5,69,97,33,19,2,4,0,0,0,2,11,10,0,1,
"S01014154",17,93,101,28,13,12,12,0,0,0,3,10,4,2,0,
"S01014155",1,36,79,38,11,4,13,5,1,0,2,16,12,3,1,
"S01014156",6,70,101,21,11,1,2,2,0,0,2,12,9,2,0,
"S01014157",10,54,107,26,19,0,4,3,1,0,1,7,14,3,0,
"S01014158",3,45,71,16,1,6,29,7,3,0,2,5,11,2,0,
"S01014159",0,91,182,39,8,0,10,6,0,0,0,5,0,1,0,
"S01014160",7,62,91,25,9,0,1,0,0,0,1,10,5,0,0,
"S01014161",33,219,95,23,16,7,4,0,0,0,5,36,21,3,0,
"S01014162",50,189,111,27,8,17,23,2,4,0,8,27,0,0,0,
"S01014163",33,124,83,16,6,13,17,0,0,0,4,19,1,1,0,
"S01014164",28,137,80,19,3,4,8,4,0,0,5,15,7,4,0,
"S01014165",15,88,73,10,13,0,0,0,0,0,0,6,0,0,0,
"S01014166",23,110,68,12,3,0,1,2,0,0,1,14,3,2,0,
"S01014167",46,173,90,15,9,7,10,0,0,0,10,13,2,0,0,
"S01014168",29,130,70,25,7,1,2,0,0,0,2,5,4,1,0,
"S01014169",7,51,96,18,4,12,16,1,1,0,1,5,3,0,0,
"S01014170",26,89,56,14,9,6,9,0,0,0,4,11,3,1,0,
"S01014171",29,121,80,22,5,16,18,2,0,0,2,10,4,0,0,
"S01014172",89,148,41,9,9,49,36,2,0,0,29,41,6,1,0,
"S01014173",30,123,62,9,7,23,19,1,0,0,11,19,2,2,0,
"S01014174",35,103,76,22,5,11,17,3,2,0,6,27,15,2,0,
