SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013743",88,0,0,0,0,0,215,0,0,0,0,0,110,20,6,88,215,110,20,6,
"S01013744",55,0,0,0,0,0,199,0,0,0,0,0,104,30,8,55,199,104,30,8,
"S01013745",30,0,0,0,0,0,123,0,0,0,0,0,103,35,7,30,123,103,35,7,
"S01013746",9,0,0,0,0,0,143,0,0,0,0,0,95,18,11,9,143,95,18,11,
"S01013747",27,0,0,0,0,0,195,0,0,0,0,0,104,15,0,27,195,104,15,0,
"S01013748",37,0,0,0,0,0,164,0,0,0,0,0,88,19,3,37,164,88,19,3,
"S01013749",22,0,0,0,0,0,128,0,0,0,0,0,73,15,4,22,128,73,15,4,
"S01013750",34,0,0,0,0,0,140,0,0,0,0,0,64,11,2,34,140,64,11,2,
"S01013751",32,0,0,0,0,0,179,0,0,0,0,0,100,19,1,32,179,100,19,1,
"S01013752",14,0,0,0,0,0,128,0,0,0,0,0,156,14,3,14,128,156,14,3,
"S01013753",106,0,0,0,0,0,195,0,0,0,0,0,108,9,5,106,195,108,9,5,
"S01013754",16,0,0,0,0,0,176,0,0,0,0,0,120,22,6,16,176,120,22,6,
"S01013755",41,0,0,0,0,0,190,0,0,0,0,0,104,17,1,41,190,104,17,1,
"S01013756",33,0,0,0,0,0,156,0,0,0,0,0,75,7,3,33,156,75,7,3,
"S01013757",21,0,0,0,0,0,89,0,0,0,0,0,96,22,6,21,89,96,22,6,
"S01013758",38,0,0,0,0,0,151,0,0,0,0,0,71,11,6,38,151,71,11,6,
"S01013759",3,0,0,0,0,0,69,0,0,0,0,0,108,27,0,3,69,108,27,0,
"S01013760",57,0,0,0,0,0,204,0,0,0,0,0,105,18,7,57,204,105,18,7,
"S01013761",27,0,0,0,0,0,139,0,0,0,0,0,97,9,2,27,139,97,9,2,
"S01013762",7,0,0,0,0,0,66,0,0,0,0,0,64,8,5,7,66,64,8,5,
"S01013763",38,0,0,0,0,0,172,0,0,0,0,0,104,18,12,38,172,104,18,12,
"S01013764",32,0,0,0,0,0,178,0,0,0,0,0,126,24,5,32,178,126,24,5,
"S01013765",13,0,0,0,0,0,99,0,0,0,0,0,90,15,4,13,99,90,15,4,
"S01013766",91,0,0,0,0,0,252,0,0,0,0,0,104,14,5,91,252,104,14,5,
"S01013767",112,0,0,0,0,0,133,0,0,0,0,0,44,6,1,112,133,44,6,1,
"S01013768",24,0,0,0,0,0,142,0,0,0,0,0,75,17,5,24,142,75,17,5,
"S01013769",55,0,0,0,0,0,154,0,0,0,0,0,66,8,3,55,154,66,8,3,
"S01013770",71,0,0,0,0,0,129,0,0,0,0,0,54,5,2,71,129,54,5,2,
"S01013771",53,0,0,0,0,0,109,0,0,0,0,0,50,11,6,53,109,50,11,6,
"S01013772",45,0,0,0,0,0,130,0,0,0,0,0,80,11,6,45,130,80,11,6,
"S01013773",56,0,0,0,0,0,204,0,0,0,0,0,106,17,9,56,204,106,17,9,
"S01013774",61,0,0,0,0,0,128,0,0,0,0,0,55,7,3,61,128,55,7,3,
"S01013775",36,0,0,0,0,0,162,0,0,0,0,0,65,14,0,36,162,65,14,0,
"S01013776",12,0,0,0,0,0,96,0,0,0,0,0,81,23,5,12,96,81,23,5,
"S01013777",31,0,0,0,0,0,138,0,0,0,0,0,122,28,11,31,138,122,28,11,
"S01013778",45,0,0,0,0,0,119,0,0,0,0,0,92,15,7,45,119,92,15,7,
"S01013779",51,0,0,0,0,0,128,0,0,0,0,0,101,28,4,51,128,101,28,4,
"S01013780",18,0,0,0,0,0,123,0,0,0,0,0,116,17,14,18,123,116,17,14,
"S01013781",10,0,0,0,0,0,119,0,0,0,0,0,141,11,1,10,119,141,11,1,
"S01013782",39,0,0,0,0,0,141,0,0,0,0,0,70,28,11,39,141,70,28,11,
"S01013783",101,0,0,0,0,0,235,0,0,0,0,0,96,21,11,101,235,96,21,11,
"S01013784",19,0,0,0,0,0,101,0,0,0,0,0,114,41,12,19,101,114,41,12,
"S01013785",14,0,0,0,0,0,139,0,0,0,0,0,109,32,18,14,139,109,32,18,
"S01013786",59,0,0,0,0,0,124,0,0,0,0,0,78,18,10,59,124,78,18,10,
"S01013787",48,0,0,0,0,0,136,0,0,0,0,0,74,22,4,48,136,74,22,4,
"S01013788",36,0,0,0,0,0,137,0,0,0,0,0,126,25,11,36,137,126,25,11,
"S01013789",17,0,0,0,0,0,101,0,0,0,0,0,132,21,12,17,101,132,21,12,
"S01013790",4,0,0,0,0,0,97,0,0,0,0,0,119,46,19,4,97,119,46,19,
"S01013791",3,0,0,0,0,0,73,0,0,0,0,0,120,44,20,3,73,120,44,20,
"S01013792",75,0,0,0,0,0,188,0,0,0,0,0,111,36,15,75,188,111,36,15,
"S01013793",6,0,0,0,0,0,88,0,0,0,0,0,168,53,28,6,88,168,53,28,
"S01013794",14,0,0,0,0,0,130,0,0,0,0,0,86,16,3,14,130,86,16,3,
"S01013795",14,0,0,0,0,0,107,0,0,0,0,0,102,10,0,14,107,102,10,0,
"S01013796",67,0,0,0,0,0,137,0,0,0,0,0,89,14,8,67,137,89,14,8,
"S01013797",17,0,0,0,0,0,95,0,0,0,0,0,101,15,5,17,95,101,15,5,
"S01013798",48,0,0,0,0,0,163,0,0,0,0,0,148,41,16,48,163,148,41,16,
"S01013799",42,0,0,0,0,0,119,0,0,0,0,0,120,36,13,42,119,120,36,13,
"S01013800",7,0,0,0,0,0,56,0,0,0,0,0,74,24,14,7,56,74,24,14,
"S01013801",25,0,0,0,0,0,163,0,0,0,0,0,200,49,31,25,163,200,49,31,
"S01013802",4,0,0,0,0,0,107,0,0,0,0,0,120,30,12,4,107,120,30,12,
"S01013803",40,0,0,0,0,0,163,0,0,0,0,0,94,18,2,40,163,94,18,2,
"S01013804",11,0,0,0,0,0,73,0,0,0,0,0,98,20,15,11,73,98,20,15,
"S01013805",47,0,0,0,0,0,174,0,0,0,0,0,127,35,21,47,174,127,35,21,
"S01013806",7,0,0,0,0,0,98,0,0,0,0,0,153,62,28,7,98,153,62,28,
"S01013807",26,0,0,0,0,0,74,0,0,0,0,0,92,24,12,26,74,92,24,12,
"S01013808",17,0,0,0,0,0,112,0,0,0,0,0,156,49,18,17,112,156,49,18,
"S01013809",53,0,0,0,0,0,148,0,0,0,0,0,125,30,13,53,148,125,30,13,
"S01013810",27,0,0,0,0,0,129,0,0,0,0,0,157,38,17,27,129,157,38,17,
"S01013811",76,0,0,0,0,0,134,0,0,0,0,0,69,22,4,76,134,69,22,4,
"S01013812",55,0,0,0,0,0,149,0,0,0,0,0,113,25,6,55,149,113,25,6,
"S01013813",11,0,0,0,0,0,80,0,0,0,0,0,82,33,11,11,80,82,33,11,
"S01013814",8,0,0,0,0,0,109,0,0,0,0,0,141,49,18,8,109,141,49,18,
"S01013815",13,0,0,0,0,0,83,0,0,0,0,0,151,61,33,13,83,151,61,33,
"S01013816",14,0,0,0,0,0,72,0,0,0,0,0,79,19,4,14,72,79,19,4,
"S01013817",10,0,0,0,0,0,54,0,0,0,0,0,108,33,17,10,54,108,33,17,
"S01013818",5,0,0,0,0,0,133,0,0,0,0,0,114,14,1,5,133,114,14,1,
"S01013819",10,0,0,0,0,0,84,0,0,0,0,0,121,17,6,10,84,121,17,6,
"S01013820",6,0,0,0,0,0,72,0,0,0,0,0,155,52,27,6,72,155,52,27,
"S01013821",31,0,0,0,0,0,146,0,0,0,0,0,106,22,4,31,146,106,22,4,
"S01013822",108,0,0,0,0,0,185,0,0,0,0,0,74,11,3,108,185,74,11,3,
"S01013823",57,0,0,0,0,0,202,0,0,0,0,0,152,29,3,57,202,152,29,3,
"S01013824",45,0,0,0,0,0,122,0,0,0,0,0,152,28,11,45,122,152,28,11,
"S01013825",117,0,0,0,0,0,192,0,0,0,0,0,74,21,4,117,192,74,21,4,
"S01013826",131,0,0,0,0,0,212,0,0,0,0,0,84,25,6,131,212,84,25,6,
"S01013827",3,0,0,0,0,0,49,0,0,0,0,0,75,12,4,3,49,75,12,4,
"S01013828",46,0,0,0,0,0,139,0,0,0,0,0,99,22,6,46,139,99,22,6,
"S01013829",22,0,0,0,0,0,113,0,0,0,0,0,71,9,3,22,113,71,9,3,
"S01013830",65,0,0,0,0,0,207,0,0,0,0,0,123,28,10,65,207,123,28,10,
"S01013831",19,0,0,0,0,0,74,0,0,0,0,0,76,16,6,19,74,76,16,6,
"S01013832",10,0,0,0,0,0,85,0,0,0,0,0,127,42,8,10,85,127,42,8,
"S01013833",178,0,0,0,0,0,225,0,0,0,0,0,73,9,2,178,225,73,9,2,
"S01013834",31,0,0,0,0,0,96,0,0,0,0,0,89,16,6,31,96,89,16,6,
"S01013835",30,0,0,0,0,0,105,0,0,0,0,0,69,20,4,30,105,69,20,4,
"S01013836",25,0,0,0,0,0,112,0,0,0,0,0,80,24,9,25,112,80,24,9,
"S01013837",55,0,0,0,0,0,192,0,0,0,0,0,121,22,5,55,192,121,22,5,
"S01013838",14,0,0,0,0,0,124,0,0,0,0,0,143,22,8,14,124,143,22,8,
"S01013839",9,0,0,0,0,0,77,0,0,0,0,0,117,28,10,9,77,117,28,10,
"S01013840",16,0,0,0,0,0,142,0,0,0,0,0,163,34,15,16,142,163,34,15,
"S01013841",26,0,0,0,0,0,135,0,0,0,0,0,108,27,4,26,135,108,27,4,
"S01013842",17,0,0,0,0,0,150,0,0,0,0,0,110,31,2,17,150,110,31,2,
"S01013843",49,0,0,0,0,0,152,0,0,0,0,0,93,28,1,49,152,93,28,1,
"S01013844",36,0,0,0,0,0,164,0,0,0,0,0,127,34,10,36,164,127,34,10,
"S01013845",35,0,0,0,0,0,115,0,0,0,0,0,69,18,5,35,115,69,18,5,
"S01013846",22,0,0,0,0,0,106,0,0,0,0,0,95,20,7,22,106,95,20,7,
"S01013847",16,0,0,0,0,0,103,0,0,0,0,0,107,19,4,16,103,107,19,4,
"S01013848",12,0,0,0,0,0,54,0,0,0,0,0,109,39,17,12,54,109,39,17,
"S01013849",13,0,0,0,0,0,60,0,0,0,0,0,81,17,4,13,60,81,17,4,
"S01013850",5,0,0,0,0,0,69,0,0,0,0,0,114,15,6,5,69,114,15,6,
"S01013851",13,0,0,0,0,0,74,0,0,0,0,0,106,15,6,13,74,106,15,6,
"S01013852",7,0,0,0,0,0,58,0,0,0,0,0,89,7,3,7,58,89,7,3,
"S01013853",42,0,0,0,0,0,190,0,0,0,0,0,116,17,2,42,190,116,17,2,
"S01013854",81,0,0,0,0,0,133,0,0,0,0,0,97,25,3,81,133,97,25,3,
"S01013855",10,0,0,0,0,0,88,0,0,0,0,0,102,24,5,10,88,102,24,5,
"S01013856",18,0,0,0,0,0,92,0,0,0,0,0,192,42,33,18,92,192,42,33,
"S01013857",36,0,0,0,0,0,179,0,0,0,0,0,176,31,15,36,179,176,31,15,
"S01013858",5,0,0,0,0,0,77,0,0,0,0,0,152,57,35,5,77,152,57,35,
"S01013859",16,0,0,0,0,0,85,0,0,0,0,0,140,44,19,16,85,140,44,19,
"S01013860",21,0,0,0,0,0,134,0,0,0,0,0,201,73,23,21,134,201,73,23,
"S01013861",6,0,0,0,0,0,53,0,0,0,0,0,133,36,26,6,53,133,36,26,
"S01013862",28,0,0,0,0,0,159,0,0,0,0,0,174,36,16,28,159,174,36,16,
"S01013863",76,0,0,0,0,0,110,0,0,0,0,0,35,8,2,76,110,35,8,2,
"S01013864",3,0,0,0,0,0,80,0,0,0,0,0,143,26,7,3,80,143,26,7,
"S01013865",46,0,0,0,0,0,173,0,0,0,0,0,106,15,2,46,173,106,15,2,
"S01013866",51,0,0,0,0,0,145,0,0,0,0,0,87,13,8,51,145,87,13,8,
"S01013867",37,0,0,0,0,0,139,0,0,0,0,0,135,21,4,37,139,135,21,4,
"S01013868",68,0,0,0,0,0,221,0,0,0,0,0,136,44,10,68,221,136,44,10,
"S01013869",10,0,0,0,0,0,88,0,0,0,0,0,88,23,9,10,88,88,23,9,
"S01013870",29,0,0,0,0,0,128,0,0,0,0,0,116,26,9,29,128,116,26,9,
"S01013871",62,0,0,0,0,0,159,0,0,0,0,0,176,47,20,62,159,176,47,20,
"S01013872",17,0,0,0,0,0,95,0,0,0,0,0,99,35,10,17,95,99,35,10,
"S01013873",19,0,0,0,0,0,107,0,0,0,0,0,114,43,20,19,107,114,43,20,
"S01013874",4,0,0,0,0,0,71,0,0,0,0,0,104,37,13,4,71,104,37,13,
"S01013875",48,0,0,0,0,0,183,0,0,0,0,0,179,50,21,48,183,179,50,21,
"S01013876",23,0,0,0,0,0,123,0,0,0,0,0,142,47,19,23,123,142,47,19,
"S01013877",43,0,0,0,0,0,151,0,0,0,0,0,107,24,12,43,151,107,24,12,
"S01013878",21,0,0,0,0,0,150,0,0,0,0,0,171,54,26,21,150,171,54,26,
"S01013879",9,0,0,0,0,0,131,0,0,0,0,0,225,64,31,9,131,225,64,31,
"S01013880",31,0,0,0,0,0,142,0,0,0,0,0,95,40,19,31,142,95,40,19,
"S01013881",7,0,0,0,0,0,101,0,0,0,0,0,103,46,14,7,101,103,46,14,
"S01013882",4,0,0,0,0,0,76,0,0,0,0,0,134,45,23,4,76,134,45,23,
"S01013883",4,0,0,0,0,0,78,0,0,0,0,0,103,35,20,4,78,103,35,20,
"S01013884",80,0,0,0,0,0,163,0,0,0,0,0,83,18,4,80,163,83,18,4,
"S01013885",16,0,0,0,0,0,119,0,0,0,0,0,88,23,8,16,119,88,23,8,
"S01013886",31,0,0,0,0,0,151,0,0,0,0,0,111,17,10,31,151,111,17,10,
"S01013887",23,0,0,0,0,0,134,0,0,0,0,0,197,58,21,23,134,197,58,21,
"S01013888",45,0,0,0,0,0,149,0,0,0,0,0,120,27,11,45,149,120,27,11,
"S01013889",6,0,0,0,0,0,57,0,0,0,0,0,110,27,11,6,57,110,27,11,
"S01013890",14,0,0,0,0,0,103,0,0,0,0,0,121,47,25,14,103,121,47,25,
"S01013891",61,0,0,0,0,0,186,0,0,0,0,0,80,10,8,61,186,80,10,8,
"S01013892",49,0,0,0,0,0,149,0,0,0,0,0,119,27,11,49,149,119,27,11,
"S01013893",42,0,0,0,0,0,176,0,0,0,0,0,174,42,11,42,176,174,42,11,
"S01013894",57,0,0,0,0,0,164,0,0,0,0,0,84,22,6,57,164,84,22,6,
"S01013895",29,0,0,0,0,0,98,0,0,0,0,0,73,21,7,29,98,73,21,7,
"S01013896",101,0,0,0,0,0,220,0,0,0,0,0,124,13,12,101,220,124,13,12,
"S01013897",55,0,0,0,0,0,169,0,0,0,0,0,72,6,4,55,169,72,6,4,
"S01013898",71,0,0,0,0,0,191,0,0,0,0,0,93,24,4,71,191,93,24,4,
"S01013899",34,0,0,0,0,0,148,0,0,0,0,0,90,21,5,34,148,90,21,5,
"S01013900",55,0,0,0,0,0,165,0,0,0,0,0,105,26,7,55,165,105,26,7,
"S01013901",22,0,0,0,0,0,98,0,0,0,0,0,96,21,7,22,98,96,21,7,
"S01013902",16,0,0,0,0,0,108,0,0,0,0,0,75,18,3,16,108,75,18,3,
"S01013903",80,0,0,0,0,0,122,0,0,0,0,0,64,11,3,80,122,64,11,3,
"S01013904",83,0,0,0,0,0,121,0,0,0,0,0,71,17,8,83,121,71,17,8,
"S01013905",95,0,0,0,0,0,188,0,0,0,0,0,94,13,5,95,188,94,13,5,
"S01013906",80,0,0,0,0,0,173,0,0,0,0,0,120,30,5,80,173,120,30,5,
"S01013907",78,0,0,0,0,0,140,0,0,0,0,0,74,18,6,78,140,74,18,6,
"S01013908",161,0,0,0,0,0,199,0,0,0,0,0,54,15,5,161,199,54,15,5,
"S01013909",117,0,0,0,0,0,204,0,0,0,0,0,74,12,7,117,204,74,12,7,
"S01013910",120,0,0,0,0,0,233,0,0,0,0,0,67,12,3,120,233,67,12,3,
"S01013911",6,0,0,0,0,0,62,0,0,0,0,0,98,32,19,6,62,98,32,19,
"S01013912",4,0,0,0,0,0,129,0,0,0,0,0,175,40,10,4,129,175,40,10,
"S01013913",26,0,0,0,0,0,154,0,0,0,0,0,214,14,8,26,154,214,14,8,
"S01013914",14,0,0,0,0,0,102,0,0,0,0,0,101,12,2,14,102,101,12,2,
"S01013915",23,0,0,0,0,0,89,0,0,0,0,0,124,18,6,23,89,124,18,6,
"S01013916",5,0,0,0,0,0,81,0,0,0,0,0,112,13,2,5,81,112,13,2,
"S01013917",12,0,0,0,0,0,92,0,0,0,0,0,135,9,4,12,92,135,9,4,
"S01013918",7,0,0,0,0,0,84,0,0,0,0,0,97,46,15,7,84,97,46,15,
"S01013919",8,0,0,0,0,0,61,0,0,0,0,0,102,31,22,8,61,102,31,22,
"S01013920",16,0,0,0,0,0,89,0,0,0,0,0,150,56,27,16,89,150,56,27,
"S01013921",8,0,0,0,0,0,96,0,0,0,0,0,136,53,22,8,96,136,53,22,
"S01013922",23,0,0,0,0,0,129,0,0,0,0,0,135,43,14,23,129,135,43,14,
"S01013923",8,0,0,0,0,0,83,0,0,0,0,0,193,26,14,8,83,193,26,14,
"S01013924",12,0,0,0,0,0,77,0,0,0,0,0,72,16,7,12,77,72,16,7,
"S01013925",17,0,0,0,0,0,103,0,0,0,0,0,61,14,5,17,103,61,14,5,
"S01013926",4,0,0,0,0,0,79,0,0,0,0,0,150,34,5,4,79,150,34,5,
"S01013927",8,0,0,0,0,0,64,0,0,0,0,0,129,30,20,8,64,129,30,20,
"S01013928",84,0,0,0,0,0,240,0,0,0,0,0,133,25,8,84,240,133,25,8,
"S01013929",12,0,0,0,0,0,98,0,0,0,0,0,161,51,23,12,98,161,51,23,
"S01013930",30,0,0,0,0,0,81,0,0,0,0,0,62,18,10,30,81,62,18,10,
"S01013931",9,0,0,0,0,0,77,0,0,0,0,0,120,38,17,9,77,120,38,17,
"S01013932",12,0,0,0,0,0,48,0,0,0,0,0,94,21,1,12,48,94,21,1,
"S01013933",6,0,0,0,0,0,44,0,0,0,0,0,112,20,5,6,44,112,20,5,
"S01013934",20,0,0,0,0,0,110,0,0,0,0,0,124,30,6,20,110,124,30,6,
"S01013935",11,0,0,0,0,0,49,0,0,0,0,0,69,22,10,11,49,69,22,10,
"S01013936",2,0,0,0,0,0,63,0,0,0,0,0,164,40,21,2,63,164,40,21,
"S01013937",21,0,0,0,0,0,128,0,0,0,0,0,170,33,9,21,128,170,33,9,
"S01013938",7,0,0,0,0,0,80,0,0,0,0,0,107,47,14,7,80,107,47,14,
"S01013939",9,0,0,0,0,0,62,0,0,0,0,0,150,36,15,9,62,150,36,15,
"S01013940",14,0,0,0,0,0,108,0,0,0,0,0,72,15,8,14,108,72,15,8,
"S01013941",24,0,0,0,0,0,153,0,0,0,0,0,148,18,6,24,153,148,18,6,
"S01013942",35,0,0,0,0,0,138,0,0,0,0,0,113,20,5,35,138,113,20,5,
"S01013943",31,0,0,0,0,0,134,0,0,0,0,0,88,16,6,31,134,88,16,6,
"S01013944",28,0,0,0,0,0,177,0,0,0,0,0,109,19,5,28,177,109,19,5,
"S01013945",41,0,0,0,0,0,122,0,0,0,0,0,55,9,0,41,122,55,9,0,
"S01013946",7,0,0,0,0,0,98,0,0,0,0,0,114,19,7,7,98,114,19,7,
"S01013947",43,0,0,0,0,0,171,0,0,0,0,0,132,35,12,43,171,132,35,12,
"S01013948",26,0,0,0,0,0,107,0,0,0,0,0,77,22,6,26,107,77,22,6,
"S01013949",23,0,0,0,0,0,150,0,0,0,0,0,163,26,13,23,150,163,26,13,
"S01013950",6,0,0,0,0,0,46,0,0,0,0,0,121,29,11,6,46,121,29,11,
"S01013951",22,0,0,0,0,0,112,0,0,0,0,0,119,23,10,22,112,119,23,10,
"S01013952",19,0,0,0,0,0,154,0,0,0,0,0,122,14,4,19,154,122,14,4,
"S01013953",14,0,0,0,0,0,86,0,0,0,0,0,83,16,2,14,86,83,16,2,
"S01013954",12,0,0,0,0,0,83,0,0,0,0,0,132,52,27,12,83,132,52,27,
"S01013955",23,0,0,0,0,0,122,0,0,0,0,0,182,38,13,23,122,182,38,13,
"S01013956",27,0,0,0,0,0,163,0,0,0,0,0,152,41,10,27,163,152,41,10,
"S01013957",11,0,0,0,0,0,94,0,0,0,0,0,214,56,21,11,94,214,56,21,
"S01013958",17,0,0,0,0,0,117,0,0,0,0,0,166,35,7,17,117,166,35,7,
"S01013959",50,0,0,0,0,0,128,0,0,0,0,0,90,20,2,50,128,90,20,2,
"S01013960",6,0,0,0,0,0,70,0,0,0,0,0,82,32,13,6,70,82,32,13,
"S01013961",7,0,0,0,0,0,95,0,0,0,0,0,141,45,12,7,95,141,45,12,
"S01013962",26,0,0,0,0,0,149,0,0,0,0,0,156,36,21,26,149,156,36,21,
"S01013963",7,0,0,0,0,0,53,0,0,0,0,0,77,12,10,7,53,77,12,10,
"S01013964",31,0,0,0,0,0,132,0,0,0,0,0,87,7,2,31,132,87,7,2,
"S01013965",21,0,0,0,0,0,154,0,0,0,0,0,174,29,16,21,154,174,29,16,
"S01013966",11,0,0,0,0,0,95,0,0,0,0,0,107,31,20,11,95,107,31,20,
"S01013967",58,0,0,0,0,0,172,0,0,0,0,0,87,23,5,58,172,87,23,5,
"S01013968",32,0,0,0,0,0,157,0,0,0,0,0,125,17,3,32,157,125,17,3,
"S01013969",94,0,0,0,0,0,165,0,0,0,0,0,77,16,5,94,165,77,16,5,
"S01013970",11,0,0,0,0,0,83,0,0,0,0,0,179,44,8,11,83,179,44,8,
"S01013971",10,0,0,0,0,0,105,0,0,0,0,0,156,38,7,10,105,156,38,7,
"S01013972",47,0,0,0,0,0,213,0,0,0,0,0,121,27,9,47,213,121,27,9,
"S01013973",20,0,0,0,0,0,139,0,0,0,0,0,96,27,5,20,139,96,27,5,
"S01013974",39,0,0,0,0,0,181,0,0,0,0,0,103,19,5,39,181,103,19,5,
"S01013975",32,0,0,0,0,0,90,0,0,0,0,0,71,18,7,32,90,71,18,7,
"S01013976",59,0,0,0,0,0,93,0,0,0,0,0,68,22,5,59,93,68,22,5,
"S01013977",25,0,0,0,0,0,103,0,0,0,0,0,105,26,2,25,103,105,26,2,
"S01013978",24,0,0,0,0,0,90,0,0,0,0,0,67,10,4,24,90,67,10,4,
"S01013979",78,0,0,0,0,0,181,0,0,0,0,0,118,20,5,78,181,118,20,5,
"S01013980",11,0,0,0,0,0,107,0,0,0,0,0,116,28,7,11,107,116,28,7,
"S01013981",60,0,0,0,0,0,126,0,0,0,0,0,60,11,3,60,126,60,11,3,
"S01013982",7,0,0,0,0,0,97,0,0,0,0,0,147,50,20,7,97,147,50,20,
"S01013983",20,0,0,0,0,0,122,0,0,0,0,0,164,23,5,20,122,164,23,5,
"S01013984",17,0,0,0,0,0,152,0,0,0,0,0,137,38,9,17,152,137,38,9,
"S01013985",16,0,0,0,0,0,147,0,0,0,0,0,156,76,41,16,147,156,76,41,
"S01013986",4,0,0,0,0,0,49,0,0,0,0,0,83,29,20,4,49,83,29,20,
"S01013987",9,0,0,0,0,0,101,0,0,0,0,0,131,50,16,9,101,131,50,16,
"S01013988",33,0,0,0,0,0,165,0,0,0,0,0,169,52,17,33,165,169,52,17,
"S01013989",52,0,0,0,0,0,192,0,0,0,0,0,165,33,18,52,192,165,33,18,
"S01013990",11,0,0,0,0,0,106,0,0,0,0,0,162,47,22,11,106,162,47,22,
"S01013991",27,0,0,0,0,0,101,0,0,0,0,0,140,47,16,27,101,140,47,16,
"S01013992",27,0,0,0,0,0,125,0,0,0,0,0,149,28,14,27,125,149,28,14,
"S01013993",21,0,0,0,0,0,91,0,0,0,0,0,90,29,8,21,91,90,29,8,
"S01013994",13,0,0,0,0,0,85,0,0,0,0,0,119,36,19,13,85,119,36,19,
"S01013995",30,0,0,0,0,0,124,0,0,0,0,0,114,24,9,30,124,114,24,9,
"S01013996",37,0,0,0,0,0,106,0,0,0,0,0,76,18,11,37,106,76,18,11,
"S01013997",23,0,0,0,0,0,89,0,0,0,0,0,107,22,4,23,89,107,22,4,
"S01013998",5,0,0,0,0,0,44,0,0,0,0,0,129,24,13,5,44,129,24,13,
"S01013999",48,0,0,0,0,0,139,0,0,0,0,0,99,18,5,48,139,99,18,5,
"S01014000",5,0,0,0,0,0,66,0,0,0,0,0,94,39,18,5,66,94,39,18,
"S01014001",14,0,0,0,0,0,74,0,0,0,0,0,144,45,20,14,74,144,45,20,
"S01014002",2,0,0,0,0,0,48,0,0,0,0,0,103,36,17,2,48,103,36,17,
"S01014003",35,0,0,0,0,0,116,0,0,0,0,0,55,13,3,35,116,55,13,3,
"S01014004",7,0,0,0,0,0,75,0,0,0,0,0,107,43,23,7,75,107,43,23,
"S01014005",3,0,0,0,0,0,65,0,0,0,0,0,90,35,17,3,65,90,35,17,
"S01014006",10,0,0,0,0,0,70,0,0,0,0,0,111,27,21,10,70,111,27,21,
"S01014007",14,0,0,0,0,0,121,0,0,0,0,0,147,46,33,14,121,147,46,33,
"S01014008",33,0,0,0,0,0,103,0,0,0,0,0,161,60,16,33,103,161,60,16,
"S01014009",70,0,0,0,0,0,179,0,0,0,0,0,131,21,3,70,179,131,21,3,
"S01014010",8,0,0,0,0,0,100,0,0,0,0,0,112,46,26,8,100,112,46,26,
"S01014011",13,0,0,0,0,0,106,0,0,0,0,0,157,56,23,13,106,157,56,23,
"S01014012",68,0,0,0,0,0,218,0,0,0,0,0,134,31,14,68,218,134,31,14,
"S01014013",15,0,0,0,0,0,126,0,0,0,0,0,124,24,11,15,126,124,24,11,
"S01014014",30,0,0,0,0,0,93,0,0,0,0,0,84,25,17,30,93,84,25,17,
"S01014015",10,0,0,0,0,0,66,0,0,0,0,0,82,38,18,10,66,82,38,18,
"S01014016",14,0,0,0,0,0,114,0,0,0,0,0,144,39,19,14,114,144,39,19,
"S01014017",11,0,0,0,0,0,121,0,0,0,0,0,196,63,47,11,121,196,63,47,
"S01014018",33,0,0,0,0,0,161,0,0,0,0,0,142,47,15,33,161,142,47,15,
"S01014019",20,0,0,0,0,0,128,0,0,0,0,0,135,41,32,20,128,135,41,32,
"S01014020",114,0,0,0,0,0,217,0,0,0,0,0,107,26,8,114,217,107,26,8,
"S01014021",121,0,0,0,0,0,250,0,0,0,0,0,102,32,8,121,250,102,32,8,
"S01014022",105,0,0,0,0,0,179,0,0,0,0,0,92,14,8,105,179,92,14,8,
"S01014023",185,0,0,0,0,0,215,0,0,0,0,0,54,11,6,185,215,54,11,6,
"S01014024",106,0,0,0,0,0,152,0,0,0,0,0,51,8,2,106,152,51,8,2,
"S01014025",9,0,0,0,0,0,54,0,0,0,0,0,87,37,18,9,54,87,37,18,
"S01014026",10,0,0,0,0,0,130,0,0,0,0,0,192,56,31,10,130,192,56,31,
"S01014027",7,0,0,0,0,0,84,0,0,0,0,0,103,47,16,7,84,103,47,16,
