SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01020036",80,138,91,22,5,336,
"S01020037",6,80,139,33,8,266,
"S01020038",9,60,86,30,10,195,
"S01020039",25,102,50,12,6,190,
"S01020040",19,95,127,44,35,321,
"S01020041",12,86,156,58,32,347,
"S01020042",4,26,108,20,2,156,
"S01020043",17,56,113,39,12,236,
"S01020044",32,156,144,32,23,385,
"S01020045",8,58,101,37,10,212,
"S01020046",114,173,77,13,4,381,
"S01020047",8,106,97,31,7,249,
"S01020048",66,105,69,22,1,265,
"S01020049",15,112,123,34,8,293,
"S01020050",122,146,54,11,2,335,
"S01020051",120,178,97,24,4,420,
"S01020052",125,157,45,19,9,354,
"S01020053",173,203,60,12,5,456,
"S01020054",33,172,126,19,14,366,
"S01020055",62,159,87,22,4,334,
"S01020056",33,116,94,31,5,279,
"S01020057",155,144,50,11,0,361,
"S01020058",23,115,145,15,6,304,
"S01020059",21,104,108,17,3,253,
"S01020060",17,76,86,22,5,206,
"S01020061",64,163,115,25,9,380,
"S01020062",302,265,77,13,0,659,
"S01020063",111,242,87,16,4,458,
"S01020064",149,282,94,16,3,547,
"S01020065",101,124,37,15,3,277,
"S01020066",63,131,66,21,0,283,
"S01020067",166,164,48,9,0,387,
"S01020068",155,158,45,6,0,364,
"S01020069",115,200,61,17,2,395,
"S01020070",137,224,83,15,7,467,
"S01020071",54,133,63,12,4,265,
"S01020072",88,114,48,8,1,256,
"S01020073",157,115,45,12,2,326,
"S01020074",66,129,109,25,11,340,
"S01020075",95,117,35,11,4,261,
"S01020076",84,146,76,18,4,324,
"S01020077",82,142,48,4,2,277,
"S01020078",13,71,99,14,3,202,
"S01020079",7,46,136,12,1,196,
"S01020080",5,47,138,10,6,204,
"S01020081",7,73,135,38,14,270,
"S01020082",3,34,121,27,8,192,
"S01020083",59,101,47,4,3,215,
"S01020084",78,172,97,33,7,387,
"S01020085",41,140,106,21,7,315,
"S01020086",68,103,64,15,1,251,
"S01020087",6,75,153,49,9,292,
"S01020088",11,98,186,27,10,329,
"S01020089",26,139,82,9,1,262,
"S01020090",21,125,102,11,7,274,
"S01020091",21,99,83,22,9,231,
"S01020092",12,129,100,21,6,268,
"S01020093",31,159,200,42,8,438,
"S01020094",39,118,115,26,3,301,
"S01020095",72,138,99,30,5,338,
"S01020096",182,188,51,11,3,432,
"S01020097",153,156,49,23,2,383,
"S01020098",140,178,55,14,4,389,
"S01020099",143,181,73,20,1,414,
"S01020100",87,136,95,10,1,331,
"S01020101",95,74,39,5,2,215,
"S01020102",69,110,71,14,4,268,
"S01020103",130,84,20,9,4,251,
"S01020104",93,128,28,13,2,261,
"S01020105",70,105,28,4,2,204,
"S01020106",78,114,65,11,5,272,
"S01020107",129,159,52,12,5,357,
"S01020108",155,190,66,9,6,426,
"S01020109",123,172,53,3,0,354,
"S01020110",74,148,57,10,6,298,
"S01020111",60,90,28,6,0,189,
"S01020112",104,143,63,19,4,335,
"S01020113",73,110,74,25,9,290,
"S01020114",88,156,96,17,7,364,
"S01020115",18,95,87,16,4,221,
"S01020116",21,137,112,17,3,292,
"S01020117",9,48,66,11,13,145,
"S01020118",121,186,81,23,4,413,
"S01020119",94,134,49,14,2,295,
"S01020120",84,136,51,6,1,286,
"S01020121",106,214,76,17,7,416,
"S01020122",135,230,107,10,4,486,
"S01020123",63,87,43,12,5,208,
"S01020124",110,142,53,7,1,309,
"S01020125",65,166,129,23,2,390,
"S01020126",65,126,70,16,4,282,
"S01020127",92,97,29,7,4,228,
"S01020128",135,131,45,12,2,318,
"S01020129",78,185,58,16,3,340,
"S01020130",117,104,29,3,1,257,
"S01020131",124,150,46,3,3,326,
"S01020132",108,125,47,4,1,283,
"S01020133",104,108,15,1,0,226,
"S01020134",282,177,38,5,5,508,
"S01020135",37,117,51,7,2,218,
"S01020136",79,122,56,12,2,272,
"S01020137",89,133,79,21,9,331,
"S01020138",58,158,89,13,5,315,
"S01020139",37,156,111,26,6,336,
"S01020140",183,221,73,9,3,486,
"S01020141",132,106,29,3,1,271,
"S01020142",88,231,72,4,4,395,
"S01020143",200,191,68,20,9,485,
"S01020144",120,171,68,21,6,384,
"S01020145",72,135,67,9,1,286,
"S01020146",40,155,162,34,17,404,
"S01020147",50,191,135,32,13,424,
"S01020148",41,181,118,25,20,387,
"S01020149",74,161,52,10,0,299,
"S01020150",6,45,103,40,14,208,
"S01020151",8,67,96,34,24,229,
"S01020152",23,107,95,28,5,258,
"S01020153",96,142,71,16,3,330,
"S01020154",86,170,92,13,4,365,
"S01020155",64,120,118,27,4,333,
"S01020156",7,85,119,22,4,239,
"S01020157",31,134,125,10,2,301,
"S01020158",105,157,74,22,11,365,
"S01020159",76,183,68,9,5,341,
"S01020160",164,198,55,12,4,433,
"S01020161",88,182,96,15,3,387,
"S01020162",59,144,58,20,3,284,
"S01020163",35,183,152,28,4,406,
"S01020164",7,93,130,9,6,244,
"S01020165",3,61,112,14,4,194,
"S01020166",0,59,109,16,1,181,
"S01020167",5,65,106,8,3,183,
"S01020168",11,72,107,14,2,203,
"S01020169",11,84,139,14,0,248,
"S01020170",30,161,115,24,7,335,
"S01020171",18,127,148,36,6,338,
"S01020172",29,109,75,13,4,231,
"S01020173",4,59,78,33,1,175,
"S01020174",20,77,73,13,10,192,
"S01020175",13,102,82,20,6,224,
"S01020176",157,131,60,9,3,356,
"S01020177",12,60,97,22,3,192,
"S01020178",25,93,117,21,8,264,
"S01020179",111,92,30,3,0,233,
"S01020180",18,132,90,32,13,283,
"S01020181",62,120,64,17,7,267,
"S01020182",101,105,37,4,2,252,
"S01020183",94,122,52,8,1,281,
"S01020184",8,68,79,22,6,183,
"S01020185",31,177,129,24,5,361,
"S01020186",114,138,78,10,0,341,
"S01020187",94,146,100,20,14,374,
"S01020188",128,139,63,5,5,340,
"S01020189",74,112,58,11,0,253,
"S01020190",110,147,43,16,2,318,
"S01020191",86,144,65,8,3,309,
"S01020192",127,196,90,10,2,428,
"S01020193",11,96,140,24,11,281,
"S01020194",192,165,46,12,1,416,
"S01020195",223,160,24,7,1,408,
"S01020196",50,211,123,19,0,404,
"S01020197",12,116,140,38,6,309,
"S01020198",52,152,84,20,6,311,
"S01020199",25,101,119,26,12,280,
"S01020200",17,81,122,23,6,253,
"S01020201",79,127,101,23,11,340,
"S01020202",263,181,55,9,2,513,
"S01020203",94,105,54,16,2,271,
"S01020204",32,97,101,21,7,254,
"S01020205",107,166,66,10,3,356,
"S01020206",100,145,68,15,7,329,
"S01020207",86,177,92,19,6,380,
"S01020208",29,150,99,12,7,299,
"S01020209",59,167,90,20,4,342,
"S01020210",78,200,75,13,1,371,
"S01020211",47,131,78,8,0,265,
"S01020212",163,152,49,5,0,367,
"S01020213",60,161,113,8,3,345,
"S01020214",205,186,49,10,1,456,
"S01020215",241,168,30,4,3,446,
"S01020216",206,242,83,10,1,542,
"S01020217",134,165,77,13,0,391,
"S01020218",80,165,63,7,2,319,
"S01020219",159,81,18,1,0,259,
"S01020220",309,128,30,0,0,473,
"S01020221",129,110,25,3,0,263,
"S01020222",175,166,65,6,2,414,
"S01020223",158,156,63,9,7,393,
"S01020224",207,162,32,3,0,404,
"S01020225",186,119,29,5,4,343,
"S01020226",254,149,21,2,0,426,
"S01020227",134,213,78,19,2,448,
"S01020228",89,204,71,15,6,385,
"S01020229",87,171,58,9,4,329,
"S01020230",70,175,67,7,0,325,
"S01020231",99,121,40,10,2,275,
"S01020232",96,129,39,7,0,271,
"S01020233",178,196,83,21,3,478,
"S01020234",102,157,59,17,0,330,
"S01020235",17,85,77,20,2,198,
"S01020236",26,175,128,24,9,362,
"S01020237",74,193,113,16,0,392,
"S01020238",57,175,129,18,5,380,
"S01020239",80,170,93,15,7,361,
"S01020240",203,146,56,10,2,420,
"S01020241",149,106,54,14,3,326,
"S01020242",189,117,22,4,0,332,
"S01020243",36,132,103,16,2,289,
"S01020244",59,193,85,17,4,358,
"S01020245",36,162,107,19,7,333,
"S01020246",211,194,43,8,4,461,
"S01020247",44,136,166,35,6,387,
"S01020248",114,148,59,16,6,345,
"S01020249",66,88,39,9,3,205,
"S01020250",154,143,45,10,5,359,
"S01020251",123,105,39,6,2,277,
"S01020252",3,52,146,26,9,235,
"S01020253",3,38,119,23,9,187,
"S01020254",6,31,96,16,0,151,
"S01020255",44,76,106,19,7,256,
"S01020256",5,84,180,20,8,300,
"S01020257",9,52,91,40,12,206,
"S01020258",193,208,48,10,1,460,
"S01020259",31,156,146,26,8,367,
"S01020260",6,64,143,39,7,261,
"S01020261",138,123,37,3,0,302,
"S01020262",9,94,132,18,1,254,
"S01020263",64,162,97,27,8,362,
"S01020264",20,105,127,14,10,274,
"S01020265",8,102,114,10,4,238,
"S01020266",90,182,62,19,3,356,
"S01020267",86,176,71,7,3,343,
"S01020268",105,197,70,5,5,382,
"S01020269",83,171,74,15,7,350,
"S01020270",67,132,56,11,2,268,
"S01020271",105,247,76,13,7,451,
"S01020272",159,215,74,13,0,463,
"S01020273",128,146,66,12,3,354,
"S01020274",132,160,48,11,3,355,
"S01020275",200,202,58,15,2,477,
"S01020276",79,187,74,25,4,363,
"S01020277",118,161,52,9,2,343,
"S01020278",118,188,87,12,6,414,
"S01020279",93,184,89,19,0,385,
"S01020280",51,137,85,19,3,297,
"S01020281",50,102,46,7,5,210,
"S01020282",120,138,74,14,2,342,
"S01020283",27,109,92,27,8,263,
"S01020284",69,128,49,14,4,263,
"S01020285",48,103,41,6,2,201,
"S01020286",24,118,86,20,4,250,
"S01020287",108,145,63,9,0,323,
"S01020288",68,127,61,14,4,273,
"S01020289",28,104,107,29,6,274,
"S01020290",60,156,69,13,5,303,
"S01020291",72,101,49,2,1,223,
"S01020292",24,91,71,14,2,199,
"S01020293",65,165,62,11,9,312,
"S01020294",85,148,79,20,3,336,
"S01020295",100,205,95,21,7,426,
"S01020296",69,156,81,19,4,334,
"S01020297",162,175,55,15,5,414,
"S01020298",157,267,125,20,3,572,
"S01020299",29,90,68,17,6,210,
"S01020300",106,163,79,27,6,381,
"S01020301",118,171,78,16,1,388,
"S01020302",91,158,92,14,7,362,
"S01020303",79,177,59,12,5,332,
"S01020304",104,161,79,12,2,358,
"S01020305",55,114,110,29,6,310,
"S01020306",16,86,88,25,9,222,
"S01020307",21,115,105,20,5,269,
"S01020308",7,84,126,38,9,271,
"S01020309",114,160,65,6,8,355,
"S01020310",26,141,90,24,4,282,
"S01020311",19,88,62,18,6,194,
"S01020312",9,113,176,45,16,360,
"S01020313",31,157,106,30,6,325,
"S01020314",3,52,66,25,5,151,
"S01020315",10,102,96,27,3,247,
"S01020316",22,131,116,20,6,296,
"S01020317",7,90,134,48,12,293,
"S01020318",2,36,95,28,13,171,
"S01020319",2,48,95,29,5,179,
"S01020320",9,62,105,20,16,216,
"S01020321",8,80,119,30,15,253,
"S01020322",42,189,161,31,4,427,
"S01020323",159,183,81,17,8,448,
"S01020324",82,124,61,9,4,275,
"S01020325",30,138,98,22,2,285,
"S01020326",18,68,61,23,3,173,
"S01020327",16,93,95,21,7,235,
"S01020328",24,108,70,19,3,227,
"S01020329",34,95,81,22,3,229,
"S01020330",21,98,96,15,6,235,
"S01020331",18,102,88,22,5,235,
"S01020332",12,92,98,35,15,252,
"S01020333",4,51,122,30,12,218,
"S01020334",40,105,85,18,5,256,
"S01020335",9,75,99,22,3,208,
"S01020336",33,152,91,14,2,295,
"S01020337",45,75,41,9,2,177,
"S01020338",72,115,50,7,3,250,
"S01020339",117,130,68,12,3,330,
"S01020340",41,116,65,10,0,241,
"S01020341",70,128,81,17,5,301,
"S01020342",101,146,64,12,3,326,
"S01020343",95,164,67,16,4,344,
"S01020344",127,125,39,7,3,300,
"S01020345",62,116,56,10,5,246,
"S01020346",108,107,42,10,4,269,
"S01020347",66,133,41,11,2,253,
"S01020348",59,144,59,11,4,278,
"S01020349",85,151,61,5,6,306,
"S01020350",45,112,69,13,3,242,
"S01020351",96,150,52,10,1,311,
"S01020352",96,149,66,11,6,328,
"S01020353",105,181,68,16,0,369,
"S01020354",52,148,87,30,7,324,
"S01020355",87,122,55,7,3,274,
"S01020356",65,168,71,15,1,320,
"S01020357",124,216,85,10,5,444,
"S01020358",120,143,73,7,4,343,
"S01020359",138,206,76,20,1,439,
"S01020360",137,208,82,14,5,448,
"S01020361",110,109,56,11,4,288,
"S01020362",103,149,72,13,2,343,
"S01020363",117,166,62,15,8,366,
"S01020364",137,186,59,6,4,390,
"S01020365",235,205,59,8,2,509,
"S01020366",46,183,84,22,2,334,
"S01020367",40,116,63,18,8,241,
"S01020368",61,94,40,6,3,202,
"S01020369",90,168,109,24,10,404,
"S01020370",72,100,34,7,2,212,
"S01020371",103,166,43,7,2,321,
"S01020372",25,118,154,45,18,363,
"S01020373",8,78,105,25,14,230,
"S01020374",26,100,120,31,11,288,
"S01020375",19,133,177,53,19,401,
"S01020376",9,54,93,33,16,205,
"S01020377",32,174,144,26,12,385,
"S01020378",43,150,149,35,22,399,
"S01020379",33,116,89,28,5,271,
"S01020380",15,89,127,41,17,289,
"S01020381",15,105,104,32,12,269,
"S01020382",54,153,100,23,6,337,
"S01020383",27,131,150,30,12,349,
"S01020384",44,143,128,47,15,370,
"S01020385",12,99,150,44,17,322,
"S01020386",8,77,102,34,8,231,
"S01020387",45,156,151,23,16,391,
"S01020388",23,141,159,49,21,390,
"S01020389",14,79,107,36,18,253,
"S01020390",25,134,104,21,6,291,
"S01020391",66,132,69,16,8,287,
"S01020392",50,116,73,12,6,260,
"S01020393",26,134,139,30,11,343,
"S01020394",24,86,85,22,8,229,
"S01020395",36,139,156,34,13,380,
"S01020396",76,155,128,30,9,399,
"S01020397",127,159,99,18,6,406,
"S01020398",20,67,82,26,11,206,
"S01020399",97,112,66,7,4,288,
"S01020400",49,102,70,18,8,245,
"S01020401",72,120,69,13,5,282,
"S01020402",13,104,134,36,10,301,
"S01020403",47,144,90,30,8,323,
"S01020404",73,130,69,18,4,294,
"S01020405",103,118,70,12,1,306,
"S01020406",70,120,76,18,0,284,
"S01020407",39,135,123,32,6,340,
"S01020408",69,146,80,15,10,323,
"S01020409",34,82,88,32,7,250,
"S01020410",101,143,71,8,11,334,
"S01020411",46,128,61,22,4,265,
"S01020412",52,125,107,33,9,326,
"S01020413",74,121,72,19,0,286,
"S01020414",56,143,77,17,3,297,
"S01020415",59,128,75,23,7,291,
"S01020416",63,97,42,14,0,220,
"S01020417",18,138,134,43,22,352,
"S01020418",66,191,83,19,2,360,
"S01020419",59,193,110,25,5,392,
"S01020420",115,174,68,17,0,378,
"S01020421",114,192,102,15,6,429,
"S01020422",112,192,88,14,6,412,
"S01020423",153,169,34,9,3,368,
"S01020424",53,104,77,13,1,249,
"S01020425",100,108,55,7,3,272,
"S01020426",99,180,64,12,1,356,
"S01020427",75,153,70,12,1,311,
"S01020428",163,160,43,12,4,379,
"S01020429",30,99,95,23,6,253,
"S01020430",59,231,112,13,6,421,
"S01020431",86,154,104,9,5,357,
"S01020432",33,185,135,27,12,395,
"S01020433",62,202,117,24,6,411,
"S01020434",71,144,114,19,14,362,
"S01020435",120,179,68,16,3,385,
"S01020436",144,178,60,16,11,410,
"S01020437",112,172,66,21,5,372,
"S01020438",249,160,58,6,5,478,
"S01020439",242,136,35,15,0,428,
"S01020440",179,153,45,9,3,389,
"S01020441",114,103,27,3,0,249,
"S01020442",201,139,36,7,1,380,
"S01020443",113,130,38,7,0,288,
"S01020444",25,144,123,23,2,308,
"S01020445",131,151,58,5,0,347,
"S01020446",170,210,73,10,4,471,
"S01020447",247,176,44,8,4,481,
"S01020448",37,85,62,9,4,197,
"S01020449",119,148,57,10,4,339,
"S01020450",111,102,41,3,2,258,
"S01020451",26,170,148,38,8,390,
"S01020452",71,184,133,24,2,417,
"S01020453",26,140,146,21,12,346,
"S01020454",50,200,114,27,6,397,
"S01020455",34,104,67,22,8,236,
"S01020456",22,144,124,17,5,312,
"S01020457",47,91,52,14,7,208,
"S01020458",106,222,99,13,6,446,
"S01020459",27,128,131,36,17,340,
"S01020460",20,153,155,39,8,377,
"S01020461",126,216,82,13,5,441,
"S01020462",105,180,66,10,4,366,
"S01020463",91,121,43,5,0,260,
"S01020464",128,209,85,16,4,440,
"S01020465",28,88,83,12,7,215,
"S01020466",7,91,99,18,8,226,
"S01020467",2,65,140,30,12,250,
"S01020468",35,93,76,6,7,217,
"S01020469",24,136,171,38,18,390,
"S01020470",4,30,109,50,23,216,
"S01020471",98,213,103,15,9,435,
"S01020472",26,98,110,31,18,280,
"S01020473",132,226,84,21,3,466,
"S01020474",63,119,77,17,4,280,
"S01020475",10,141,155,35,6,346,
"S01020476",31,163,140,29,13,373,
"S01020477",39,178,138,33,13,404,
"S01020478",61,167,82,15,8,336,
"S01020479",14,65,80,20,6,185,
"S01020480",15,124,144,50,20,353,
"S01020481",30,116,105,24,10,284,
"S01020482",19,110,92,31,12,264,
"S01020483",10,65,87,35,17,214,
"S01020484",40,132,196,41,27,436,
"S01020485",76,119,54,15,7,273,
"S01020486",55,178,138,31,13,415,
"S01020487",24,137,112,23,18,321,
"S01020488",92,171,47,12,6,328,
"S01020489",46,174,121,27,7,372,
"S01020490",40,119,85,16,6,262,
"S01020491",10,97,89,26,13,235,
"S01020492",31,141,129,35,15,351,
"S01020493",56,191,89,26,10,372,
"S01020494",40,107,63,21,17,251,
"S01020495",257,233,50,10,2,554,
"S01020496",111,129,51,10,0,298,
"S01020497",123,191,73,13,5,405,
"S01020498",168,138,32,9,2,347,
"S01020499",190,142,34,11,3,383,
"S01020500",276,239,51,6,1,571,
"S01020501",186,209,72,6,0,475,
"S01020502",193,176,42,4,0,412,
"S01020503",101,105,43,7,1,253,
"S01020504",164,124,22,8,1,322,
"S01020505",275,220,66,9,4,574,
"S01020506",175,193,87,9,3,469,
"S01020507",260,133,38,3,1,436,
"S01020508",135,154,67,19,4,375,
"S01020509",100,124,58,15,4,300,
"S01020510",210,187,77,14,5,491,
"S01020511",241,137,38,9,1,423,
"S01020512",157,177,83,18,1,434,
"S01020513",154,119,24,5,2,301,
"S01020514",278,204,45,4,3,534,
"S01020515",115,156,65,10,4,346,
"S01020516",133,185,75,13,3,409,
"S01020517",126,225,81,10,1,443,
"S01020518",88,116,55,20,5,277,
"S01020519",61,109,78,16,6,270,
"S01020520",71,157,49,11,3,287,
"S01020521",61,104,66,19,7,257,
"S01020522",82,156,75,17,9,339,
"S01020523",101,242,107,21,6,476,
"S01020524",63,114,39,13,1,233,
"S01020525",154,183,49,10,1,397,
"S01020526",150,161,51,10,2,376,
"S01020527",167,174,40,19,6,405,
"S01020528",135,141,50,2,3,331,
"S01020529",187,185,55,9,1,437,
"S01020530",26,122,129,29,15,321,
"S01020531",45,111,72,16,4,247,
"S01020532",19,127,117,27,9,301,
"S01020533",162,209,93,10,4,479,
"S01020534",150,163,59,15,3,398,
"S01020535",15,107,83,24,5,234,
"S01020536",45,103,67,13,4,232,
"S01020537",94,140,60,19,5,318,
"S01020538",262,153,22,7,1,446,
"S01020539",261,143,26,9,1,440,
"S01020540",123,108,32,9,0,273,
"S01020541",65,104,60,7,2,238,
"S01020542",287,211,72,11,6,590,
"S01020543",105,183,77,9,4,377,
"S01020544",30,98,48,9,0,185,
"S01020545",68,176,84,17,8,355,
"S01020546",17,148,142,37,12,360,
"S01020547",69,174,153,36,9,436,
"S01020548",102,163,54,9,4,328,
"S01020549",85,188,77,30,3,383,
"S01020550",47,132,53,6,2,240,
"S01020551",54,115,76,12,6,267,
"S01020552",17,80,55,10,1,168,
"S01020553",47,124,84,11,1,266,
"S01020554",127,192,90,15,4,428,
"S01020555",46,169,169,33,9,423,
"S01020556",165,228,70,15,4,476,
"S01020557",90,118,49,10,2,269,
"S01020558",113,121,68,14,2,318,
"S01020559",106,188,94,24,6,415,
"S01020560",47,163,98,28,6,339,
"S01020561",97,133,69,16,4,320,
"S01020562",227,175,33,1,0,443,
"S01020563",165,168,44,6,7,391,
"S01020564",94,202,45,7,0,348,
"S01020565",72,144,67,14,4,305,
"S01020566",68,115,79,7,0,274,
"S01020567",49,73,67,18,3,214,
"S01020568",11,94,95,22,6,228,
"S01020569",20,114,92,34,5,265,
"S01020570",94,198,98,11,2,404,
"S01020571",92,266,130,18,2,508,
"S01020572",80,141,36,6,2,268,
"S01020573",171,220,96,17,12,518,
"S01020574",122,122,68,12,7,329,
"S01020575",179,144,45,10,5,383,
"S01020576",111,133,56,7,2,309,
"S01020577",151,130,58,12,0,353,
"S01020578",38,120,99,23,8,290,
"S01020579",92,90,38,7,0,225,
"S01020580",99,137,42,10,0,282,
"S01020581",162,223,96,16,5,502,
"S01020582",134,194,76,19,7,427,
"S01020583",139,258,100,23,9,528,
"S01020584",65,144,78,15,8,308,
"S01020585",89,133,58,14,5,299,
"S01020586",5,61,90,27,7,190,
"S01020587",9,94,74,23,6,206,
"S01020588",133,114,48,6,2,303,
"S01020589",21,110,102,34,6,273,
"S01020590",14,51,85,14,3,164,
"S01020591",57,149,96,13,1,321,
"S01020592",57,81,44,6,2,190,
"S01020593",80,126,66,12,1,287,
"S01020594",67,101,40,7,1,217,
"S01020595",59,101,30,8,2,199,
"S01020596",76,111,48,11,1,247,
"S01020597",51,121,56,19,5,251,
"S01020598",202,132,26,10,2,372,
"S01020599",105,154,91,20,8,376,
"S01020600",73,144,70,16,3,306,
"S01020601",46,156,117,24,5,346,
"S01020602",122,126,56,17,2,323,
"S01020603",170,183,46,8,4,411,
"S01020604",131,163,58,13,3,368,
"S01020605",69,149,54,8,2,286,
"S01020606",92,150,65,5,0,312,
"S01020607",127,220,86,22,5,458,
"S01020608",32,126,106,32,9,303,
"S01020609",113,184,108,15,5,425,
"S01020610",76,178,125,23,7,409,
"S01020611",99,201,117,29,10,455,
"S01020612",192,190,57,8,5,454,
"S01020613",132,149,77,14,6,378,
"S01020614",100,95,37,11,0,245,
"S01020615",34,141,139,22,14,350,
"S01020616",19,86,98,29,19,257,
"S01020617",77,142,60,17,1,295,
"S01020618",102,137,62,27,5,333,
"S01020619",80,154,126,31,10,401,
"S01020620",46,119,77,24,5,274,
"S01020621",124,138,62,12,3,337,
"S01020622",100,130,52,11,0,293,
"S01020623",34,78,56,20,1,186,
"S01020624",34,124,123,53,37,375,
"S01020625",120,141,70,20,4,354,
"S01020626",37,110,73,19,6,244,
"S01020627",62,138,97,15,8,319,
"S01020628",88,121,67,8,3,288,
"S01020629",50,135,91,31,13,316,
"S01020630",93,139,82,35,7,361,
"S01020631",139,177,71,21,8,415,
"S01020632",33,146,106,23,3,306,
"S01020633",61,152,98,16,8,335,
"S01020634",99,149,101,22,7,381,
"S01020635",91,145,84,22,6,351,
"S01020636",63,125,60,15,6,272,
"S01020637",10,78,85,18,11,202,
"S01020638",25,91,87,17,9,226,
"S01020639",7,79,128,28,18,262,
"S01020640",5,50,75,29,17,175,
"S01020641",6,75,78,23,5,188,
"S01020642",62,102,56,9,6,238,
"S01020643",52,128,88,12,6,289,
"S01020644",8,49,60,13,4,134,
"S01020645",13,118,160,43,12,348,
"S01020646",8,44,93,26,15,186,
"S01020647",20,107,140,56,9,330,
"S01020648",40,169,105,22,8,348,
"S01020649",13,131,79,18,7,252,
"S01020650",22,106,84,12,11,235,
"S01020651",15,144,209,34,5,411,
"S01020652",106,165,76,13,5,365,
"S01020653",138,139,76,13,3,369,
"S01020654",89,117,53,7,0,266,
"S01020655",48,121,68,14,6,254,
"S01020656",121,153,68,17,1,360,
"S01020657",126,154,54,6,4,346,
"S01020658",132,210,38,6,0,384,
"S01020659",45,157,75,19,8,304,
"S01020660",33,143,76,13,2,268,
"S01020661",33,170,112,19,6,340,
"S01020662",14,115,120,26,6,282,
"S01020663",71,152,71,22,9,325,
"S01020664",18,131,102,43,16,306,
"S01020665",43,143,129,21,6,342,
"S01020666",23,108,84,21,13,249,
"S01020667",35,137,126,23,7,324,
"S01020668",16,138,81,29,9,273,
"S01020669",29,140,77,15,4,273,
"S01020670",41,168,90,24,6,325,
"S01020671",68,150,53,17,4,292,
"S01020672",92,167,88,21,5,373,
"S01020673",39,119,53,11,5,231,
"S01020674",7,90,157,15,5,276,
"S01020675",6,70,119,17,4,218,
"S01020676",19,120,119,25,7,289,
"S01020677",18,93,148,15,2,273,
"S01020678",30,91,104,24,7,256,
"S01020679",63,88,37,5,1,191,
"S01020680",90,166,71,18,4,349,
"S01020681",67,107,49,19,4,243,
"S01020682",41,141,111,28,14,332,
"S01020683",85,176,88,16,10,376,
"S01020684",178,169,70,13,7,435,
"S01020685",101,169,66,10,3,349,
"S01020686",243,204,40,4,4,494,
"S01020687",165,208,58,10,3,441,
"S01020688",139,178,50,21,2,389,
"S01020689",181,234,81,23,4,519,
"S01020690",50,140,115,23,3,332,
"S01020691",66,118,50,9,0,245,
"S01020692",71,155,85,12,4,327,
"S01020693",73,127,60,12,0,274,
"S01020694",113,157,57,8,0,335,
