SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013984",199,72,40,36,4,2,0,353,
"S01013985",346,53,26,7,4,0,0,436,
"S01013986",156,19,3,1,3,0,0,185,
"S01013987",231,60,13,2,1,0,0,307,
"S01013988",284,117,15,16,3,0,1,440,
"S01013989",239,142,63,10,3,0,0,460,
"S01013990",287,47,10,2,0,0,0,346,
"S01013991",200,74,48,8,0,2,0,329,
"S01013992",143,145,34,19,2,0,0,342,
"S01013993",95,140,3,1,0,0,0,239,
"S01013994",190,59,21,3,2,0,0,272,
"S01013995",152,92,20,33,0,0,0,300,
"S01013996",95,129,12,7,0,0,0,246,
"S01013997",136,79,16,10,3,0,0,245,
"S01013998",209,2,0,4,0,0,0,215,
"S01013999",170,89,22,21,3,3,0,313,
"S01014000",188,29,4,1,0,0,0,221,
"S01014001",226,60,7,1,0,0,0,294,
"S01014002",141,46,16,2,1,0,0,202,
"S01014003",83,71,39,22,1,6,0,221,
"S01014004",202,45,2,2,0,1,2,255,
"S01014005",185,23,1,2,0,0,1,210,
"S01014006",206,29,2,0,4,0,0,236,
"S01014007",281,41,27,5,1,1,4,357,
"S01014008",196,139,27,8,3,1,1,373,
"S01014009",133,132,77,56,3,2,0,402,
"S01014010",250,32,3,0,0,0,1,285,
"S01014011",279,59,11,4,0,0,7,358,
"S01014012",266,103,62,29,4,3,0,465,
"S01014013",183,67,30,16,5,0,0,304,
"S01014014",171,44,8,23,0,0,0,249,
"S01014015",178,26,8,0,2,0,2,214,
"S01014016",244,67,12,3,0,0,0,330,
"S01014017",377,48,8,5,0,0,0,438,
"S01014018",229,95,46,21,4,1,4,398,
"S01014019",271,69,8,1,0,0,4,352,
"S01014020",111,204,86,63,8,2,1,469,
"S01014021",167,150,55,125,12,9,0,517,
"S01014022",180,75,46,82,5,10,0,398,
"S01014023",64,125,80,173,22,6,0,469,
"S01014024",15,96,192,18,0,0,0,319,
"S01014025",176,28,0,1,0,0,2,205,
"S01014026",323,86,5,4,1,0,0,415,
"S01014027",213,38,4,1,1,0,1,258,
